"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"1929","{""Q0"":""69fcdb6a16983a805bcd5866""}","survey-text","0","1947","0.0-0.0","69fcdb6a16983a805bcd5866","","","","","","","","","","","",""
"3762","0","html-button-response","1","5712","0.0-1.0","69fcdb6a16983a805bcd5866","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"12330","0","html-button-response","2","18044","0.0-2.0","69fcdb6a16983a805bcd5866","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"3880","{""Q0"":6}","survey-likert","3","21927","0.0-3.0-0.0","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","7","null"
"5013","{""Q0"":0}","survey-likert","4","26943","0.0-3.0-0.1","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","1","null"
"4581","{""Q0"":2}","survey-likert","5","31527","0.0-3.0-0.2","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","3","null"
"5247","{""Q0"":4}","survey-likert","6","36777","0.0-3.0-0.3","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","5","null"
"3631","{""Q0"":6}","survey-likert","7","40411","0.0-3.0-0.4","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"3179","{""Q0"":6}","survey-likert","8","43592","0.0-3.0-0.5","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"3332","{""Q0"":6}","survey-likert","9","46926","0.0-3.0-0.6","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
"4065","{""Q0"":2}","survey-likert","10","50992","0.0-3.0-0.7","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","3","null"
"4148","{""Q0"":2}","survey-likert","11","55142","0.0-3.0-0.8","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","3","null"
"4797","{""Q0"":5}","survey-likert","12","59942","0.0-3.0-0.9","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","6","null"
"4931","{""Q0"":6}","survey-likert","13","64876","0.0-3.0-0.10","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","7","null"
"6531","{""Q0"":3}","survey-likert","14","71409","0.0-3.0-0.11","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","4","null"
"4613","{""Q0"":5}","survey-likert","15","76025","0.0-3.0-0.12","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","6","null"
"4281","{""Q0"":5}","survey-likert","16","80309","0.0-3.0-0.13","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","6","null"
"3047","{""Q0"":2}","survey-likert","17","83358","0.0-3.0-0.14","69fcdb6a16983a805bcd5866","","[0]","","5","1","How much does the sentence make sense?","382","I feel a new sun on my skin","3.25-4.25","","3","null"
