"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3196","{""Q0"":""6a1592065ee1e61d79f245de""}","survey-text","0","3208","0.0-0.0","6a1592065ee1e61d79f245de","","","","","","","","","","","",""
"9274","0","html-button-response","1","12490","0.0-1.0","6a1592065ee1e61d79f245de","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"11362","0","html-button-response","2","23854","0.0-2.0","6a1592065ee1e61d79f245de","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"3899","{""Q0"":0}","survey-likert","3","27756","0.0-3.0-0.0","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","1","null"
"2910","{""Q0"":1}","survey-likert","4","30668","0.0-3.0-0.1","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","2","null"
"2821","{""Q0"":4}","survey-likert","5","33491","0.0-3.0-0.2","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"6159","{""Q0"":2}","survey-likert","6","39649","0.0-3.0-0.3","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","3","null"
"2782","{""Q0"":0}","survey-likert","7","42433","0.0-3.0-0.4","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"2893","{""Q0"":2}","survey-likert","8","45329","0.0-3.0-0.5","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","3","null"
"3006","{""Q0"":3}","survey-likert","9","48337","0.0-3.0-0.6","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"2334","{""Q0"":4}","survey-likert","10","50673","0.0-3.0-0.7","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","68","He picked it up and looked at it.","<2.25","","5","null"
"2871","{""Q0"":0}","survey-likert","11","53546","0.0-3.0-0.8","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","733","They must purchase the electric power at wholesale.",">5.25","","1","null"
"2945","{""Q0"":1}","survey-likert","12","56493","0.0-3.0-0.9","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","403","They were putting on a mask of calm.","3.25-4.25","","2","null"
"2458","{""Q0"":0}","survey-likert","13","58953","0.0-3.0-0.10","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","1","null"
"2399","{""Q0"":2}","survey-likert","14","61354","0.0-3.0-0.11","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","185","Suddenly there was an image in my mind.","2.25-3.25","","3","null"
"2254","{""Q0"":0}","survey-likert","15","63609","0.0-3.0-0.12","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","139","There's a lot of things I can't change.","<2.25","","1","null"
"2878","{""Q0"":5}","survey-likert","16","66489","0.0-3.0-0.13","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
"2318","{""Q0"":0}","survey-likert","17","68810","0.0-3.0-0.14","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","148","Let me know what you think of that.","<2.25","","1","null"
"2366","{""Q0"":1}","survey-likert","18","71178","0.0-3.0-0.15","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","492","There's already a half million in this portfolio.","4.25-5.25","","2","null"
"2446","{""Q0"":0}","survey-likert","19","73626","0.0-3.0-0.16","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","103","Mister, I don't want to know your name.","<2.25","","1","null"
"3574","{""Q0"":2}","survey-likert","20","77202","0.0-3.0-0.17","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","319","Then you should go back to your table.","2.25-3.25","","3","null"
"2806","{""Q0"":3}","survey-likert","21","80010","0.0-3.0-0.18","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","508","The elves nodded and headed for the house.","4.25-5.25","","4","null"
"2902","{""Q0"":0}","survey-likert","22","82913","0.0-3.0-0.19","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","549","It is the second planet from their sun.","4.25-5.25","","1","null"
"2231","{""Q0"":1}","survey-likert","23","85147","0.0-3.0-0.20","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"2285","{""Q0"":0}","survey-likert","24","87434","0.0-3.0-0.21","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","729","Making what we all believe look like dirt",">5.25","","1","null"
"3462","{""Q0"":0}","survey-likert","25","90898","0.0-3.0-0.22","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","72","We have a lot of work to do.","<2.25","","1","null"
"2838","{""Q0"":4}","survey-likert","26","93738","0.0-3.0-0.23","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","265","And are you happy with your new book?","2.25-3.25","","5","null"
"3047","{""Q0"":0}","survey-likert","27","96786","0.0-3.0-0.24","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","724","Every second wasted in negotiation made her nervous.",">5.25","","1","null"
"2319","{""Q0"":0}","survey-likert","28","99105","0.0-3.0-0.25","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","101","How am I supposed to tell the difference?","<2.25","","1","null"
"2574","{""Q0"":3}","survey-likert","29","101681","0.0-3.0-0.26","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","580","Where would a wise man hide a leaf?","4.25-5.25","","4","null"
"2230","{""Q0"":0}","survey-likert","30","103913","0.0-3.0-0.27","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","79","I didn't even know you were in town.","<2.25","","1","null"
"2166","{""Q0"":0}","survey-likert","31","106080","0.0-3.0-0.28","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","194","People looked at him for a few seconds.","2.25-3.25","","1","null"
"3139","{""Q0"":4}","survey-likert","32","109221","0.0-3.0-0.29","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","5","null"
"2001","{""Q0"":0}","survey-likert","33","111224","0.0-3.0-0.30","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","40","Look, do you want my help or not?","<2.25","","1","null"
"3062","{""Q0"":0}","survey-likert","34","114289","0.0-3.0-0.31","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","391","The eyes are the window to the soul.","3.25-4.25","","1","null"
"2150","{""Q0"":0}","survey-likert","35","116441","0.0-3.0-0.32","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","270","He had no desire to work for him.","2.25-3.25","","1","null"
"2420","{""Q0"":0}","survey-likert","36","118862","0.0-3.0-0.33","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","372","There was no hesitation for him, no nerves.","3.25-4.25","","1","null"
"2282","{""Q0"":0}","survey-likert","37","121145","0.0-3.0-0.34","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","343","That decision was an easy one to make.","3.25-4.25","","1","null"
"2534","{""Q0"":1}","survey-likert","38","123681","0.0-3.0-0.35","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","576","This was a major advance in workshop technology.","4.25-5.25","","2","null"
"2375","{""Q0"":0}","survey-likert","39","126058","0.0-3.0-0.36","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","1","null"
"2349","{""Q0"":0}","survey-likert","40","128409","0.0-3.0-0.37","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","282","It was time for the first pep talk.","2.25-3.25","","1","null"
"2225","{""Q0"":0}","survey-likert","41","130636","0.0-3.0-0.38","6a1592065ee1e61d79f245de","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","7","What are you going to do about it?","<2.25","","1","null"
