"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"35440","{""Q0"":""67f913a9b5c79e960807c7e3""}","survey-text","0","35469","0.0-0.0","67f913a9b5c79e960807c7e3","","","","","","","","","","","",""
"606642","0","html-button-response","1","642115","0.0-1.0","67f913a9b5c79e960807c7e3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"137705","0","html-button-response","2","779822","0.0-2.0","67f913a9b5c79e960807c7e3","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"21627","{""Q0"":4}","survey-likert","3","801454","0.0-3.0-0.0","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","91","This is the worst moment of my life.","<2.25","","5","null"
"6505","{""Q0"":3}","survey-likert","4","807962","0.0-3.0-0.1","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","5","Is there anything I can do for you?","<2.25","","4","null"
"4986","{""Q0"":1}","survey-likert","5","812950","0.0-3.0-0.2","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","285","And now there are trees all around us.","2.25-3.25","","2","null"
"11292","{""Q0"":4}","survey-likert","6","824245","0.0-3.0-0.3","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"4120","{""Q0"":2}","survey-likert","7","828368","0.0-3.0-0.4","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","67","Oh, I wish I could remember the name.","<2.25","","3","null"
"4153","{""Q0"":4}","survey-likert","8","832523","0.0-3.0-0.5","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","336","He looked at me with a wacky gaze.","3.25-4.25","","5","null"
"8520","{""Q0"":5}","survey-likert","9","841045","0.0-3.0-0.6","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","138","There is no use in talking about it.","<2.25","","6","null"
"6308","{""Q0"":3}","survey-likert","10","847355","0.0-3.0-0.7","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","502","We were surrounded by people from various origins.","4.25-5.25","","4","null"
"7578","{""Q0"":1}","survey-likert","11","854936","0.0-3.0-0.8","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","699","It also had real but limited economic advances.",">5.25","","2","null"
"6980","{""Q0"":4}","survey-likert","12","861919","0.0-3.0-0.9","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","92","Maybe you should take another look at it.","<2.25","","5","null"
"4913","{""Q0"":4}","survey-likert","13","866834","0.0-3.0-0.10","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","168","I'm just trying to find the right words.","2.25-3.25","","5","null"
"3821","{""Q0"":5}","survey-likert","14","870658","0.0-3.0-0.11","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","94","This is not where I want to be.","<2.25","","6","null"
"4284","{""Q0"":2}","survey-likert","15","874944","0.0-3.0-0.12","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","3","null"
"6618","{""Q0"":2}","survey-likert","16","881565","0.0-3.0-0.13","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","771","Reactions worked totally off of his trained instincts.",">5.25","","3","null"
"3994","{""Q0"":5}","survey-likert","17","885562","0.0-3.0-0.14","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","115","What am I going to say to them?","<2.25","","6","null"
"3870","{""Q0"":6}","survey-likert","18","889434","0.0-3.0-0.15","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","99","I was trying to do the right thing.","<2.25","","7","null"
"5288","{""Q0"":5}","survey-likert","19","894725","0.0-3.0-0.16","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
"6719","{""Q0"":2}","survey-likert","20","901447","0.0-3.0-0.17","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","3","null"
"8031","{""Q0"":5}","survey-likert","21","909481","0.0-3.0-0.18","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","701","I was elected captain and James became jealous.",">5.25","","6","null"
"4037","{""Q0"":4}","survey-likert","22","913520","0.0-3.0-0.19","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","5","null"
"3908","{""Q0"":3}","survey-likert","23","917431","0.0-3.0-0.20","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"6748","{""Q0"":1}","survey-likert","24","924182","0.0-3.0-0.21","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"9049","{""Q0"":2}","survey-likert","25","933234","0.0-3.0-0.22","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","455","However, I am without argument to explain it.","3.25-4.25","","3","null"
"6089","{""Q0"":3}","survey-likert","26","939327","0.0-3.0-0.23","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","288","Isn't she coming home for tea after all?","2.25-3.25","","4","null"
"8053","{""Q0"":5}","survey-likert","27","947382","0.0-3.0-0.24","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","76","I can't get it out of my head.","<2.25","","6","null"
"3933","{""Q0"":2}","survey-likert","28","951317","0.0-3.0-0.25","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","179","In the meantime, I had much to do.","2.25-3.25","","3","null"
"5267","{""Q0"":4}","survey-likert","29","956588","0.0-3.0-0.26","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","254","He had not expected them to believe him.","2.25-3.25","","5","null"
"5350","{""Q0"":5}","survey-likert","30","961940","0.0-3.0-0.27","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","345","It was a very heavy silence that followed.","3.25-4.25","","6","null"
"8305","{""Q0"":6}","survey-likert","31","970248","0.0-3.0-0.28","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","7","null"
"8796","{""Q0"":1}","survey-likert","32","979047","0.0-3.0-0.29","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","305","I went out to get him some food.","2.25-3.25","","2","null"
"5018","{""Q0"":5}","survey-likert","33","984068","0.0-3.0-0.30","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","518","Go figure, no one wears hats these days.","4.25-5.25","","6","null"
"6286","{""Q0"":2}","survey-likert","34","990356","0.0-3.0-0.31","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","532","They keep inviting us back every single year.","4.25-5.25","","3","null"
"5261","{""Q0"":2}","survey-likert","35","995619","0.0-3.0-0.32","67f913a9b5c79e960807c7e3","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","466","He pulled up with all of his strength.","3.25-4.25","","3","null"
