"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"14352","{""Q0"":""69efbf25ced2d080cad5a7ca""}","survey-text","0","14368","0.0-0.0","69efbf25ced2d080cad5a7ca","","","","","","","","","","","",""
"1924","0","html-button-response","1","16296","0.0-1.0","69efbf25ced2d080cad5a7ca","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"12468","0","html-button-response","2","28767","0.0-2.0","69efbf25ced2d080cad5a7ca","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8867","{""Q0"":1}","survey-likert","3","37637","0.0-3.0-0.0","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","108","What do you do to make ends meet?","<2.25","","2","null"
"6408","{""Q0"":1}","survey-likert","4","44050","0.0-3.0-0.1","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","2","null"
"198964","{""Q0"":2}","survey-likert","5","243017","0.0-3.0-0.2","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","774","The sheep turn round and charge the shepherd?",">5.25","","3","null"
"37049","{""Q0"":4}","survey-likert","6","280077","0.0-3.0-0.3","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"9947","{""Q0"":5}","survey-likert","7","290027","0.0-3.0-0.4","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","166","I'd love to hear about what you're doing.","2.25-3.25","","6","null"
"3559","{""Q0"":4}","survey-likert","8","293590","0.0-3.0-0.5","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"4951","{""Q0"":1}","survey-likert","9","298544","0.0-3.0-0.6","69efbf25ced2d080cad5a7ca","","[0]","","1","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
