"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7011","{""Q0"":""67111bf261090940b6316e55""}","survey-text","0","7035","0.0-0.0","67111bf261090940b6316e55","","","","","","","","","","","",""
"27219","0","html-button-response","1","34258","0.0-1.0","67111bf261090940b6316e55","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"22317","0","html-button-response","2","56577","0.0-2.0","67111bf261090940b6316e55","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12102","{""Q0"":0}","survey-likert","3","68681","0.0-3.0-0.0","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"6094","{""Q0"":6}","survey-likert","4","74777","0.0-3.0-0.1","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","362","It reminded her of her heart, her soul.","3.25-4.25","","7","null"
"6798","{""Q0"":4}","survey-likert","5","81577","0.0-3.0-0.2","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","622","She started to look uncomfortable then hid it.","4.25-5.25","","5","null"
"6158","{""Q0"":1}","survey-likert","6","87737","0.0-3.0-0.3","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","426","The thought of using makeup made her shiver.","3.25-4.25","","2","null"
"4327","{""Q0"":6}","survey-likert","7","92065","0.0-3.0-0.4","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","181","Don't let your guard down for a moment.","2.25-3.25","","7","null"
"4414","{""Q0"":6}","survey-likert","8","96481","0.0-3.0-0.5","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","456","A smile worked its way to her lips.","3.25-4.25","","7","null"
"5038","{""Q0"":6}","survey-likert","9","101521","0.0-3.0-0.6","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","220","What a day this was going to be!","2.25-3.25","","7","null"
"2710","{""Q0"":4}","survey-likert","10","104233","0.0-3.0-0.7","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","152","I am not going to talk about it.","<2.25","","5","null"
"3055","{""Q0"":5}","survey-likert","11","107289","0.0-3.0-0.8","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","460","He's so busy lately I hardly see him.","3.25-4.25","","6","null"
"3854","{""Q0"":4}","survey-likert","12","111144","0.0-3.0-0.9","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","281","What's this amazing thing that's happening to her?","2.25-3.25","","5","null"
"5414","{""Q0"":6}","survey-likert","13","116560","0.0-3.0-0.10","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","725","The assembly also sometimes is about moral teaching.",">5.25","","7","null"
"3062","{""Q0"":5}","survey-likert","14","119624","0.0-3.0-0.11","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","121","That's what I am trying to tell you.","<2.25","","6","null"
"3119","{""Q0"":6}","survey-likert","15","122744","0.0-3.0-0.12","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","351","It was as if the darkness itself thickened.","3.25-4.25","","7","null"
"4431","{""Q0"":5}","survey-likert","16","127176","0.0-3.0-0.13","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","559","He pointed out the device on the shield.","4.25-5.25","","6","null"
"3206","{""Q0"":6}","survey-likert","17","130384","0.0-3.0-0.14","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","100","As you can see, it is quite large.","<2.25","","7","null"
"5094","{""Q0"":3}","survey-likert","18","135480","0.0-3.0-0.15","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","164","We need to take it a step further.","2.25-3.25","","4","null"
"6335","{""Q0"":6}","survey-likert","19","141816","0.0-3.0-0.16","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","683","The air traffic control center functions without these.",">5.25","","7","null"
"6862","{""Q0"":4}","survey-likert","20","148680","0.0-3.0-0.17","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","32","I want you to be my best man.","<2.25","","5","null"
"5663","{""Q0"":6}","survey-likert","21","154344","0.0-3.0-0.18","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","7","null"
"4366","{""Q0"":6}","survey-likert","22","158712","0.0-3.0-0.19","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","672","The metal collects charged particles, drawing a current.",">5.25","","7","null"
"3519","{""Q0"":0}","survey-likert","23","162232","0.0-3.0-0.20","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"3062","{""Q0"":5}","survey-likert","24","165296","0.0-3.0-0.21","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","612","He knows what happened at the shirt place.","4.25-5.25","","6","null"
"3095","{""Q0"":6}","survey-likert","25","168392","0.0-3.0-0.22","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","41","You're going to have to talk to them.","<2.25","","7","null"
"6279","{""Q0"":2}","survey-likert","26","174672","0.0-3.0-0.23","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","54","Would you like to come back one day?","<2.25","","3","null"
"4439","{""Q0"":6}","survey-likert","27","179112","0.0-3.0-0.24","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","445","She took not one more step toward him.","3.25-4.25","","7","null"
"3286","{""Q0"":6}","survey-likert","28","182400","0.0-3.0-0.25","67111bf261090940b6316e55","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","718","All three anchor stores are on one level.",">5.25","","7","null"
