"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8538","{""Q0"":""6a05f0d806c5d4e12b6f66bc""}","survey-text","0","8548","0.0-0.0","6a05f0d806c5d4e12b6f66bc","","","","","","","","","","","",""
"21983","0","html-button-response","1","30532","0.0-1.0","6a05f0d806c5d4e12b6f66bc","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"25287","0","html-button-response","2","55819","0.0-2.0","6a05f0d806c5d4e12b6f66bc","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"3151","{""Q0"":6}","survey-likert","3","58971","0.0-3.0-0.0","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","7","null"
"4879","{""Q0"":5}","survey-likert","4","63851","0.0-3.0-0.1","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"6752","{""Q0"":4}","survey-likert","5","70603","0.0-3.0-0.2","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","5","null"
"3951","{""Q0"":6}","survey-likert","6","74555","0.0-3.0-0.3","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","7","null"
"3055","{""Q0"":6}","survey-likert","7","77611","0.0-3.0-0.4","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","7","null"
"8711","{""Q0"":3}","survey-likert","8","86323","0.0-3.0-0.5","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","4","null"
"11255","{""Q0"":6}","survey-likert","9","97579","0.0-3.0-0.6","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","7","null"
"2791","{""Q0"":6}","survey-likert","10","100371","0.0-3.0-0.7","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","152","I am not going to talk about it.","<2.25","","7","null"
"2176","{""Q0"":6}","survey-likert","11","102547","0.0-3.0-0.8","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","460","He's so busy lately I hardly see him.","3.25-4.25","","7","null"
"6223","{""Q0"":6}","survey-likert","12","108771","0.0-3.0-0.9","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","281","What's this amazing thing that's happening to her?","2.25-3.25","","7","null"
"6935","{""Q0"":2}","survey-likert","13","115707","0.0-3.0-0.10","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","725","The assembly also sometimes is about moral teaching.",">5.25","","3","null"
"2887","{""Q0"":6}","survey-likert","14","118595","0.0-3.0-0.11","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","121","That's what I am trying to tell you.","<2.25","","7","null"
"4472","{""Q0"":2}","survey-likert","15","123067","0.0-3.0-0.12","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","351","It was as if the darkness itself thickened.","3.25-4.25","","3","null"
"3871","{""Q0"":6}","survey-likert","16","126939","0.0-3.0-0.13","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","559","He pointed out the device on the shield.","4.25-5.25","","7","null"
"3447","{""Q0"":4}","survey-likert","17","130387","0.0-3.0-0.14","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","100","As you can see, it is quite large.","<2.25","","5","null"
"3183","{""Q0"":6}","survey-likert","18","133571","0.0-3.0-0.15","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","164","We need to take it a step further.","2.25-3.25","","7","null"
"5591","{""Q0"":4}","survey-likert","19","139163","0.0-3.0-0.16","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","683","The air traffic control center functions without these.",">5.25","","5","null"
"1952","{""Q0"":6}","survey-likert","20","141115","0.0-3.0-0.17","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","32","I want you to be my best man.","<2.25","","7","null"
"4695","{""Q0"":6}","survey-likert","21","145811","0.0-3.0-0.18","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","7","null"
"8471","{""Q0"":3}","survey-likert","22","154283","0.0-3.0-0.19","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","672","The metal collects charged particles, drawing a current.",">5.25","","4","null"
"2023","{""Q0"":2}","survey-likert","23","156307","0.0-3.0-0.20","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"2575","{""Q0"":4}","survey-likert","24","158883","0.0-3.0-0.21","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","612","He knows what happened at the shirt place.","4.25-5.25","","5","null"
"2631","{""Q0"":6}","survey-likert","25","161515","0.0-3.0-0.22","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","41","You're going to have to talk to them.","<2.25","","7","null"
"2639","{""Q0"":6}","survey-likert","26","164155","0.0-3.0-0.23","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","54","Would you like to come back one day?","<2.25","","7","null"
"5832","{""Q0"":3}","survey-likert","27","169987","0.0-3.0-0.24","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","445","She took not one more step toward him.","3.25-4.25","","4","null"
"4727","{""Q0"":4}","survey-likert","28","174715","0.0-3.0-0.25","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","718","All three anchor stores are on one level.",">5.25","","5","null"
"3559","{""Q0"":6}","survey-likert","29","178275","0.0-3.0-0.26","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","346","He leaned forward, looking directly at the president.","3.25-4.25","","7","null"
"3719","{""Q0"":5}","survey-likert","30","181995","0.0-3.0-0.27","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","538","The platform carried us to the surface again.","4.25-5.25","","6","null"
"4271","{""Q0"":2}","survey-likert","31","186267","0.0-3.0-0.28","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","793","A short row of stores lay directly ahead.",">5.25","","3","null"
"5384","{""Q0"":3}","survey-likert","32","191651","0.0-3.0-0.29","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","761","Peter drove away and David came back inside.",">5.25","","4","null"
"1751","{""Q0"":6}","survey-likert","33","193403","0.0-3.0-0.30","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","156","What do you want to hear from me?","<2.25","","7","null"
"7344","{""Q0"":6}","survey-likert","34","200747","0.0-3.0-0.31","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","408","I opened the heavy door and looked inside.","3.25-4.25","","7","null"
"6295","{""Q0"":4}","survey-likert","35","207043","0.0-3.0-0.32","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","642","It stems from a primal attraction for shelter.",">5.25","","5","null"
"2423","{""Q0"":5}","survey-likert","36","209467","0.0-3.0-0.33","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","86","That's just the way it is for me.","<2.25","","6","null"
"3056","{""Q0"":6}","survey-likert","37","212523","0.0-3.0-0.34","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","621","I set the girl down by the others.","4.25-5.25","","7","null"
"4479","{""Q0"":2}","survey-likert","38","217003","0.0-3.0-0.35","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","575","He smiled when he saw the shadows part.","4.25-5.25","","3","null"
"3935","{""Q0"":6}","survey-likert","39","220939","0.0-3.0-0.36","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","571","The next morning she was literally shaken awake.","4.25-5.25","","7","null"
"4855","{""Q0"":6}","survey-likert","40","225795","0.0-3.0-0.37","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","114","Well, you can sleep here if you want.","<2.25","","7","null"
"5111","{""Q0"":5}","survey-likert","41","230907","0.0-3.0-0.38","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","781","That one moment could erase all you've accomplished.",">5.25","","6","null"
"6240","{""Q0"":3}","survey-likert","42","237147","0.0-3.0-0.39","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","503","She was almost twelve, her passions yet unfettered.","4.25-5.25","","4","null"
"8479","{""Q0"":4}","survey-likert","43","245627","0.0-3.0-0.40","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","500","Jane heaved her paperwork out of the kitchen.","4.25-5.25","","5","null"
"1471","{""Q0"":3}","survey-likert","44","247099","0.0-3.0-0.41","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"5167","{""Q0"":4}","survey-likert","45","252267","0.0-3.0-0.42","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","583","He served briefly as a superior court judge.","4.25-5.25","","5","null"
"2183","{""Q0"":6}","survey-likert","46","254451","0.0-3.0-0.43","6a05f0d806c5d4e12b6f66bc","","[0]","","4","1","How much does the sentence make sense?","174","She closed the door and leaned against it.","2.25-3.25","","7","null"
