"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9204","{""Q0"":""69ca95a790c1d1aed071d5a1""}","survey-text","0","9212","0.0-0.0","69ca95a790c1d1aed071d5a1","","","","","","","","","","","",""
"37815","0","html-button-response","1","47028","0.0-1.0","69ca95a790c1d1aed071d5a1","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"70143","0","html-button-response","2","117172","0.0-2.0","69ca95a790c1d1aed071d5a1","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16519","{""Q0"":4}","survey-likert","3","133692","0.0-3.0-0.0","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","5","null"
"25892","{""Q0"":3}","survey-likert","4","159588","0.0-3.0-0.1","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","4","null"
"11559","{""Q0"":4}","survey-likert","5","171148","0.0-3.0-0.2","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","5","null"
"10670","{""Q0"":3}","survey-likert","6","181819","0.0-3.0-0.3","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","4","null"
"9336","{""Q0"":4}","survey-likert","7","191156","0.0-3.0-0.4","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","5","null"
"11414","{""Q0"":6}","survey-likert","8","202571","0.0-3.0-0.5","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"12408","{""Q0"":3}","survey-likert","9","214980","0.0-3.0-0.6","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","4","null"
"41823","{""Q0"":1}","survey-likert","10","256804","0.0-3.0-0.7","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","2","null"
"9814","{""Q0"":1}","survey-likert","11","266620","0.0-3.0-0.8","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","2","null"
"10087","{""Q0"":3}","survey-likert","12","276708","0.0-3.0-0.9","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","4","null"
"19190","{""Q0"":2}","survey-likert","13","295900","0.0-3.0-0.10","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","3","null"
"5935","{""Q0"":5}","survey-likert","14","301836","0.0-3.0-0.11","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","6","null"
"7567","{""Q0"":2}","survey-likert","15","309404","0.0-3.0-0.12","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","3","null"
"8551","{""Q0"":2}","survey-likert","16","317956","0.0-3.0-0.13","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","3","null"
"5879","{""Q0"":1}","survey-likert","17","323836","0.0-3.0-0.14","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","382","I feel a new sun on my skin","3.25-4.25","","2","null"
"8407","{""Q0"":5}","survey-likert","18","332244","0.0-3.0-0.15","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","585","I did get a lot accomplished this week.","4.25-5.25","","6","null"
"5375","{""Q0"":2}","survey-likert","19","337620","0.0-3.0-0.16","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","21","I don't know what to do with you.","<2.25","","3","null"
"8143","{""Q0"":4}","survey-likert","20","345764","0.0-3.0-0.17","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","36","I think I'm going to go to bed.","<2.25","","5","null"
"11343","{""Q0"":3}","survey-likert","21","357108","0.0-3.0-0.18","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","22","Why don't you come in for a while?","<2.25","","4","null"
"16679","{""Q0"":1}","survey-likert","22","373788","0.0-3.0-0.19","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","312","The chauffeur changes the lock on the door.","2.25-3.25","","2","null"
"4335","{""Q0"":0}","survey-likert","23","378124","0.0-3.0-0.20","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"6950","{""Q0"":5}","survey-likert","24","385076","0.0-3.0-0.21","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","131","Why do you want to know my name?","<2.25","","6","null"
"10263","{""Q0"":1}","survey-likert","25","395339","0.0-3.0-0.22","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","640","They mine the leaves of their host plant.","4.25-5.25","","2","null"
"11455","{""Q0"":1}","survey-likert","26","406796","0.0-3.0-0.23","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","2","null"
"7784","{""Q0"":1}","survey-likert","27","414580","0.0-3.0-0.24","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","786","Matthew stumbled as his feet met solid steps.",">5.25","","2","null"
"8278","{""Q0"":3}","survey-likert","28","422859","0.0-3.0-0.25","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","442","Fancy eating food with a fly in it!","3.25-4.25","","4","null"
"5151","{""Q0"":6}","survey-likert","29","428011","0.0-3.0-0.26","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","257","The words are coming out of my mouth.","2.25-3.25","","7","null"
"7584","{""Q0"":3}","survey-likert","30","435596","0.0-3.0-0.27","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","325","However, the distinction is still not universally applied.","3.25-4.25","","4","null"
"4598","{""Q0"":4}","survey-likert","31","440195","0.0-3.0-0.28","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","458","Bring him back to see me on Friday.","3.25-4.25","","5","null"
"10927","{""Q0"":5}","survey-likert","32","451123","0.0-3.0-0.29","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","141","Hopefully, I'll be able to find this guy.","<2.25","","6","null"
"24847","{""Q0"":2}","survey-likert","33","475971","0.0-3.0-0.30","69ca95a790c1d1aed071d5a1","","[0]","","5","1","How much does the sentence make sense?","742","Another long moment passed, William content to wait.",">5.25","","3","null"
