"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7232","{""Q0"":""64136da866ff27f7bf98cfe0""}","survey-text","0","7238","0.0-0.0","64136da866ff27f7bf98cfe0","","","","","","","","","","","",""
"16353","0","html-button-response","1","23592","0.0-1.0","64136da866ff27f7bf98cfe0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"31746","0","html-button-response","2","55338","0.0-2.0","64136da866ff27f7bf98cfe0","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10748","{""Q0"":1}","survey-likert","3","66087","0.0-3.0-0.0","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","108","What do you do to make ends meet?","<2.25","","2","null"
"10376","{""Q0"":4}","survey-likert","4","76464","0.0-3.0-0.1","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","5","null"
"8939","{""Q0"":6}","survey-likert","5","85404","0.0-3.0-0.2","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","774","The sheep turn round and charge the shepherd?",">5.25","","7","null"
"8380","{""Q0"":5}","survey-likert","6","93784","0.0-3.0-0.3","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","783","There was more chatter and tapping of watches.",">5.25","","6","null"
"4825","{""Q0"":1}","survey-likert","7","98610","0.0-3.0-0.4","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","166","I'd love to hear about what you're doing.","2.25-3.25","","2","null"
"6420","{""Q0"":1}","survey-likert","8","105031","0.0-3.0-0.5","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","2","null"
"6661","{""Q0"":1}","survey-likert","9","111693","0.0-3.0-0.6","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
"6340","{""Q0"":2}","survey-likert","10","118033","0.0-3.0-0.7","64136da866ff27f7bf98cfe0","","[0]","","1","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","541","Music and laughter came from inside the shop.","4.25-5.25","","3","null"
