"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"18216","{""Q0"":""69ca0d6c15320ea8c68b3f67""}","survey-text","0","18227","0.0-0.0","69ca0d6c15320ea8c68b3f67","","","","","","","","","","","",""
"56366","0","html-button-response","1","74595","0.0-1.0","69ca0d6c15320ea8c68b3f67","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"55345","0","html-button-response","2","129954","0.0-2.0","69ca0d6c15320ea8c68b3f67","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"21216","{""Q0"":5}","survey-likert","3","151174","0.0-3.0-0.0","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","6","null"
"47263","{""Q0"":5}","survey-likert","4","198441","0.0-3.0-0.1","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","696","Relief swept through her when she found one.",">5.25","","6","null"
"6102","{""Q0"":0}","survey-likert","5","204546","0.0-3.0-0.2","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","404","There is a little white at the base.","3.25-4.25","","1","null"
"21586","{""Q0"":2}","survey-likert","6","226136","0.0-3.0-0.3","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","398","What did you put for your best feature?","3.25-4.25","","3","null"
"67333","{""Q0"":4}","survey-likert","7","293470","0.0-3.0-0.4","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","81","I want you to have a good time.","<2.25","","5","null"
"7012","{""Q0"":3}","survey-likert","8","300485","0.0-3.0-0.5","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","42","It's the logical thing to do, isn't it?","<2.25","","4","null"
"5223","{""Q0"":3}","survey-likert","9","305712","0.0-3.0-0.6","69ca0d6c15320ea8c68b3f67","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","145","Truth is, I don't know what to say.","<2.25","","4","null"
