"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4175","{""Q0"":""654a44f0addb5f41f1705b75""}","survey-text","0","4192","0.0-0.0","654a44f0addb5f41f1705b75","","","","","","","","","","","",""
"7281","0","html-button-response","1","11476","0.0-1.0","654a44f0addb5f41f1705b75","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"37880","0","html-button-response","2","49358","0.0-2.0","654a44f0addb5f41f1705b75","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"19413","{""Q0"":1}","survey-likert","3","68776","0.0-3.0-0.0","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","49","All you had to do was walk away.","<2.25","","2","null"
"12795","{""Q0"":4}","survey-likert","4","81575","0.0-3.0-0.1","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","153","Only one of them could have done that.","<2.25","","5","null"
"9630","{""Q0"":3}","survey-likert","5","91208","0.0-3.0-0.2","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","326","He was holding his backpack over his head.","3.25-4.25","","4","null"
"9713","{""Q0"":4}","survey-likert","6","100925","0.0-3.0-0.3","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","5","null"
"5364","{""Q0"":3}","survey-likert","7","106293","0.0-3.0-0.4","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","59","I really haven't made up my mind yet.","<2.25","","4","null"
"10529","{""Q0"":3}","survey-likert","8","116825","0.0-3.0-0.5","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","512","The other two float out into the vacuum.","4.25-5.25","","4","null"
"13614","{""Q0"":3}","survey-likert","9","130441","0.0-3.0-0.6","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","420","He put half a dozen in his pouch.","3.25-4.25","","4","null"
"4282","{""Q0"":4}","survey-likert","10","134725","0.0-3.0-0.7","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","68","He picked it up and looked at it.","<2.25","","5","null"
"10349","{""Q0"":3}","survey-likert","11","145077","0.0-3.0-0.8","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","733","They must purchase the electric power at wholesale.",">5.25","","4","null"
"6780","{""Q0"":2}","survey-likert","12","151859","0.0-3.0-0.9","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","403","They were putting on a mask of calm.","3.25-4.25","","3","null"
"7648","{""Q0"":5}","survey-likert","13","159510","0.0-3.0-0.10","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","625","With luck, maybe it will work without trouble.","4.25-5.25","","6","null"
"7096","{""Q0"":3}","survey-likert","14","166608","0.0-3.0-0.11","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","185","Suddenly there was an image in my mind.","2.25-3.25","","4","null"
"9298","{""Q0"":1}","survey-likert","15","175908","0.0-3.0-0.12","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","139","There's a lot of things I can't change.","<2.25","","2","null"
"7347","{""Q0"":4}","survey-likert","16","183257","0.0-3.0-0.13","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","496","She shopped for only one thing: a bargain.","4.25-5.25","","5","null"
"7184","{""Q0"":4}","survey-likert","17","190443","0.0-3.0-0.14","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","148","Let me know what you think of that.","<2.25","","5","null"
"11278","{""Q0"":5}","survey-likert","18","201724","0.0-3.0-0.15","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","492","There's already a half million in this portfolio.","4.25-5.25","","6","null"
"4499","{""Q0"":2}","survey-likert","19","206225","0.0-3.0-0.16","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","103","Mister, I don't want to know your name.","<2.25","","3","null"
"6864","{""Q0"":1}","survey-likert","20","213091","0.0-3.0-0.17","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","319","Then you should go back to your table.","2.25-3.25","","2","null"
"5033","{""Q0"":3}","survey-likert","21","218126","0.0-3.0-0.18","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","508","The elves nodded and headed for the house.","4.25-5.25","","4","null"
"5747","{""Q0"":3}","survey-likert","22","223876","0.0-3.0-0.19","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","549","It is the second planet from their sun.","4.25-5.25","","4","null"
"11459","{""Q0"":4}","survey-likert","23","235338","0.0-3.0-0.20","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"13836","{""Q0"":1}","survey-likert","24","249177","0.0-3.0-0.21","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","729","Making what we all believe look like dirt",">5.25","","2","null"
"3845","{""Q0"":2}","survey-likert","25","253025","0.0-3.0-0.22","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","72","We have a lot of work to do.","<2.25","","3","null"
"7382","{""Q0"":4}","survey-likert","26","260408","0.0-3.0-0.23","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","265","And are you happy with your new book?","2.25-3.25","","5","null"
"7282","{""Q0"":1}","survey-likert","27","267692","0.0-3.0-0.24","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","724","Every second wasted in negotiation made her nervous.",">5.25","","2","null"
"5399","{""Q0"":2}","survey-likert","28","273092","0.0-3.0-0.25","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","101","How am I supposed to tell the difference?","<2.25","","3","null"
"6898","{""Q0"":3}","survey-likert","29","279992","0.0-3.0-0.26","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","580","Where would a wise man hide a leaf?","4.25-5.25","","4","null"
"7082","{""Q0"":4}","survey-likert","30","287076","0.0-3.0-0.27","654a44f0addb5f41f1705b75","","[0]","","6","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","79","I didn't even know you were in town.","<2.25","","5","null"
