"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3864","{""Q0"":""697171911e8c97f9701b29f0""}","survey-text","0","3902","0.0-0.0","697171911e8c97f9701b29f0","","","","","","","","","","","",""
"1295","0","html-button-response","1","5200","0.0-1.0","697171911e8c97f9701b29f0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43381","0","html-button-response","2","48584","0.0-2.0","697171911e8c97f9701b29f0","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7136","{""Q0"":5}","survey-likert","3","55726","0.0-3.0-0.0","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","6","null"
"20820","{""Q0"":4}","survey-likert","4","76549","0.0-3.0-0.1","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","5","null"
"3821","{""Q0"":3}","survey-likert","5","80372","0.0-3.0-0.2","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","4","null"
"5137","{""Q0"":2}","survey-likert","6","85510","0.0-3.0-0.3","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","3","null"
"2297","{""Q0"":5}","survey-likert","7","87809","0.0-3.0-0.4","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","6","null"
"16849","{""Q0"":4}","survey-likert","8","104659","0.0-3.0-0.5","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"2619","{""Q0"":1}","survey-likert","9","107280","0.0-3.0-0.6","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
"3235","{""Q0"":2}","survey-likert","10","110518","0.0-3.0-0.7","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","541","Music and laughter came from inside the shop.","4.25-5.25","","3","null"
"3505","{""Q0"":4}","survey-likert","11","114024","0.0-3.0-0.8","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"2333","{""Q0"":4}","survey-likert","12","116359","0.0-3.0-0.9","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","5","null"
"5202","{""Q0"":5}","survey-likert","13","121562","0.0-3.0-0.10","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","27","Sir, would you like to leave a message?","<2.25","","6","null"
"37068","{""Q0"":4}","survey-likert","14","158631","0.0-3.0-0.11","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","5","null"
"3190","{""Q0"":5}","survey-likert","15","161822","0.0-3.0-0.12","697171911e8c97f9701b29f0","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","778","That was very interesting research George was doing!",">5.25","","6","null"
