"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3285","{""Q0"":""5dacff17847579001715f610""}","survey-text","0","3294","0.0-0.0","5dacff17847579001715f610","","","","","","","","","","","",""
"1700","0","html-button-response","1","4996","0.0-1.0","5dacff17847579001715f610","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2553","0","html-button-response","2","7549","0.0-2.0","5dacff17847579001715f610","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7220","{""Q0"":0}","survey-likert","3","14771","0.0-3.0-0.0","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"5153","{""Q0"":0}","survey-likert","4","19925","0.0-3.0-0.1","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"4637","{""Q0"":0}","survey-likert","5","24563","0.0-3.0-0.2","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"4397","{""Q0"":0}","survey-likert","6","28961","0.0-3.0-0.3","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"3823","{""Q0"":1}","survey-likert","7","32785","0.0-3.0-0.4","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","2","null"
"6133","{""Q0"":2}","survey-likert","8","38919","0.0-3.0-0.5","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","3","null"
"4841","{""Q0"":4}","survey-likert","9","43761","0.0-3.0-0.6","5dacff17847579001715f610","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","5","null"
