"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7259","{""Q0"":""6153564ce7f8925dee8d7d7d""}","survey-text","0","7297","0.0-0.0","6153564ce7f8925dee8d7d7d","","","","","","","","","","","",""
"6194","0","html-button-response","1","13494","0.0-1.0","6153564ce7f8925dee8d7d7d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43802","0","html-button-response","2","57297","0.0-2.0","6153564ce7f8925dee8d7d7d","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12652","{""Q0"":6}","survey-likert","3","69952","0.0-3.0-0.0","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","91","This is the worst moment of my life.","<2.25","","7","null"
"13459","{""Q0"":3}","survey-likert","4","83413","0.0-3.0-0.1","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","5","Is there anything I can do for you?","<2.25","","4","null"
"10505","{""Q0"":3}","survey-likert","5","93920","0.0-3.0-0.2","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","285","And now there are trees all around us.","2.25-3.25","","4","null"
"9661","{""Q0"":2}","survey-likert","6","103584","0.0-3.0-0.3","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","3","null"
"10560","{""Q0"":5}","survey-likert","7","114145","0.0-3.0-0.4","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","67","Oh, I wish I could remember the name.","<2.25","","6","null"
"8314","{""Q0"":5}","survey-likert","8","122462","0.0-3.0-0.5","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","336","He looked at me with a wacky gaze.","3.25-4.25","","6","null"
"6728","{""Q0"":6}","survey-likert","9","129192","0.0-3.0-0.6","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","138","There is no use in talking about it.","<2.25","","7","null"
"11237","{""Q0"":5}","survey-likert","10","140430","0.0-3.0-0.7","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","502","We were surrounded by people from various origins.","4.25-5.25","","6","null"
"20292","{""Q0"":3}","survey-likert","11","160725","0.0-3.0-0.8","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","699","It also had real but limited economic advances.",">5.25","","4","null"
"11297","{""Q0"":5}","survey-likert","12","172024","0.0-3.0-0.9","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","92","Maybe you should take another look at it.","<2.25","","6","null"
"5810","{""Q0"":6}","survey-likert","13","177837","0.0-3.0-0.10","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"5405","{""Q0"":6}","survey-likert","14","183244","0.0-3.0-0.11","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","94","This is not where I want to be.","<2.25","","7","null"
"6330","{""Q0"":6}","survey-likert","15","189576","0.0-3.0-0.12","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","7","null"
"85519","{""Q0"":5}","survey-likert","16","275098","0.0-3.0-0.13","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","771","Reactions worked totally off of his trained instincts.",">5.25","","6","null"
"8701","{""Q0"":6}","survey-likert","17","283801","0.0-3.0-0.14","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","115","What am I going to say to them?","<2.25","","7","null"
"4217","{""Q0"":6}","survey-likert","18","288020","0.0-3.0-0.15","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","99","I was trying to do the right thing.","<2.25","","7","null"
"9412","{""Q0"":5}","survey-likert","19","297433","0.0-3.0-0.16","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
"6978","{""Q0"":5}","survey-likert","20","304413","0.0-3.0-0.17","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","6","null"
"7795","{""Q0"":6}","survey-likert","21","312210","0.0-3.0-0.18","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","701","I was elected captain and James became jealous.",">5.25","","7","null"
"14400","{""Q0"":2}","survey-likert","22","326612","0.0-3.0-0.19","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","3","null"
"14031","{""Q0"":0}","survey-likert","23","340644","0.0-3.0-0.20","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"51899","{""Q0"":5}","survey-likert","24","392546","0.0-3.0-0.21","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","764","Your writ runs in the hours of darkness.",">5.25","","6","null"
"62823","{""Q0"":4}","survey-likert","25","455370","0.0-3.0-0.22","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","455","However, I am without argument to explain it.","3.25-4.25","","5","null"
"21428","{""Q0"":5}","survey-likert","26","476801","0.0-3.0-0.23","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","288","Isn't she coming home for tea after all?","2.25-3.25","","6","null"
"32595","{""Q0"":6}","survey-likert","27","509397","0.0-3.0-0.24","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","76","I can't get it out of my head.","<2.25","","7","null"
"8627","{""Q0"":4}","survey-likert","28","518025","0.0-3.0-0.25","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","179","In the meantime, I had much to do.","2.25-3.25","","5","null"
"5916","{""Q0"":5}","survey-likert","29","523943","0.0-3.0-0.26","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","254","He had not expected them to believe him.","2.25-3.25","","6","null"
"45316","{""Q0"":2}","survey-likert","30","569261","0.0-3.0-0.27","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","345","It was a very heavy silence that followed.","3.25-4.25","","3","null"
"14678","{""Q0"":4}","survey-likert","31","583941","0.0-3.0-0.28","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","5","null"
"17247","{""Q0"":4}","survey-likert","32","601190","0.0-3.0-0.29","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","305","I went out to get him some food.","2.25-3.25","","5","null"
"12959","{""Q0"":2}","survey-likert","33","614151","0.0-3.0-0.30","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","518","Go figure, no one wears hats these days.","4.25-5.25","","3","null"
"10888","{""Q0"":1}","survey-likert","34","625041","0.0-3.0-0.31","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","532","They keep inviting us back every single year.","4.25-5.25","","2","null"
"7213","{""Q0"":5}","survey-likert","35","632256","0.0-3.0-0.32","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","466","He pulled up with all of his strength.","3.25-4.25","","6","null"
"6848","{""Q0"":4}","survey-likert","36","639105","0.0-3.0-0.33","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","234","Why do you think you're in this pickle?","2.25-3.25","","5","null"
"80908","{""Q0"":6}","survey-likert","37","720015","0.0-3.0-0.34","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","7","null"
"6112","{""Q0"":6}","survey-likert","38","726129","0.0-3.0-0.35","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","69","Looks like someone wants to be a hero.","<2.25","","7","null"
"39357","{""Q0"":4}","survey-likert","39","765488","0.0-3.0-0.36","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","104","Everything you need to know is right there.","<2.25","","5","null"
"8675","{""Q0"":4}","survey-likert","40","774165","0.0-3.0-0.37","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","375","She can also be a bear at times.","3.25-4.25","","5","null"
"8825","{""Q0"":1}","survey-likert","41","782991","0.0-3.0-0.38","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","57","But I don't know exactly where she is.","<2.25","","2","null"
"9434","{""Q0"":5}","survey-likert","42","792426","0.0-3.0-0.39","6153564ce7f8925dee8d7d7d","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","600","It was not the most comfortable of transport.","4.25-5.25","","6","null"
