"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"40098","{""Q0"":""60e6b55696dade249aa3249b""}","survey-text","0","40141","0.0-0.0","60e6b55696dade249aa3249b","","","","","","","","","","","",""
"43439","0","html-button-response","1","83584","0.0-1.0","60e6b55696dade249aa3249b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"9226","0","html-button-response","2","92815","0.0-2.0","60e6b55696dade249aa3249b","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"21168","{""Q0"":5}","survey-likert","3","113985","0.0-3.0-0.0","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","91","This is the worst moment of my life.","<2.25","","6","null"
"4742","{""Q0"":5}","survey-likert","4","118729","0.0-3.0-0.1","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","5","Is there anything I can do for you?","<2.25","","6","null"
"10298","{""Q0"":6}","survey-likert","5","129029","0.0-3.0-0.2","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"3136","{""Q0"":6}","survey-likert","6","132170","0.0-3.0-0.3","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","7","null"
"4231","{""Q0"":5}","survey-likert","7","136403","0.0-3.0-0.4","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","67","Oh, I wish I could remember the name.","<2.25","","6","null"
"6469","{""Q0"":2}","survey-likert","8","142873","0.0-3.0-0.5","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","336","He looked at me with a wacky gaze.","3.25-4.25","","3","null"
"3470","{""Q0"":5}","survey-likert","9","146345","0.0-3.0-0.6","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","138","There is no use in talking about it.","<2.25","","6","null"
"2535","{""Q0"":5}","survey-likert","10","148881","0.0-3.0-0.7","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","502","We were surrounded by people from various origins.","4.25-5.25","","6","null"
"4757","{""Q0"":5}","survey-likert","11","153640","0.0-3.0-0.8","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","699","It also had real but limited economic advances.",">5.25","","6","null"
"2828","{""Q0"":4}","survey-likert","12","156471","0.0-3.0-0.9","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","92","Maybe you should take another look at it.","<2.25","","5","null"
"2397","{""Q0"":4}","survey-likert","13","158869","0.0-3.0-0.10","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","168","I'm just trying to find the right words.","2.25-3.25","","5","null"
"18987","{""Q0"":5}","survey-likert","14","177857","0.0-3.0-0.11","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","94","This is not where I want to be.","<2.25","","6","null"
"2443","{""Q0"":5}","survey-likert","15","180301","0.0-3.0-0.12","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"3265","{""Q0"":3}","survey-likert","16","183568","0.0-3.0-0.13","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","771","Reactions worked totally off of his trained instincts.",">5.25","","4","null"
"2645","{""Q0"":6}","survey-likert","17","186215","0.0-3.0-0.14","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","115","What am I going to say to them?","<2.25","","7","null"
"2462","{""Q0"":6}","survey-likert","18","188678","0.0-3.0-0.15","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","99","I was trying to do the right thing.","<2.25","","7","null"
"5779","{""Q0"":5}","survey-likert","19","194459","0.0-3.0-0.16","60e6b55696dade249aa3249b","","[0]","","3","4","How much does the sentence make you think of places, natural scenes and/or environments?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
