"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"402577","{""Q0"":""62964d27c2b2866faa677493""}","survey-text","0","402606","0.0-0.0","62964d27c2b2866faa677493","","","","","","","","","","","",""
"3057","0","html-button-response","1","405664","0.0-1.0","62964d27c2b2866faa677493","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"5740","0","html-button-response","2","411405","0.0-2.0","62964d27c2b2866faa677493","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"23272","{""Q0"":0}","survey-likert","3","434678","0.0-3.0-0.0","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","91","This is the worst moment of my life.","<2.25","","1","null"
"2912","{""Q0"":3}","survey-likert","4","437591","0.0-3.0-0.1","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","5","Is there anything I can do for you?","<2.25","","4","null"
"3924","{""Q0"":4}","survey-likert","5","441516","0.0-3.0-0.2","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","285","And now there are trees all around us.","2.25-3.25","","5","null"
"11364","{""Q0"":3}","survey-likert","6","452880","0.0-3.0-0.3","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","4","null"
"13219","{""Q0"":3}","survey-likert","7","466100","0.0-3.0-0.4","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","67","Oh, I wish I could remember the name.","<2.25","","4","null"
"2149","{""Q0"":2}","survey-likert","8","468252","0.0-3.0-0.5","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","336","He looked at me with a wacky gaze.","3.25-4.25","","3","null"
"4386","{""Q0"":2}","survey-likert","9","472638","0.0-3.0-0.6","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","138","There is no use in talking about it.","<2.25","","3","null"
"26665","{""Q0"":1}","survey-likert","10","499304","0.0-3.0-0.7","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","502","We were surrounded by people from various origins.","4.25-5.25","","2","null"
"3077","{""Q0"":1}","survey-likert","11","502381","0.0-3.0-0.8","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","699","It also had real but limited economic advances.",">5.25","","2","null"
"53859","{""Q0"":2}","survey-likert","12","556241","0.0-3.0-0.9","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","92","Maybe you should take another look at it.","<2.25","","3","null"
"67985","{""Q0"":1}","survey-likert","13","624228","0.0-3.0-0.10","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","168","I'm just trying to find the right words.","2.25-3.25","","2","null"
"2502","{""Q0"":1}","survey-likert","14","626732","0.0-3.0-0.11","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","94","This is not where I want to be.","<2.25","","2","null"
"17737","{""Q0"":3}","survey-likert","15","644470","0.0-3.0-0.12","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","359","So tonight I decided to have a barbecue.","3.25-4.25","","4","null"
"2318","{""Q0"":2}","survey-likert","16","646788","0.0-3.0-0.13","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","771","Reactions worked totally off of his trained instincts.",">5.25","","3","null"
"1534","{""Q0"":3}","survey-likert","17","648323","0.0-3.0-0.14","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","115","What am I going to say to them?","<2.25","","4","null"
"1608","{""Q0"":2}","survey-likert","18","649931","0.0-3.0-0.15","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","99","I was trying to do the right thing.","<2.25","","3","null"
"1915","{""Q0"":3}","survey-likert","19","651846","0.0-3.0-0.16","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","304","We must move before the sun comes up.","2.25-3.25","","4","null"
"17966","{""Q0"":2}","survey-likert","20","669814","0.0-3.0-0.17","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","3","null"
"3285","{""Q0"":3}","survey-likert","21","673100","0.0-3.0-0.18","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","701","I was elected captain and James became jealous.",">5.25","","4","null"
"2300","{""Q0"":2}","survey-likert","22","675399","0.0-3.0-0.19","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","177","Frankly, I can't spare the time right now.","2.25-3.25","","3","null"
"2471","{""Q0"":5}","survey-likert","23","677872","0.0-3.0-0.20","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"2958","{""Q0"":1}","survey-likert","24","680830","0.0-3.0-0.21","62964d27c2b2866faa677493","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
