"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10619","{""Q0"":""6161bdbff67e4b4621b530e7""}","survey-text","0","10644","0.0-0.0","6161bdbff67e4b4621b530e7","","","","","","","","","","","",""
"54798","0","html-button-response","1","65444","0.0-1.0","6161bdbff67e4b4621b530e7","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"114571","0","html-button-response","2","180016","0.0-2.0","6161bdbff67e4b4621b530e7","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"19957","{""Q0"":1}","survey-likert","3","199975","0.0-3.0-0.0","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","2","null"
"13290","{""Q0"":1}","survey-likert","4","213266","0.0-3.0-0.1","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","2","null"
"16195","{""Q0"":2}","survey-likert","5","229463","0.0-3.0-0.2","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","3","null"
"12747","{""Q0"":1}","survey-likert","6","242211","0.0-3.0-0.3","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","2","null"
"7795","{""Q0"":1}","survey-likert","7","250008","0.0-3.0-0.4","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","2","null"
"4960","{""Q0"":1}","survey-likert","8","254969","0.0-3.0-0.5","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","2","null"
"10980","{""Q0"":0}","survey-likert","9","265950","0.0-3.0-0.6","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"8758","{""Q0"":0}","survey-likert","10","274709","0.0-3.0-0.7","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","1","null"
"17989","{""Q0"":1}","survey-likert","11","292699","0.0-3.0-0.8","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","2","null"
"5598","{""Q0"":0}","survey-likert","12","298299","0.0-3.0-0.9","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","1","null"
"8539","{""Q0"":0}","survey-likert","13","306838","0.0-3.0-0.10","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"20273","{""Q0"":3}","survey-likert","14","327112","0.0-3.0-0.11","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","668","Elizabeth was sorting jars and tins of food.",">5.25","","4","null"
"21235","{""Q0"":4}","survey-likert","15","348348","0.0-3.0-0.12","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","286","Did you see an animal of any kind?","2.25-3.25","","5","null"
"6885","{""Q0"":0}","survey-likert","16","355235","0.0-3.0-0.13","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","258","I wonder how long I have been away.","2.25-3.25","","1","null"
"13474","{""Q0"":2}","survey-likert","17","368710","0.0-3.0-0.14","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","582","Then, she filled a bucket for her horse.","4.25-5.25","","3","null"
"5205","{""Q0"":1}","survey-likert","18","373916","0.0-3.0-0.15","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","202","He'd want to know as soon as possible.","2.25-3.25","","2","null"
"4129","{""Q0"":0}","survey-likert","19","378046","0.0-3.0-0.16","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","193","I was supposed to be doing something else.","2.25-3.25","","1","null"
"14996","{""Q0"":4}","survey-likert","20","393043","0.0-3.0-0.17","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","5","null"
"6063","{""Q0"":1}","survey-likert","21","399107","0.0-3.0-0.18","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","498","Very little is known about his sumo career.","4.25-5.25","","2","null"
"13955","{""Q0"":3}","survey-likert","22","413063","0.0-3.0-0.19","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","23","May I buy you a cup of coffee?","<2.25","","4","null"
"4418","{""Q0"":0}","survey-likert","23","417482","0.0-3.0-0.20","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"4829","{""Q0"":1}","survey-likert","24","422312","0.0-3.0-0.21","6161bdbff67e4b4621b530e7","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","331","Was there anything left for me to find?","3.25-4.25","","2","null"
