"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7680","{""Q0"":""698095090f43bdba98619693""}","survey-text","0","7692","0.0-0.0","698095090f43bdba98619693","","","","","","","","","","","",""
"72997","0","html-button-response","1","80693","0.0-1.0","698095090f43bdba98619693","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"71598","0","html-button-response","2","152294","0.0-2.0","698095090f43bdba98619693","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"19084","{""Q0"":5}","survey-likert","3","171383","0.0-3.0-0.0","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","117","Now, why did you ask to see me?","<2.25","","6","null"
"17350","{""Q0"":6}","survey-likert","4","188737","0.0-3.0-0.1","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","726","Or pretend we run an imaginary puppy store?",">5.25","","7","null"
"14941","{""Q0"":5}","survey-likert","5","203683","0.0-3.0-0.2","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","717","The crystals all over his car were growing.",">5.25","","6","null"
"12461","{""Q0"":6}","survey-likert","6","216149","0.0-3.0-0.3","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"11266","{""Q0"":0}","survey-likert","7","227419","0.0-3.0-0.4","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","249","I was just giving you a hard time.","2.25-3.25","","1","null"
"9776","{""Q0"":0}","survey-likert","8","237199","0.0-3.0-0.5","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","316","I could not believe what they were saying.","2.25-3.25","","1","null"
"11018","{""Q0"":5}","survey-likert","9","248221","0.0-3.0-0.6","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","6","null"
"15450","{""Q0"":5}","survey-likert","10","263673","0.0-3.0-0.7","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","800","Cass stands there looking at him march away.",">5.25","","6","null"
"11751","{""Q0"":1}","survey-likert","11","275427","0.0-3.0-0.8","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","605","It means methane gas leeching from the soil.","4.25-5.25","","2","null"
"18763","{""Q0"":5}","survey-likert","12","294194","0.0-3.0-0.9","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","795","Something ancient stirred far off in the forest.",">5.25","","6","null"
"12505","{""Q0"":1}","survey-likert","13","306701","0.0-3.0-0.10","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","695","This development enabled the emergence of secondary consciousness.",">5.25","","2","null"
"11023","{""Q0"":1}","survey-likert","14","317726","0.0-3.0-0.11","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","2","null"
"14815","{""Q0"":4}","survey-likert","15","332543","0.0-3.0-0.12","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","5","null"
"13209","{""Q0"":5}","survey-likert","16","345756","0.0-3.0-0.13","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","412","Can you see the spring in his step?","3.25-4.25","","6","null"
"16396","{""Q0"":5}","survey-likert","17","362157","0.0-3.0-0.14","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","382","I feel a new sun on my skin","3.25-4.25","","6","null"
"10889","{""Q0"":1}","survey-likert","18","373050","0.0-3.0-0.15","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","585","I did get a lot accomplished this week.","4.25-5.25","","2","null"
"12073","{""Q0"":1}","survey-likert","19","385126","0.0-3.0-0.16","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","21","I don't know what to do with you.","<2.25","","2","null"
"9225","{""Q0"":5}","survey-likert","20","394355","0.0-3.0-0.17","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","36","I think I'm going to go to bed.","<2.25","","6","null"
"15786","{""Q0"":4}","survey-likert","21","410144","0.0-3.0-0.18","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","22","Why don't you come in for a while?","<2.25","","5","null"
"7878","{""Q0"":5}","survey-likert","22","418026","0.0-3.0-0.19","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","312","The chauffeur changes the lock on the door.","2.25-3.25","","6","null"
"6898","{""Q0"":6}","survey-likert","23","424927","0.0-3.0-0.20","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"8538","{""Q0"":3}","survey-likert","24","433468","0.0-3.0-0.21","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","131","Why do you want to know my name?","<2.25","","4","null"
"9778","{""Q0"":5}","survey-likert","25","443249","0.0-3.0-0.22","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","640","They mine the leaves of their host plant.","4.25-5.25","","6","null"
"8965","{""Q0"":5}","survey-likert","26","452217","0.0-3.0-0.23","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","6","null"
"6243","{""Q0"":5}","survey-likert","27","458464","0.0-3.0-0.24","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","786","Matthew stumbled as his feet met solid steps.",">5.25","","6","null"
"7391","{""Q0"":5}","survey-likert","28","465858","0.0-3.0-0.25","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","442","Fancy eating food with a fly in it!","3.25-4.25","","6","null"
"3363","{""Q0"":5}","survey-likert","29","469224","0.0-3.0-0.26","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","257","The words are coming out of my mouth.","2.25-3.25","","6","null"
"11621","{""Q0"":1}","survey-likert","30","480846","0.0-3.0-0.27","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","325","However, the distinction is still not universally applied.","3.25-4.25","","2","null"
"5159","{""Q0"":5}","survey-likert","31","486006","0.0-3.0-0.28","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","458","Bring him back to see me on Friday.","3.25-4.25","","6","null"
"4720","{""Q0"":5}","survey-likert","32","490730","0.0-3.0-0.29","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","141","Hopefully, I'll be able to find this guy.","<2.25","","6","null"
"7722","{""Q0"":5}","survey-likert","33","498454","0.0-3.0-0.30","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","742","Another long moment passed, William content to wait.",">5.25","","6","null"
"6619","{""Q0"":3}","survey-likert","34","505075","0.0-3.0-0.31","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","393","He has no magic to compare with that.","3.25-4.25","","4","null"
"10675","{""Q0"":5}","survey-likert","35","515752","0.0-3.0-0.32","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","766","The vines, faster now, reached for her thighs.",">5.25","","6","null"
"5371","{""Q0"":5}","survey-likert","36","521126","0.0-3.0-0.33","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","95","What did you want to see me for?","<2.25","","6","null"
"7548","{""Q0"":6}","survey-likert","37","528675","0.0-3.0-0.34","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","775","The guard examined it and waved us on.",">5.25","","7","null"
"7535","{""Q0"":5}","survey-likert","38","536212","0.0-3.0-0.35","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","776","Inside, the folk were gathered wondering and praying.",">5.25","","6","null"
"6823","{""Q0"":3}","survey-likert","39","543037","0.0-3.0-0.36","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","607","As if she could still give me orders!","4.25-5.25","","4","null"
"10607","{""Q0"":4}","survey-likert","40","553647","0.0-3.0-0.37","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","565","I made choices without knowing I did it.","4.25-5.25","","5","null"
"7333","{""Q0"":5}","survey-likert","41","560984","0.0-3.0-0.38","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","573","The dining area can easily accommodate ninety people.","4.25-5.25","","6","null"
"5693","{""Q0"":5}","survey-likert","42","566679","0.0-3.0-0.39","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","735","Meet after work and sip tea while talking.",">5.25","","6","null"
"6463","{""Q0"":1}","survey-likert","43","573146","0.0-3.0-0.40","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","791","It needed scale and drama and special effects.",">5.25","","2","null"
"3987","{""Q0"":3}","survey-likert","44","577135","0.0-3.0-0.41","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"6380","{""Q0"":5}","survey-likert","45","583517","0.0-3.0-0.42","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","794","The security office always tapes from the cameras.",">5.25","","6","null"
"4423","{""Q0"":5}","survey-likert","46","587942","0.0-3.0-0.43","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","707","I trusted they could rescue my lost self.",">5.25","","6","null"
"4591","{""Q0"":5}","survey-likert","47","592537","0.0-3.0-0.44","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","700","Where was this girl getting her fashion tips?",">5.25","","6","null"
"5493","{""Q0"":6}","survey-likert","48","598033","0.0-3.0-0.45","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","716","I remember now each letter represented a number.",">5.25","","7","null"
"18157","{""Q0"":6}","survey-likert","49","616192","0.0-3.0-0.46","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","767","We took out a minute of opening credits.",">5.25","","7","null"
"4398","{""Q0"":2}","survey-likert","50","620593","0.0-3.0-0.47","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","631","How long would Rogers let it go on?","4.25-5.25","","3","null"
"6153","{""Q0"":6}","survey-likert","51","626747","0.0-3.0-0.48","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","109","I think I'll have a glass of water.","<2.25","","7","null"
"6322","{""Q0"":1}","survey-likert","52","633072","0.0-3.0-0.49","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","65","There must be something you can tell us.","<2.25","","2","null"
"34301","{""Q0"":4}","survey-likert","53","667375","0.0-3.0-0.50","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","591","You can love something without it being yours.","4.25-5.25","","5","null"
"8907","{""Q0"":3}","survey-likert","54","676285","0.0-3.0-0.51","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","379","You hold the power source in your hand.","3.25-4.25","","4","null"
"10554","{""Q0"":2}","survey-likert","55","686843","0.0-3.0-0.52","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","665","They traded tales as the night wore on.",">5.25","","3","null"
"5698","{""Q0"":5}","survey-likert","56","692544","0.0-3.0-0.53","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","443","You believe him to be an unreliable witness?","3.25-4.25","","6","null"
"5430","{""Q0"":5}","survey-likert","57","697975","0.0-3.0-0.54","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","296","You can have her lunch if you want.","2.25-3.25","","6","null"
"8975","{""Q0"":3}","survey-likert","58","706953","0.0-3.0-0.55","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","517","No way somebody found this place on purpose.","4.25-5.25","","4","null"
"8167","{""Q0"":3}","survey-likert","59","715122","0.0-3.0-0.56","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","255","That's what this experiment has all been about.","2.25-3.25","","4","null"
"5330","{""Q0"":3}","survey-likert","60","720454","0.0-3.0-0.57","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","425","Dreaming with your eyes open is so different.","3.25-4.25","","4","null"
"8344","{""Q0"":5}","survey-likert","61","728801","0.0-3.0-0.58","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","364","Melissa and her friends immediately began to disperse.","3.25-4.25","","6","null"
"4863","{""Q0"":2}","survey-likert","62","733667","0.0-3.0-0.59","698095090f43bdba98619693","","[0]","","5","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","200","I wasn't sure how to react to that.","2.25-3.25","","3","null"
