"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"11292","{""Q0"":""611e8be405de1e23f7232157""}","survey-text","0","11299","0.0-0.0","611e8be405de1e23f7232157","","","","","","","","","","","",""
"1644","0","html-button-response","1","12946","0.0-1.0","611e8be405de1e23f7232157","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"2283","0","html-button-response","2","15230","0.0-2.0","611e8be405de1e23f7232157","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12931","{""Q0"":1}","survey-likert","3","28164","0.0-3.0-0.0","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","108","What do you do to make ends meet?","<2.25","","2","null"
"7299","{""Q0"":3}","survey-likert","4","35464","0.0-3.0-0.1","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","4","null"
"11031","{""Q0"":5}","survey-likert","5","46497","0.0-3.0-0.2","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"8013","{""Q0"":4}","survey-likert","6","54512","0.0-3.0-0.3","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"5748","{""Q0"":4}","survey-likert","7","60262","0.0-3.0-0.4","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","166","I'd love to hear about what you're doing.","2.25-3.25","","5","null"
"6430","{""Q0"":5}","survey-likert","8","66693","0.0-3.0-0.5","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","6","null"
"6131","{""Q0"":2}","survey-likert","9","72826","0.0-3.0-0.6","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","3","null"
"3682","{""Q0"":4}","survey-likert","10","76509","0.0-3.0-0.7","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","541","Music and laughter came from inside the shop.","4.25-5.25","","5","null"
"2933","{""Q0"":3}","survey-likert","11","79444","0.0-3.0-0.8","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","324","She turned her attention back to the furnishings.","3.25-4.25","","4","null"
"5114","{""Q0"":5}","survey-likert","12","84560","0.0-3.0-0.9","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"4267","{""Q0"":5}","survey-likert","13","88827","0.0-3.0-0.10","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","27","Sir, would you like to leave a message?","<2.25","","6","null"
"3733","{""Q0"":5}","survey-likert","14","92561","0.0-3.0-0.11","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","6","null"
"6431","{""Q0"":4}","survey-likert","15","98993","0.0-3.0-0.12","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","778","That was very interesting research George was doing!",">5.25","","5","null"
"4916","{""Q0"":6}","survey-likert","16","103910","0.0-3.0-0.13","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","619","The next morning found him eager to begin.","4.25-5.25","","7","null"
"3450","{""Q0"":5}","survey-likert","17","107361","0.0-3.0-0.14","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","708","The guy most likely looked at life simply.",">5.25","","6","null"
"3198","{""Q0"":3}","survey-likert","18","110561","0.0-3.0-0.15","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","438","Footsteps moved toward them up the side street.","3.25-4.25","","4","null"
"2833","{""Q0"":4}","survey-likert","19","113395","0.0-3.0-0.16","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","381","The flow of data is returning to normal.","3.25-4.25","","5","null"
"4114","{""Q0"":5}","survey-likert","20","117511","0.0-3.0-0.17","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","333","He looked at the poster on the wall.","3.25-4.25","","6","null"
"4864","{""Q0"":5}","survey-likert","21","122377","0.0-3.0-0.18","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","688","I watched him head to the other barn.",">5.25","","6","null"
"5264","{""Q0"":5}","survey-likert","22","127643","0.0-3.0-0.19","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","43","Call me when you get close, all right?","<2.25","","6","null"
"8182","{""Q0"":6}","survey-likert","23","135827","0.0-3.0-0.20","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"139341","{""Q0"":5}","survey-likert","24","275169","0.0-3.0-0.21","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","204","If I get any information, I'll call you.","2.25-3.25","","6","null"
"4282","{""Q0"":5}","survey-likert","25","279453","0.0-3.0-0.22","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","679","Other passengers reviewed shopping lists and read books.",">5.25","","6","null"
"3750","{""Q0"":3}","survey-likert","26","283204","0.0-3.0-0.23","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","134","No, that's not the way I see it.","<2.25","","4","null"
"3368","{""Q0"":4}","survey-likert","27","286573","0.0-3.0-0.24","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","409","It would be like believing in the postman.","3.25-4.25","","5","null"
"4030","{""Q0"":2}","survey-likert","28","290605","0.0-3.0-0.25","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","734","I laughed too, loving his delightful British accent.",">5.25","","3","null"
"3865","{""Q0"":3}","survey-likert","29","294471","0.0-3.0-0.26","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","178","It was the way it had always been.","2.25-3.25","","4","null"
"2096","{""Q0"":4}","survey-likert","30","296570","0.0-3.0-0.27","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","299","When are we getting out of here, exactly?","2.25-3.25","","5","null"
"2597","{""Q0"":5}","survey-likert","31","299168","0.0-3.0-0.28","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","666","He peers at the tag inside the dress.",">5.25","","6","null"
"2218","{""Q0"":3}","survey-likert","32","301388","0.0-3.0-0.29","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","736","The boys were all at that runaway age.",">5.25","","4","null"
"2405","{""Q0"":4}","survey-likert","33","303794","0.0-3.0-0.30","611e8be405de1e23f7232157","","[0]","","1","4","How much does the sentence make you think of places, natural scenes and/or environments?","188","He had never seen anything like them before.","2.25-3.25","","5","null"
