"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10548","{""Q0"":""69809ea403b191e603615a60""}","survey-text","0","10557","0.0-0.0","69809ea403b191e603615a60","","","","","","","","","","","",""
"30550","0","html-button-response","1","41110","0.0-1.0","69809ea403b191e603615a60","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"40692","0","html-button-response","2","81803","0.0-2.0","69809ea403b191e603615a60","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"29192","{""Q0"":0}","survey-likert","3","110997","0.0-3.0-0.0","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"23545","{""Q0"":0}","survey-likert","4","134544","0.0-3.0-0.1","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","362","It reminded her of her heart, her soul.","3.25-4.25","","1","null"
"14778","{""Q0"":1}","survey-likert","5","149324","0.0-3.0-0.2","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","2","null"
"18222","{""Q0"":2}","survey-likert","6","167547","0.0-3.0-0.3","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","426","The thought of using makeup made her shiver.","3.25-4.25","","3","null"
"13847","{""Q0"":0}","survey-likert","7","181395","0.0-3.0-0.4","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","181","Don't let your guard down for a moment.","2.25-3.25","","1","null"
"10803","{""Q0"":1}","survey-likert","8","192200","0.0-3.0-0.5","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","456","A smile worked its way to her lips.","3.25-4.25","","2","null"
"16303","{""Q0"":0}","survey-likert","9","208505","0.0-3.0-0.6","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","220","What a day this was going to be!","2.25-3.25","","1","null"
"14193","{""Q0"":0}","survey-likert","10","222700","0.0-3.0-0.7","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","152","I am not going to talk about it.","<2.25","","1","null"
"19877","{""Q0"":0}","survey-likert","11","242578","0.0-3.0-0.8","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","460","He's so busy lately I hardly see him.","3.25-4.25","","1","null"
"12344","{""Q0"":0}","survey-likert","12","254923","0.0-3.0-0.9","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","1","null"
"11568","{""Q0"":0}","survey-likert","13","266492","0.0-3.0-0.10","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","725","The assembly also sometimes is about moral teaching.",">5.25","","1","null"
"16157","{""Q0"":0}","survey-likert","14","282650","0.0-3.0-0.11","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","121","That's what I am trying to tell you.","<2.25","","1","null"
"14696","{""Q0"":3}","survey-likert","15","297348","0.0-3.0-0.12","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","351","It was as if the darkness itself thickened.","3.25-4.25","","4","null"
"16591","{""Q0"":6}","survey-likert","16","313940","0.0-3.0-0.13","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","559","He pointed out the device on the shield.","4.25-5.25","","7","null"
"18289","{""Q0"":5}","survey-likert","17","332231","0.0-3.0-0.14","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","100","As you can see, it is quite large.","<2.25","","6","null"
"12554","{""Q0"":2}","survey-likert","18","344787","0.0-3.0-0.15","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","164","We need to take it a step further.","2.25-3.25","","3","null"
"14327","{""Q0"":4}","survey-likert","19","359115","0.0-3.0-0.16","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","683","The air traffic control center functions without these.",">5.25","","5","null"
"10645","{""Q0"":0}","survey-likert","20","369762","0.0-3.0-0.17","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","32","I want you to be my best man.","<2.25","","1","null"
"12057","{""Q0"":2}","survey-likert","21","381821","0.0-3.0-0.18","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","3","null"
"13230","{""Q0"":6}","survey-likert","22","395052","0.0-3.0-0.19","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","672","The metal collects charged particles, drawing a current.",">5.25","","7","null"
"11169","{""Q0"":4}","survey-likert","23","406223","0.0-3.0-0.20","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"21148","{""Q0"":3}","survey-likert","24","427372","0.0-3.0-0.21","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","612","He knows what happened at the shirt place.","4.25-5.25","","4","null"
"16125","{""Q0"":0}","survey-likert","25","443499","0.0-3.0-0.22","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","41","You're going to have to talk to them.","<2.25","","1","null"
"14471","{""Q0"":0}","survey-likert","26","457971","0.0-3.0-0.23","69809ea403b191e603615a60","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","54","Would you like to come back one day?","<2.25","","1","null"
