"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7899","{""Q0"":""65fae4e9d655d71880f1360b""}","survey-text","0","7917","0.0-0.0","65fae4e9d655d71880f1360b","","","","","","","","","","","",""
"42524","0","html-button-response","1","50444","0.0-1.0","65fae4e9d655d71880f1360b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"88047","0","html-button-response","2","138492","0.0-2.0","65fae4e9d655d71880f1360b","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"20110","{""Q0"":0}","survey-likert","3","158604","0.0-3.0-0.0","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","117","Now, why did you ask to see me?","<2.25","","1","null"
"17486","{""Q0"":5}","survey-likert","4","176092","0.0-3.0-0.1","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","726","Or pretend we run an imaginary puppy store?",">5.25","","6","null"
"16894","{""Q0"":1}","survey-likert","5","192988","0.0-3.0-0.2","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","717","The crystals all over his car were growing.",">5.25","","2","null"
"11686","{""Q0"":0}","survey-likert","6","204676","0.0-3.0-0.3","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","1","null"
"7855","{""Q0"":0}","survey-likert","7","212532","0.0-3.0-0.4","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","249","I was just giving you a hard time.","2.25-3.25","","1","null"
"7078","{""Q0"":0}","survey-likert","8","219612","0.0-3.0-0.5","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","316","I could not believe what they were saying.","2.25-3.25","","1","null"
"6630","{""Q0"":0}","survey-likert","9","226244","0.0-3.0-0.6","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","1","null"
"10111","{""Q0"":0}","survey-likert","10","236356","0.0-3.0-0.7","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","800","Cass stands there looking at him march away.",">5.25","","1","null"
"36662","{""Q0"":2}","survey-likert","11","273020","0.0-3.0-0.8","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","605","It means methane gas leeching from the soil.","4.25-5.25","","3","null"
"7543","{""Q0"":5}","survey-likert","12","280564","0.0-3.0-0.9","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","795","Something ancient stirred far off in the forest.",">5.25","","6","null"
"17143","{""Q0"":0}","survey-likert","13","297708","0.0-3.0-0.10","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","695","This development enabled the emergence of secondary consciousness.",">5.25","","1","null"
"11518","{""Q0"":4}","survey-likert","14","309228","0.0-3.0-0.11","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","5","null"
"7407","{""Q0"":0}","survey-likert","15","316636","0.0-3.0-0.12","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","1","null"
"10767","{""Q0"":0}","survey-likert","16","327404","0.0-3.0-0.13","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","412","Can you see the spring in his step?","3.25-4.25","","1","null"
"44039","{""Q0"":1}","survey-likert","17","371444","0.0-3.0-0.14","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","382","I feel a new sun on my skin","3.25-4.25","","2","null"
"10551","{""Q0"":0}","survey-likert","18","381996","0.0-3.0-0.15","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","585","I did get a lot accomplished this week.","4.25-5.25","","1","null"
"5406","{""Q0"":0}","survey-likert","19","387404","0.0-3.0-0.16","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","21","I don't know what to do with you.","<2.25","","1","null"
"13750","{""Q0"":4}","survey-likert","20","401156","0.0-3.0-0.17","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","36","I think I'm going to go to bed.","<2.25","","5","null"
"7271","{""Q0"":0}","survey-likert","21","408428","0.0-3.0-0.18","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","22","Why don't you come in for a while?","<2.25","","1","null"
"6231","{""Q0"":0}","survey-likert","22","414660","0.0-3.0-0.19","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","312","The chauffeur changes the lock on the door.","2.25-3.25","","1","null"
"11454","{""Q0"":4}","survey-likert","23","426116","0.0-3.0-0.20","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"8055","{""Q0"":0}","survey-likert","24","434172","0.0-3.0-0.21","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","131","Why do you want to know my name?","<2.25","","1","null"
"42095","{""Q0"":4}","survey-likert","25","476268","0.0-3.0-0.22","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","640","They mine the leaves of their host plant.","4.25-5.25","","5","null"
"11799","{""Q0"":5}","survey-likert","26","488068","0.0-3.0-0.23","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","6","null"
"6439","{""Q0"":0}","survey-likert","27","494508","0.0-3.0-0.24","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","786","Matthew stumbled as his feet met solid steps.",">5.25","","1","null"
"8231","{""Q0"":0}","survey-likert","28","502740","0.0-3.0-0.25","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","442","Fancy eating food with a fly in it!","3.25-4.25","","1","null"
"5735","{""Q0"":0}","survey-likert","29","508476","0.0-3.0-0.26","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","257","The words are coming out of my mouth.","2.25-3.25","","1","null"
"4254","{""Q0"":0}","survey-likert","30","512732","0.0-3.0-0.27","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","325","However, the distinction is still not universally applied.","3.25-4.25","","1","null"
"4239","{""Q0"":0}","survey-likert","31","516972","0.0-3.0-0.28","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","458","Bring him back to see me on Friday.","3.25-4.25","","1","null"
"3967","{""Q0"":0}","survey-likert","32","520940","0.0-3.0-0.29","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","141","Hopefully, I'll be able to find this guy.","<2.25","","1","null"
"7031","{""Q0"":0}","survey-likert","33","527972","0.0-3.0-0.30","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","742","Another long moment passed, William content to wait.",">5.25","","1","null"
"6879","{""Q0"":0}","survey-likert","34","534852","0.0-3.0-0.31","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","393","He has no magic to compare with that.","3.25-4.25","","1","null"
"13359","{""Q0"":0}","survey-likert","35","548212","0.0-3.0-0.32","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","766","The vines, faster now, reached for her thighs.",">5.25","","1","null"
"4775","{""Q0"":0}","survey-likert","36","552988","0.0-3.0-0.33","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","95","What did you want to see me for?","<2.25","","1","null"
"8199","{""Q0"":0}","survey-likert","37","561188","0.0-3.0-0.34","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","775","The guard examined it and waved us on.",">5.25","","1","null"
"13350","{""Q0"":0}","survey-likert","38","574540","0.0-3.0-0.35","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","776","Inside, the folk were gathered wondering and praying.",">5.25","","1","null"
"3295","{""Q0"":0}","survey-likert","39","577836","0.0-3.0-0.36","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","607","As if she could still give me orders!","4.25-5.25","","1","null"
"3911","{""Q0"":0}","survey-likert","40","581748","0.0-3.0-0.37","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","565","I made choices without knowing I did it.","4.25-5.25","","1","null"
"5319","{""Q0"":4}","survey-likert","41","587068","0.0-3.0-0.38","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","573","The dining area can easily accommodate ninety people.","4.25-5.25","","5","null"
"8551","{""Q0"":0}","survey-likert","42","595620","0.0-3.0-0.39","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","735","Meet after work and sip tea while talking.",">5.25","","1","null"
"3575","{""Q0"":0}","survey-likert","43","599196","0.0-3.0-0.40","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","791","It needed scale and drama and special effects.",">5.25","","1","null"
"6135","{""Q0"":2}","survey-likert","44","605332","0.0-3.0-0.41","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"9031","{""Q0"":0}","survey-likert","45","614364","0.0-3.0-0.42","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","794","The security office always tapes from the cameras.",">5.25","","1","null"
"5846","{""Q0"":0}","survey-likert","46","620212","0.0-3.0-0.43","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","707","I trusted they could rescue my lost self.",">5.25","","1","null"
"5567","{""Q0"":0}","survey-likert","47","625780","0.0-3.0-0.44","65fae4e9d655d71880f1360b","","[0]","","5","4","How much does the sentence make you think of places, natural scenes and/or environments?","700","Where was this girl getting her fashion tips?",">5.25","","1","null"
