"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7708","{""Q0"":""6a03118c92f5f6129247872e""}","survey-text","0","7716","0.0-0.0","6a03118c92f5f6129247872e","","","","","","","","","","","",""
"6052","0","html-button-response","1","13769","0.0-1.0","6a03118c92f5f6129247872e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"14911","0","html-button-response","2","28681","0.0-2.0","6a03118c92f5f6129247872e","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"20174","{""Q0"":1}","survey-likert","3","48857","0.0-3.0-0.0","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","2","null"
"6060","{""Q0"":3}","survey-likert","4","54919","0.0-3.0-0.1","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","4","null"
"9035","{""Q0"":3}","survey-likert","5","63955","0.0-3.0-0.2","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","4","null"
"7787","{""Q0"":4}","survey-likert","6","71744","0.0-3.0-0.3","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","5","null"
"2844","{""Q0"":4}","survey-likert","7","74589","0.0-3.0-0.4","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","5","null"
"4213","{""Q0"":4}","survey-likert","8","78804","0.0-3.0-0.5","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","5","null"
"6772","{""Q0"":4}","survey-likert","9","85578","0.0-3.0-0.6","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","5","null"
"3765","{""Q0"":4}","survey-likert","10","89344","0.0-3.0-0.7","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","70","There's a message for you at the office.","<2.25","","5","null"
"5620","{""Q0"":0}","survey-likert","11","94965","0.0-3.0-0.8","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"5430","{""Q0"":1}","survey-likert","12","100396","0.0-3.0-0.9","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","127","You know that as well as I do.","<2.25","","2","null"
"11008","{""Q0"":1}","survey-likert","13","111405","0.0-3.0-0.10","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","686","The terminal palps are covered with substantial feathers.",">5.25","","2","null"
"4878","{""Q0"":1}","survey-likert","14","116284","0.0-3.0-0.11","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","2","null"
"5461","{""Q0"":1}","survey-likert","15","121745","0.0-3.0-0.12","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","2","null"
"3940","{""Q0"":2}","survey-likert","16","125687","0.0-3.0-0.13","6a03118c92f5f6129247872e","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","448","She hurried to catch up with the others.","3.25-4.25","","3","null"
