"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9180","{""Q0"":""66cf143e060992b3d817c20f""}","survey-text","0","9189","0.0-0.0","66cf143e060992b3d817c20f","","","","","","","","","","","",""
"14582","0","html-button-response","1","23772","0.0-1.0","66cf143e060992b3d817c20f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"61249","0","html-button-response","2","85021","0.0-2.0","66cf143e060992b3d817c20f","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10432","{""Q0"":3}","survey-likert","3","95456","0.0-3.0-0.0","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","4","null"
"4480","{""Q0"":5}","survey-likert","4","99939","0.0-3.0-0.1","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","696","Relief swept through her when she found one.",">5.25","","6","null"
"11414","{""Q0"":3}","survey-likert","5","111356","0.0-3.0-0.2","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","404","There is a little white at the base.","3.25-4.25","","4","null"
"5797","{""Q0"":5}","survey-likert","6","117156","0.0-3.0-0.3","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","398","What did you put for your best feature?","3.25-4.25","","6","null"
"4097","{""Q0"":6}","survey-likert","7","121255","0.0-3.0-0.4","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","81","I want you to have a good time.","<2.25","","7","null"
"3283","{""Q0"":5}","survey-likert","8","124541","0.0-3.0-0.5","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","42","It's the logical thing to do, isn't it?","<2.25","","6","null"
"8746","{""Q0"":3}","survey-likert","9","133289","0.0-3.0-0.6","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","145","Truth is, I don't know what to say.","<2.25","","4","null"
"3363","{""Q0"":6}","survey-likert","10","136655","0.0-3.0-0.7","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","55","You were right, you were right all along.","<2.25","","7","null"
"7198","{""Q0"":2}","survey-likert","11","143855","0.0-3.0-0.8","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","3","null"
"5050","{""Q0"":4}","survey-likert","12","148907","0.0-3.0-0.9","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","159","That's exactly what I want you to do.","<2.25","","5","null"
"5512","{""Q0"":4}","survey-likert","13","154422","0.0-3.0-0.10","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","471","It seems the rumors were not far off.","3.25-4.25","","5","null"
"4814","{""Q0"":5}","survey-likert","14","159239","0.0-3.0-0.11","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","668","Elizabeth was sorting jars and tins of food.",">5.25","","6","null"
"8032","{""Q0"":4}","survey-likert","15","167274","0.0-3.0-0.12","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","286","Did you see an animal of any kind?","2.25-3.25","","5","null"
"7712","{""Q0"":4}","survey-likert","16","174988","0.0-3.0-0.13","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","258","I wonder how long I have been away.","2.25-3.25","","5","null"
"5800","{""Q0"":5}","survey-likert","17","180790","0.0-3.0-0.14","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","582","Then, she filled a bucket for her horse.","4.25-5.25","","6","null"
"7412","{""Q0"":5}","survey-likert","18","188205","0.0-3.0-0.15","66cf143e060992b3d817c20f","","[0]","","8","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","202","He'd want to know as soon as possible.","2.25-3.25","","6","null"
