"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2366","{""Q0"":""6128ac21a266b9cf5decd445""}","survey-text","0","2378","0.0-0.0","6128ac21a266b9cf5decd445","","","","","","","","","","","",""
"2316","0","html-button-response","1","4695","0.0-1.0","6128ac21a266b9cf5decd445","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"11602","0","html-button-response","2","16298","0.0-2.0","6128ac21a266b9cf5decd445","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4261","{""Q0"":3}","survey-likert","3","20561","0.0-3.0-0.0","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","451","You let greed get the better of you.","3.25-4.25","","4","null"
"2540","{""Q0"":5}","survey-likert","4","23102","0.0-3.0-0.1","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"2032","{""Q0"":5}","survey-likert","5","25135","0.0-3.0-0.2","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","6","null"
"3740","{""Q0"":5}","survey-likert","6","28877","0.0-3.0-0.3","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","426","The thought of using makeup made her shiver.","3.25-4.25","","6","null"
"3109","{""Q0"":2}","survey-likert","7","31986","0.0-3.0-0.4","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","181","Don't let your guard down for a moment.","2.25-3.25","","3","null"
"3574","{""Q0"":4}","survey-likert","8","35561","0.0-3.0-0.5","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","456","A smile worked its way to her lips.","3.25-4.25","","5","null"
"2390","{""Q0"":3}","survey-likert","9","37952","0.0-3.0-0.6","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","220","What a day this was going to be!","2.25-3.25","","4","null"
"2117","{""Q0"":3}","survey-likert","10","40071","0.0-3.0-0.7","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","152","I am not going to talk about it.","<2.25","","4","null"
"3055","{""Q0"":4}","survey-likert","11","43127","0.0-3.0-0.8","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","460","He's so busy lately I hardly see him.","3.25-4.25","","5","null"
"3077","{""Q0"":4}","survey-likert","12","46205","0.0-3.0-0.9","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","5","null"
"8083","{""Q0"":2}","survey-likert","13","54289","0.0-3.0-0.10","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","725","The assembly also sometimes is about moral teaching.",">5.25","","3","null"
"1695","{""Q0"":3}","survey-likert","14","55985","0.0-3.0-0.11","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","121","That's what I am trying to tell you.","<2.25","","4","null"
"3052","{""Q0"":4}","survey-likert","15","59039","0.0-3.0-0.12","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","351","It was as if the darkness itself thickened.","3.25-4.25","","5","null"
"2631","{""Q0"":2}","survey-likert","16","61671","0.0-3.0-0.13","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","559","He pointed out the device on the shield.","4.25-5.25","","3","null"
"2285","{""Q0"":1}","survey-likert","17","63957","0.0-3.0-0.14","6128ac21a266b9cf5decd445","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","100","As you can see, it is quite large.","<2.25","","2","null"
