"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3210","{""Q0"":""69c1d525bfc14ded7ad3766e""}","survey-text","0","3230","0.0-0.0","69c1d525bfc14ded7ad3766e","","","","","","","","","","","",""
"12328","0","html-button-response","1","15562","0.0-1.0","69c1d525bfc14ded7ad3766e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"27200","0","html-button-response","2","42763","0.0-2.0","69c1d525bfc14ded7ad3766e","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10667","{""Q0"":2}","survey-likert","3","53434","0.0-3.0-0.0","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","108","What do you do to make ends meet?","<2.25","","3","null"
"9524","{""Q0"":3}","survey-likert","4","62961","0.0-3.0-0.1","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","4","null"
"5401","{""Q0"":2}","survey-likert","5","68364","0.0-3.0-0.2","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","774","The sheep turn round and charge the shepherd?",">5.25","","3","null"
"5306","{""Q0"":1}","survey-likert","6","73672","0.0-3.0-0.3","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","783","There was more chatter and tapping of watches.",">5.25","","2","null"
"5610","{""Q0"":4}","survey-likert","7","79283","0.0-3.0-0.4","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","166","I'd love to hear about what you're doing.","2.25-3.25","","5","null"
"12848","{""Q0"":4}","survey-likert","8","92133","0.0-3.0-0.5","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","5","null"
"3855","{""Q0"":3}","survey-likert","9","95990","0.0-3.0-0.6","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","4","null"
"2786","{""Q0"":5}","survey-likert","10","98777","0.0-3.0-0.7","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","541","Music and laughter came from inside the shop.","4.25-5.25","","6","null"
"2819","{""Q0"":4}","survey-likert","11","101598","0.0-3.0-0.8","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","324","She turned her attention back to the furnishings.","3.25-4.25","","5","null"
"4071","{""Q0"":3}","survey-likert","12","105675","0.0-3.0-0.9","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","4","null"
"4097","{""Q0"":3}","survey-likert","13","109773","0.0-3.0-0.10","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","27","Sir, would you like to leave a message?","<2.25","","4","null"
"4336","{""Q0"":3}","survey-likert","14","114111","0.0-3.0-0.11","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","4","null"
"4091","{""Q0"":4}","survey-likert","15","118203","0.0-3.0-0.12","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","778","That was very interesting research George was doing!",">5.25","","5","null"
"4526","{""Q0"":4}","survey-likert","16","122731","0.0-3.0-0.13","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
"4814","{""Q0"":2}","survey-likert","17","127546","0.0-3.0-0.14","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","708","The guy most likely looked at life simply.",">5.25","","3","null"
"19296","{""Q0"":1}","survey-likert","18","146843","0.0-3.0-0.15","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","438","Footsteps moved toward them up the side street.","3.25-4.25","","2","null"
"3143","{""Q0"":1}","survey-likert","19","149988","0.0-3.0-0.16","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","381","The flow of data is returning to normal.","3.25-4.25","","2","null"
"5149","{""Q0"":2}","survey-likert","20","155139","0.0-3.0-0.17","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","333","He looked at the poster on the wall.","3.25-4.25","","3","null"
"3458","{""Q0"":2}","survey-likert","21","158598","0.0-3.0-0.18","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","688","I watched him head to the other barn.",">5.25","","3","null"
"3326","{""Q0"":4}","survey-likert","22","161925","0.0-3.0-0.19","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","43","Call me when you get close, all right?","<2.25","","5","null"
"3186","{""Q0"":4}","survey-likert","23","165113","0.0-3.0-0.20","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 5.","attention_check","5","5","true"
"3839","{""Q0"":3}","survey-likert","24","168954","0.0-3.0-0.21","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","204","If I get any information, I'll call you.","2.25-3.25","","4","null"
"3901","{""Q0"":3}","survey-likert","25","172857","0.0-3.0-0.22","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","679","Other passengers reviewed shopping lists and read books.",">5.25","","4","null"
"3407","{""Q0"":4}","survey-likert","26","176266","0.0-3.0-0.23","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","134","No, that's not the way I see it.","<2.25","","5","null"
"4994","{""Q0"":2}","survey-likert","27","181261","0.0-3.0-0.24","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","409","It would be like believing in the postman.","3.25-4.25","","3","null"
"3807","{""Q0"":5}","survey-likert","28","185069","0.0-3.0-0.25","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","734","I laughed too, loving his delightful British accent.",">5.25","","6","null"
"6432","{""Q0"":2}","survey-likert","29","191503","0.0-3.0-0.26","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","178","It was the way it had always been.","2.25-3.25","","3","null"
"3331","{""Q0"":3}","survey-likert","30","194835","0.0-3.0-0.27","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","299","When are we getting out of here, exactly?","2.25-3.25","","4","null"
"6909","{""Q0"":2}","survey-likert","31","201745","0.0-3.0-0.28","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","666","He peers at the tag inside the dress.",">5.25","","3","null"
"4113","{""Q0"":3}","survey-likert","32","205860","0.0-3.0-0.29","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","736","The boys were all at that runaway age.",">5.25","","4","null"
"3119","{""Q0"":4}","survey-likert","33","208980","0.0-3.0-0.30","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","188","He had never seen anything like them before.","2.25-3.25","","5","null"
"24301","{""Q0"":3}","survey-likert","34","233282","0.0-3.0-0.31","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","720","What use were eyes to it down here?",">5.25","","4","null"
"2377","{""Q0"":3}","survey-likert","35","235660","0.0-3.0-0.32","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","191","Most of it is not all of it.","2.25-3.25","","4","null"
"4875","{""Q0"":4}","survey-likert","36","240536","0.0-3.0-0.33","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","394","How could they talk when he couldn't speak?","3.25-4.25","","5","null"
"3510","{""Q0"":5}","survey-likert","37","244047","0.0-3.0-0.34","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","378","Did someone try to kick the door down?","3.25-4.25","","6","null"
"3672","{""Q0"":5}","survey-likert","38","247720","0.0-3.0-0.35","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","457","Finally, he had something he could actually do.","3.25-4.25","","6","null"
"2914","{""Q0"":4}","survey-likert","39","250635","0.0-3.0-0.36","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","396","In my judgment, you simply have no alternative.","3.25-4.25","","5","null"
"3574","{""Q0"":4}","survey-likert","40","254210","0.0-3.0-0.37","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","132","That's just what I was going to say.","<2.25","","5","null"
"4172","{""Q0"":3}","survey-likert","41","258384","0.0-3.0-0.38","69c1d525bfc14ded7ad3766e","","[0]","","1","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","454","Then I would have to answer interesting questions.","3.25-4.25","","4","null"
