"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6583","{""Q0"":""6a084790e2bb045ee7d50849""}","survey-text","0","6596","0.0-0.0","6a084790e2bb045ee7d50849","","","","","","","","","","","",""
"13873","0","html-button-response","1","20474","0.0-1.0","6a084790e2bb045ee7d50849","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"40057","0","html-button-response","2","60534","0.0-2.0","6a084790e2bb045ee7d50849","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10461","{""Q0"":6}","survey-likert","3","70999","0.0-3.0-0.0","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"7578","{""Q0"":6}","survey-likert","4","78582","0.0-3.0-0.1","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","7","null"
"6542","{""Q0"":3}","survey-likert","5","85128","0.0-3.0-0.2","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","4","null"
"8599","{""Q0"":4}","survey-likert","6","93732","0.0-3.0-0.3","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","5","null"
"4827","{""Q0"":6}","survey-likert","7","98562","0.0-3.0-0.4","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"7665","{""Q0"":6}","survey-likert","8","106231","0.0-3.0-0.5","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","7","null"
"7828","{""Q0"":1}","survey-likert","9","114062","0.0-3.0-0.6","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","2","null"
"5410","{""Q0"":6}","survey-likert","10","119476","0.0-3.0-0.7","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"3898","{""Q0"":6}","survey-likert","11","123378","0.0-3.0-0.8","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","324","She turned her attention back to the furnishings.","3.25-4.25","","7","null"
"8243","{""Q0"":5}","survey-likert","12","131625","0.0-3.0-0.9","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"4512","{""Q0"":6}","survey-likert","13","136140","0.0-3.0-0.10","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"12895","{""Q0"":5}","survey-likert","14","149039","0.0-3.0-0.11","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","6","null"
"4960","{""Q0"":6}","survey-likert","15","154003","0.0-3.0-0.12","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","778","That was very interesting research George was doing!",">5.25","","7","null"
"11046","{""Q0"":5}","survey-likert","16","165052","0.0-3.0-0.13","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","619","The next morning found him eager to begin.","4.25-5.25","","6","null"
"11180","{""Q0"":4}","survey-likert","17","176236","0.0-3.0-0.14","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","708","The guy most likely looked at life simply.",">5.25","","5","null"
"5109","{""Q0"":5}","survey-likert","18","181347","0.0-3.0-0.15","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","438","Footsteps moved toward them up the side street.","3.25-4.25","","6","null"
"6168","{""Q0"":5}","survey-likert","19","187516","0.0-3.0-0.16","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","381","The flow of data is returning to normal.","3.25-4.25","","6","null"
"66056","{""Q0"":6}","survey-likert","20","253575","0.0-3.0-0.17","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","333","He looked at the poster on the wall.","3.25-4.25","","7","null"
"4012","{""Q0"":6}","survey-likert","21","257591","0.0-3.0-0.18","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","688","I watched him head to the other barn.",">5.25","","7","null"
"3744","{""Q0"":6}","survey-likert","22","261339","0.0-3.0-0.19","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","43","Call me when you get close, all right?","<2.25","","7","null"
"4781","{""Q0"":6}","survey-likert","23","266124","0.0-3.0-0.20","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"39740","{""Q0"":6}","survey-likert","24","305868","0.0-3.0-0.21","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","204","If I get any information, I'll call you.","2.25-3.25","","7","null"
"13267","{""Q0"":4}","survey-likert","25","319138","0.0-3.0-0.22","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","679","Other passengers reviewed shopping lists and read books.",">5.25","","5","null"
"5976","{""Q0"":6}","survey-likert","26","325117","0.0-3.0-0.23","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","134","No, that's not the way I see it.","<2.25","","7","null"
"6959","{""Q0"":1}","survey-likert","27","332079","0.0-3.0-0.24","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","409","It would be like believing in the postman.","3.25-4.25","","2","null"
"7440","{""Q0"":6}","survey-likert","28","339523","0.0-3.0-0.25","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
"6438","{""Q0"":5}","survey-likert","29","345964","0.0-3.0-0.26","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","178","It was the way it had always been.","2.25-3.25","","6","null"
"4073","{""Q0"":6}","survey-likert","30","350040","0.0-3.0-0.27","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","299","When are we getting out of here, exactly?","2.25-3.25","","7","null"
"5869","{""Q0"":6}","survey-likert","31","355914","0.0-3.0-0.28","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","666","He peers at the tag inside the dress.",">5.25","","7","null"
"4726","{""Q0"":5}","survey-likert","32","360644","0.0-3.0-0.29","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","736","The boys were all at that runaway age.",">5.25","","6","null"
"4162","{""Q0"":6}","survey-likert","33","364810","0.0-3.0-0.30","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","188","He had never seen anything like them before.","2.25-3.25","","7","null"
"8581","{""Q0"":2}","survey-likert","34","373394","0.0-3.0-0.31","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","720","What use were eyes to it down here?",">5.25","","3","null"
"5195","{""Q0"":5}","survey-likert","35","378593","0.0-3.0-0.32","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","191","Most of it is not all of it.","2.25-3.25","","6","null"
"8344","{""Q0"":2}","survey-likert","36","386940","0.0-3.0-0.33","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","394","How could they talk when he couldn't speak?","3.25-4.25","","3","null"
"5032","{""Q0"":6}","survey-likert","37","391975","0.0-3.0-0.34","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","378","Did someone try to kick the door down?","3.25-4.25","","7","null"
"5525","{""Q0"":5}","survey-likert","38","397504","0.0-3.0-0.35","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","457","Finally, he had something he could actually do.","3.25-4.25","","6","null"
"4933","{""Q0"":2}","survey-likert","39","402440","0.0-3.0-0.36","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","396","In my judgment, you simply have no alternative.","3.25-4.25","","3","null"
"6294","{""Q0"":3}","survey-likert","40","408737","0.0-3.0-0.37","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","132","That's just what I was going to say.","<2.25","","4","null"
"5748","{""Q0"":4}","survey-likert","41","414488","0.0-3.0-0.38","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","454","Then I would have to answer interesting questions.","3.25-4.25","","5","null"
"5965","{""Q0"":5}","survey-likert","42","420456","0.0-3.0-0.39","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","513","The workshop guys can pick it up later.","4.25-5.25","","6","null"
"7630","{""Q0"":5}","survey-likert","43","428088","0.0-3.0-0.40","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","711","Martin knew any real answers lay much deeper.",">5.25","","6","null"
"3793","{""Q0"":6}","survey-likert","44","431885","0.0-3.0-0.41","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 7.","attention_check","7","7","true"
"7129","{""Q0"":3}","survey-likert","45","439018","0.0-3.0-0.42","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","430","In the swamps, I learned how to listen.","3.25-4.25","","4","null"
"5341","{""Q0"":5}","survey-likert","46","444362","0.0-3.0-0.43","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","570","The windows they faced were dark and shut.","4.25-5.25","","6","null"
"7936","{""Q0"":5}","survey-likert","47","452301","0.0-3.0-0.44","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","6","null"
"3761","{""Q0"":6}","survey-likert","48","456064","0.0-3.0-0.45","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","51","It's not just me, it's both of us.","<2.25","","7","null"
"2980","{""Q0"":6}","survey-likert","49","459047","0.0-3.0-0.46","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","123","I don't care what you think of me.","<2.25","","7","null"
"7529","{""Q0"":6}","survey-likert","50","466580","0.0-3.0-0.47","6a084790e2bb045ee7d50849","","[0]","","1","1","How much does the sentence make sense?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","7","null"
