"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"19190","{""Q0"":""616a8502cf9f59ac63569662""}","survey-text","0","19209","0.0-0.0","616a8502cf9f59ac63569662","","","","","","","","","","","",""
"2882","0","html-button-response","1","22094","0.0-1.0","616a8502cf9f59ac63569662","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"56615","0","html-button-response","2","78710","0.0-2.0","616a8502cf9f59ac63569662","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"51882","{""Q0"":1}","survey-likert","3","130596","0.0-3.0-0.0","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","2","null"
"14865","{""Q0"":3}","survey-likert","4","145465","0.0-3.0-0.1","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","4","null"
"6614","{""Q0"":1}","survey-likert","5","152083","0.0-3.0-0.2","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"15059","{""Q0"":3}","survey-likert","6","167143","0.0-3.0-0.3","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"8737","{""Q0"":3}","survey-likert","7","175882","0.0-3.0-0.4","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","4","null"
"4338","{""Q0"":0}","survey-likert","8","180222","0.0-3.0-0.5","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"10027","{""Q0"":3}","survey-likert","9","190251","0.0-3.0-0.6","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"9141","{""Q0"":5}","survey-likert","10","199394","0.0-3.0-0.7","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","6","null"
"4594","{""Q0"":0}","survey-likert","11","203990","0.0-3.0-0.8","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"2896","{""Q0"":0}","survey-likert","12","206890","0.0-3.0-0.9","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"20970","{""Q0"":1}","survey-likert","13","227862","0.0-3.0-0.10","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","2","null"
"29575","{""Q0"":3}","survey-likert","14","257440","0.0-3.0-0.11","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","4","null"
"4037","{""Q0"":3}","survey-likert","15","261479","0.0-3.0-0.12","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","4","null"
"4413","{""Q0"":1}","survey-likert","16","265895","0.0-3.0-0.13","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","2","null"
"5898","{""Q0"":1}","survey-likert","17","271795","0.0-3.0-0.14","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","2","null"
"5249","{""Q0"":0}","survey-likert","18","277045","0.0-3.0-0.15","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","1","null"
"7394","{""Q0"":3}","survey-likert","19","284442","0.0-3.0-0.16","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","4","null"
"8685","{""Q0"":2}","survey-likert","20","293129","0.0-3.0-0.17","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","3","null"
"4694","{""Q0"":5}","survey-likert","21","297824","0.0-3.0-0.18","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","6","null"
"18749","{""Q0"":3}","survey-likert","22","316575","0.0-3.0-0.19","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","4","null"
"20567","{""Q0"":0}","survey-likert","23","337144","0.0-3.0-0.20","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"8351","{""Q0"":1}","survey-likert","24","345498","0.0-3.0-0.21","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","2","null"
"3758","{""Q0"":0}","survey-likert","25","349257","0.0-3.0-0.22","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","1","null"
"3962","{""Q0"":0}","survey-likert","26","353222","0.0-3.0-0.23","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","663","The three women shared a harsh, knowing laugh.",">5.25","","1","null"
"6747","{""Q0"":5}","survey-likert","27","359971","0.0-3.0-0.24","616a8502cf9f59ac63569662","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","356","It had been snowing nonstop for a week.","3.25-4.25","","6","null"
