"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4939","{""Q0"":""67169b82726d64b4af7b88f0""}","survey-text","0","4949","0.0-0.0","67169b82726d64b4af7b88f0","","","","","","","","","","","",""
"6383","0","html-button-response","1","11334","0.0-1.0","67169b82726d64b4af7b88f0","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"27917","0","html-button-response","2","39252","0.0-2.0","67169b82726d64b4af7b88f0","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14559","{""Q0"":1}","survey-likert","3","53813","0.0-3.0-0.0","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","91","This is the worst moment of my life.","<2.25","","2","null"
"6679","{""Q0"":5}","survey-likert","4","60493","0.0-3.0-0.1","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","5","Is there anything I can do for you?","<2.25","","6","null"
"10137","{""Q0"":5}","survey-likert","5","70631","0.0-3.0-0.2","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","285","And now there are trees all around us.","2.25-3.25","","6","null"
"8909","{""Q0"":4}","survey-likert","6","79541","0.0-3.0-0.3","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"8837","{""Q0"":2}","survey-likert","7","88380","0.0-3.0-0.4","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","67","Oh, I wish I could remember the name.","<2.25","","3","null"
"4791","{""Q0"":1}","survey-likert","8","93172","0.0-3.0-0.5","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","336","He looked at me with a wacky gaze.","3.25-4.25","","2","null"
"3784","{""Q0"":1}","survey-likert","9","96957","0.0-3.0-0.6","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","138","There is no use in talking about it.","<2.25","","2","null"
"4120","{""Q0"":5}","survey-likert","10","101078","0.0-3.0-0.7","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","502","We were surrounded by people from various origins.","4.25-5.25","","6","null"
"10445","{""Q0"":4}","survey-likert","11","111526","0.0-3.0-0.8","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","699","It also had real but limited economic advances.",">5.25","","5","null"
"3942","{""Q0"":5}","survey-likert","12","115469","0.0-3.0-0.9","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","92","Maybe you should take another look at it.","<2.25","","6","null"
"5239","{""Q0"":3}","survey-likert","13","120709","0.0-3.0-0.10","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","168","I'm just trying to find the right words.","2.25-3.25","","4","null"
"5239","{""Q0"":1}","survey-likert","14","125949","0.0-3.0-0.11","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","94","This is not where I want to be.","<2.25","","2","null"
"4247","{""Q0"":5}","survey-likert","15","130198","0.0-3.0-0.12","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","359","So tonight I decided to have a barbecue.","3.25-4.25","","6","null"
"16094","{""Q0"":5}","survey-likert","16","146293","0.0-3.0-0.13","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","771","Reactions worked totally off of his trained instincts.",">5.25","","6","null"
"5088","{""Q0"":1}","survey-likert","17","151383","0.0-3.0-0.14","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","115","What am I going to say to them?","<2.25","","2","null"
"4549","{""Q0"":5}","survey-likert","18","155933","0.0-3.0-0.15","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","99","I was trying to do the right thing.","<2.25","","6","null"
"7016","{""Q0"":1}","survey-likert","19","162950","0.0-3.0-0.16","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","304","We must move before the sun comes up.","2.25-3.25","","2","null"
"3886","{""Q0"":5}","survey-likert","20","166837","0.0-3.0-0.17","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","6","null"
"5150","{""Q0"":2}","survey-likert","21","171990","0.0-3.0-0.18","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","701","I was elected captain and James became jealous.",">5.25","","3","null"
"4223","{""Q0"":2}","survey-likert","22","176214","0.0-3.0-0.19","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","177","Frankly, I can't spare the time right now.","2.25-3.25","","3","null"
"8526","{""Q0"":6}","survey-likert","23","184742","0.0-3.0-0.20","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"4871","{""Q0"":1}","survey-likert","24","189614","0.0-3.0-0.21","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","764","Your writ runs in the hours of darkness.",">5.25","","2","null"
"10127","{""Q0"":1}","survey-likert","25","199742","0.0-3.0-0.22","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","455","However, I am without argument to explain it.","3.25-4.25","","2","null"
"3815","{""Q0"":0}","survey-likert","26","203559","0.0-3.0-0.23","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","288","Isn't she coming home for tea after all?","2.25-3.25","","1","null"
"3238","{""Q0"":0}","survey-likert","27","206798","0.0-3.0-0.24","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","76","I can't get it out of my head.","<2.25","","1","null"
"7518","{""Q0"":4}","survey-likert","28","214318","0.0-3.0-0.25","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","179","In the meantime, I had much to do.","2.25-3.25","","5","null"
"6671","{""Q0"":1}","survey-likert","29","220990","0.0-3.0-0.26","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","254","He had not expected them to believe him.","2.25-3.25","","2","null"
"4615","{""Q0"":4}","survey-likert","30","225606","0.0-3.0-0.27","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","345","It was a very heavy silence that followed.","3.25-4.25","","5","null"
"3310","{""Q0"":1}","survey-likert","31","228919","0.0-3.0-0.28","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","2","null"
"3878","{""Q0"":6}","survey-likert","32","232799","0.0-3.0-0.29","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","305","I went out to get him some food.","2.25-3.25","","7","null"
"5399","{""Q0"":4}","survey-likert","33","238199","0.0-3.0-0.30","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","518","Go figure, no one wears hats these days.","4.25-5.25","","5","null"
"3182","{""Q0"":5}","survey-likert","34","241383","0.0-3.0-0.31","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","532","They keep inviting us back every single year.","4.25-5.25","","6","null"
"3489","{""Q0"":5}","survey-likert","35","244872","0.0-3.0-0.32","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","466","He pulled up with all of his strength.","3.25-4.25","","6","null"
"5349","{""Q0"":5}","survey-likert","36","250223","0.0-3.0-0.33","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","234","Why do you think you're in this pickle?","2.25-3.25","","6","null"
"4687","{""Q0"":5}","survey-likert","37","254911","0.0-3.0-0.34","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","6","null"
"5383","{""Q0"":5}","survey-likert","38","260296","0.0-3.0-0.35","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","69","Looks like someone wants to be a hero.","<2.25","","6","null"
"3197","{""Q0"":5}","survey-likert","39","263495","0.0-3.0-0.36","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","104","Everything you need to know is right there.","<2.25","","6","null"
"5767","{""Q0"":5}","survey-likert","40","269263","0.0-3.0-0.37","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","375","She can also be a bear at times.","3.25-4.25","","6","null"
"4416","{""Q0"":1}","survey-likert","41","273679","0.0-3.0-0.38","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","57","But I don't know exactly where she is.","<2.25","","2","null"
"5463","{""Q0"":1}","survey-likert","42","279144","0.0-3.0-0.39","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","600","It was not the most comfortable of transport.","4.25-5.25","","2","null"
"4437","{""Q0"":1}","survey-likert","43","283583","0.0-3.0-0.40","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","402","He might get fed up of his habits.","3.25-4.25","","2","null"
"4190","{""Q0"":3}","survey-likert","44","287774","0.0-3.0-0.41","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"5535","{""Q0"":0}","survey-likert","45","293312","0.0-3.0-0.42","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","226","Her voice was too soft to be heard.","2.25-3.25","","1","null"
"9543","{""Q0"":4}","survey-likert","46","302856","0.0-3.0-0.43","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","588","But what did I know of such technology?","4.25-5.25","","5","null"
"3895","{""Q0"":6}","survey-likert","47","306752","0.0-3.0-0.44","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","390","No is a very powerful word, my friend.","3.25-4.25","","7","null"
"7118","{""Q0"":2}","survey-likert","48","313872","0.0-3.0-0.45","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","499","There was a room beyond a dividing wall.","4.25-5.25","","3","null"
"3160","{""Q0"":5}","survey-likert","49","317033","0.0-3.0-0.46","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","652","The thrill and the challenge top my list.",">5.25","","6","null"
"2798","{""Q0"":5}","survey-likert","50","319832","0.0-3.0-0.47","67169b82726d64b4af7b88f0","","[0]","","3","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","208","Maybe you'll find it later, maybe you won't.","2.25-3.25","","6","null"
