"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4091","{""Q0"":""6667142c07fb9301030d37f1""}","survey-text","0","4096","0.0-0.0","6667142c07fb9301030d37f1","","","","","","","","","","","",""
"22680","0","html-button-response","1","26777","0.0-1.0","6667142c07fb9301030d37f1","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"43658","0","html-button-response","2","70436","0.0-2.0","6667142c07fb9301030d37f1","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"13342","{""Q0"":5}","survey-likert","3","83779","0.0-3.0-0.0","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","451","You let greed get the better of you.","3.25-4.25","","6","null"
"7597","{""Q0"":5}","survey-likert","4","91377","0.0-3.0-0.1","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"6307","{""Q0"":5}","survey-likert","5","97685","0.0-3.0-0.2","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","6","null"
"7792","{""Q0"":5}","survey-likert","6","105478","0.0-3.0-0.3","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","426","The thought of using makeup made her shiver.","3.25-4.25","","6","null"
"7417","{""Q0"":5}","survey-likert","7","112896","0.0-3.0-0.4","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","181","Don't let your guard down for a moment.","2.25-3.25","","6","null"
"13792","{""Q0"":5}","survey-likert","8","126689","0.0-3.0-0.5","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","456","A smile worked its way to her lips.","3.25-4.25","","6","null"
"10290","{""Q0"":4}","survey-likert","9","136980","0.0-3.0-0.6","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","220","What a day this was going to be!","2.25-3.25","","5","null"
"6524","{""Q0"":5}","survey-likert","10","143505","0.0-3.0-0.7","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","152","I am not going to talk about it.","<2.25","","6","null"
"6779","{""Q0"":5}","survey-likert","11","150285","0.0-3.0-0.8","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","460","He's so busy lately I hardly see him.","3.25-4.25","","6","null"
"4590","{""Q0"":5}","survey-likert","12","154876","0.0-3.0-0.9","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","6","null"
"14324","{""Q0"":2}","survey-likert","13","169201","0.0-3.0-0.10","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","725","The assembly also sometimes is about moral teaching.",">5.25","","3","null"
"2947","{""Q0"":5}","survey-likert","14","172149","0.0-3.0-0.11","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","121","That's what I am trying to tell you.","<2.25","","6","null"
"14077","{""Q0"":4}","survey-likert","15","186227","0.0-3.0-0.12","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","351","It was as if the darkness itself thickened.","3.25-4.25","","5","null"
"3480","{""Q0"":5}","survey-likert","16","189708","0.0-3.0-0.13","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","559","He pointed out the device on the shield.","4.25-5.25","","6","null"
"7889","{""Q0"":5}","survey-likert","17","197598","0.0-3.0-0.14","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","100","As you can see, it is quite large.","<2.25","","6","null"
"3201","{""Q0"":5}","survey-likert","18","200800","0.0-3.0-0.15","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","164","We need to take it a step further.","2.25-3.25","","6","null"
"12098","{""Q0"":1}","survey-likert","19","212899","0.0-3.0-0.16","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","683","The air traffic control center functions without these.",">5.25","","2","null"
"4634","{""Q0"":5}","survey-likert","20","217534","0.0-3.0-0.17","6667142c07fb9301030d37f1","","[0]","","4","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","32","I want you to be my best man.","<2.25","","6","null"
