"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5975","{""Q0"":""5ca9d0224f3e9d00164426f3""}","survey-text","0","6000","0.0-0.0","5ca9d0224f3e9d00164426f3","","","","","","","","","","","",""
"5676","0","html-button-response","1","11687","0.0-1.0","5ca9d0224f3e9d00164426f3","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"15332","0","html-button-response","2","27021","0.0-2.0","5ca9d0224f3e9d00164426f3","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"3953","{""Q0"":0}","survey-likert","3","30988","0.0-3.0-0.0","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"3639","{""Q0"":0}","survey-likert","4","34630","0.0-3.0-0.1","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","696","Relief swept through her when she found one.",">5.25","","1","null"
"3394","{""Q0"":0}","survey-likert","5","38030","0.0-3.0-0.2","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","404","There is a little white at the base.","3.25-4.25","","1","null"
"2880","{""Q0"":0}","survey-likert","6","40912","0.0-3.0-0.3","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","398","What did you put for your best feature?","3.25-4.25","","1","null"
"4545","{""Q0"":0}","survey-likert","7","45459","0.0-3.0-0.4","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","81","I want you to have a good time.","<2.25","","1","null"
"2675","{""Q0"":0}","survey-likert","8","48139","0.0-3.0-0.5","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"3002","{""Q0"":0}","survey-likert","9","51145","0.0-3.0-0.6","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"2401","{""Q0"":0}","survey-likert","10","53548","0.0-3.0-0.7","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","55","You were right, you were right all along.","<2.25","","1","null"
"2957","{""Q0"":0}","survey-likert","11","56512","0.0-3.0-0.8","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","1","null"
"2392","{""Q0"":0}","survey-likert","12","58909","0.0-3.0-0.9","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","159","That's exactly what I want you to do.","<2.25","","1","null"
"2621","{""Q0"":0}","survey-likert","13","61537","0.0-3.0-0.10","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"3592","{""Q0"":0}","survey-likert","14","65135","0.0-3.0-0.11","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","668","Elizabeth was sorting jars and tins of food.",">5.25","","1","null"
"5769","{""Q0"":3}","survey-likert","15","70906","0.0-3.0-0.12","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","286","Did you see an animal of any kind?","2.25-3.25","","4","null"
"3456","{""Q0"":1}","survey-likert","16","74365","0.0-3.0-0.13","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","258","I wonder how long I have been away.","2.25-3.25","","2","null"
"6846","{""Q0"":2}","survey-likert","17","81213","0.0-3.0-0.14","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","582","Then, she filled a bucket for her horse.","4.25-5.25","","3","null"
"2671","{""Q0"":0}","survey-likert","18","83885","0.0-3.0-0.15","5ca9d0224f3e9d00164426f3","","[0]","","8","4","How much does the sentence make you think of places, natural scenes and/or environments?","202","He'd want to know as soon as possible.","2.25-3.25","","1","null"
