"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8421","{""Q0"":""6a0f3b12622c149244b455c6""}","survey-text","0","8430","0.0-0.0","6a0f3b12622c149244b455c6","","","","","","","","","","","",""
"1557","0","html-button-response","1","9989","0.0-1.0","6a0f3b12622c149244b455c6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"29708","0","html-button-response","2","39698","0.0-2.0","6a0f3b12622c149244b455c6","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5031","{""Q0"":0}","survey-likert","3","44730","0.0-3.0-0.0","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"6037","{""Q0"":2}","survey-likert","4","50768","0.0-3.0-0.1","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","3","null"
"5118","{""Q0"":0}","survey-likert","5","55887","0.0-3.0-0.2","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"3550","{""Q0"":0}","survey-likert","6","59437","0.0-3.0-0.3","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"6194","{""Q0"":0}","survey-likert","7","65633","0.0-3.0-0.4","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"6106","{""Q0"":1}","survey-likert","8","71740","0.0-3.0-0.5","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","2","null"
"3486","{""Q0"":2}","survey-likert","9","75227","0.0-3.0-0.6","6a0f3b12622c149244b455c6","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","3","null"
