"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3629","{""Q0"":""6168ace1ef0f716f56f08f5b""}","survey-text","0","3672","0.0-0.0","6168ace1ef0f716f56f08f5b","","","","","","","","","","","",""
"2358","0","html-button-response","1","6034","0.0-1.0","6168ace1ef0f716f56f08f5b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"12834","0","html-button-response","2","18872","0.0-2.0","6168ace1ef0f716f56f08f5b","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7108","{""Q0"":6}","survey-likert","3","25983","0.0-3.0-0.0","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"3870","{""Q0"":6}","survey-likert","4","29857","0.0-3.0-0.1","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"4267","{""Q0"":6}","survey-likert","5","34127","0.0-3.0-0.2","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","7","null"
"115988","{""Q0"":3}","survey-likert","6","150117","0.0-3.0-0.3","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","4","null"
"3953","{""Q0"":3}","survey-likert","7","154073","0.0-3.0-0.4","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","4","null"
"5987","{""Q0"":2}","survey-likert","8","160065","0.0-3.0-0.5","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","3","null"
"5234","{""Q0"":2}","survey-likert","9","165303","0.0-3.0-0.6","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","3","null"
"132236","{""Q0"":4}","survey-likert","10","297543","0.0-3.0-0.7","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","5","null"
"3887","{""Q0"":2}","survey-likert","11","301433","0.0-3.0-0.8","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","3","null"
"3369","{""Q0"":5}","survey-likert","12","304805","0.0-3.0-0.9","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","6","null"
"95898","{""Q0"":4}","survey-likert","13","400708","0.0-3.0-0.10","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","5","null"
"3336","{""Q0"":5}","survey-likert","14","404048","0.0-3.0-0.11","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","6","null"
"3606","{""Q0"":4}","survey-likert","15","407657","0.0-3.0-0.12","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","359","So tonight I decided to have a barbecue.","3.25-4.25","","5","null"
"5827","{""Q0"":5}","survey-likert","16","413486","0.0-3.0-0.13","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","771","Reactions worked totally off of his trained instincts.",">5.25","","6","null"
"3085","{""Q0"":5}","survey-likert","17","416575","0.0-3.0-0.14","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","115","What am I going to say to them?","<2.25","","6","null"
"2771","{""Q0"":6}","survey-likert","18","419349","0.0-3.0-0.15","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","99","I was trying to do the right thing.","<2.25","","7","null"
"6258","{""Q0"":5}","survey-likert","19","425611","0.0-3.0-0.16","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","304","We must move before the sun comes up.","2.25-3.25","","6","null"
"28275","{""Q0"":5}","survey-likert","20","453889","0.0-3.0-0.17","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","6","null"
"4345","{""Q0"":5}","survey-likert","21","458239","0.0-3.0-0.18","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","701","I was elected captain and James became jealous.",">5.25","","6","null"
"3965","{""Q0"":4}","survey-likert","22","462207","0.0-3.0-0.19","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","177","Frankly, I can't spare the time right now.","2.25-3.25","","5","null"
"5280","{""Q0"":5}","survey-likert","23","467491","0.0-3.0-0.20","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"4191","{""Q0"":2}","survey-likert","24","471685","0.0-3.0-0.21","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","764","Your writ runs in the hours of darkness.",">5.25","","3","null"
"4180","{""Q0"":2}","survey-likert","25","475869","0.0-3.0-0.22","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","455","However, I am without argument to explain it.","3.25-4.25","","3","null"
"4775","{""Q0"":2}","survey-likert","26","480649","0.0-3.0-0.23","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","288","Isn't she coming home for tea after all?","2.25-3.25","","3","null"
"4347","{""Q0"":4}","survey-likert","27","485001","0.0-3.0-0.24","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","76","I can't get it out of my head.","<2.25","","5","null"
"50286","{""Q0"":3}","survey-likert","28","535291","0.0-3.0-0.25","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","179","In the meantime, I had much to do.","2.25-3.25","","4","null"
"6749","{""Q0"":3}","survey-likert","29","542046","0.0-3.0-0.26","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","254","He had not expected them to believe him.","2.25-3.25","","4","null"
"7047","{""Q0"":5}","survey-likert","30","549096","0.0-3.0-0.27","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","345","It was a very heavy silence that followed.","3.25-4.25","","6","null"
"6694","{""Q0"":3}","survey-likert","31","555794","0.0-3.0-0.28","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","485","The huge goalkeeper had vanished into thin air.","4.25-5.25","","4","null"
"3185","{""Q0"":5}","survey-likert","32","558983","0.0-3.0-0.29","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","305","I went out to get him some food.","2.25-3.25","","6","null"
"5401","{""Q0"":5}","survey-likert","33","564388","0.0-3.0-0.30","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","518","Go figure, no one wears hats these days.","4.25-5.25","","6","null"
"3199","{""Q0"":5}","survey-likert","34","567590","0.0-3.0-0.31","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","532","They keep inviting us back every single year.","4.25-5.25","","6","null"
"2539","{""Q0"":6}","survey-likert","35","570132","0.0-3.0-0.32","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","466","He pulled up with all of his strength.","3.25-4.25","","7","null"
"3518","{""Q0"":6}","survey-likert","36","573654","0.0-3.0-0.33","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","234","Why do you think you're in this pickle?","2.25-3.25","","7","null"
"3898","{""Q0"":5}","survey-likert","37","577556","0.0-3.0-0.34","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","169","Well, of course, I'm sure you're a gentleman.","2.25-3.25","","6","null"
"2138","{""Q0"":6}","survey-likert","38","579703","0.0-3.0-0.35","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","69","Looks like someone wants to be a hero.","<2.25","","7","null"
"2526","{""Q0"":6}","survey-likert","39","582233","0.0-3.0-0.36","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","104","Everything you need to know is right there.","<2.25","","7","null"
"4706","{""Q0"":0}","survey-likert","40","586941","0.0-3.0-0.37","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","375","She can also be a bear at times.","3.25-4.25","","1","null"
"4433","{""Q0"":5}","survey-likert","41","591380","0.0-3.0-0.38","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","57","But I don't know exactly where she is.","<2.25","","6","null"
"4608","{""Q0"":2}","survey-likert","42","595992","0.0-3.0-0.39","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","600","It was not the most comfortable of transport.","4.25-5.25","","3","null"
"2935","{""Q0"":4}","survey-likert","43","598930","0.0-3.0-0.40","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","402","He might get fed up of his habits.","3.25-4.25","","5","null"
"3937","{""Q0"":3}","survey-likert","44","602869","0.0-3.0-0.41","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 4.","attention_check","4","4","true"
"3822","{""Q0"":6}","survey-likert","45","606696","0.0-3.0-0.42","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","226","Her voice was too soft to be heard.","2.25-3.25","","7","null"
"4854","{""Q0"":2}","survey-likert","46","611555","0.0-3.0-0.43","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","588","But what did I know of such technology?","4.25-5.25","","3","null"
"3139","{""Q0"":6}","survey-likert","47","614698","0.0-3.0-0.44","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","390","No is a very powerful word, my friend.","3.25-4.25","","7","null"
"77459","{""Q0"":4}","survey-likert","48","692159","0.0-3.0-0.45","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","499","There was a room beyond a dividing wall.","4.25-5.25","","5","null"
"6198","{""Q0"":2}","survey-likert","49","698359","0.0-3.0-0.46","6168ace1ef0f716f56f08f5b","","[0]","","3","1","How much does the sentence make sense?","652","The thrill and the challenge top my list.",">5.25","","3","null"
