"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4503","{""Q0"":""611d65b28a9828d87d126fba""}","survey-text","0","4518","0.0-0.0","611d65b28a9828d87d126fba","","","","","","","","","","","",""
"87493","0","html-button-response","1","92015","0.0-1.0","611d65b28a9828d87d126fba","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"24420","0","html-button-response","2","116437","0.0-2.0","611d65b28a9828d87d126fba","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11438","{""Q0"":1}","survey-likert","3","127879","0.0-3.0-0.0","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","2","null"
"4469","{""Q0"":1}","survey-likert","4","132352","0.0-3.0-0.1","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","2","null"
"6633","{""Q0"":0}","survey-likert","5","138987","0.0-3.0-0.2","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"6878","{""Q0"":0}","survey-likert","6","145867","0.0-3.0-0.3","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"5339","{""Q0"":4}","survey-likert","7","151209","0.0-3.0-0.4","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","5","null"
"5338","{""Q0"":1}","survey-likert","8","156549","0.0-3.0-0.5","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","2","null"
"3347","{""Q0"":1}","survey-likert","9","159898","0.0-3.0-0.6","611d65b28a9828d87d126fba","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","2","null"
