"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"17127","{""Q0"":""6113ed4ee9b1bbb4363f514e""}","survey-text","0","17159","0.0-0.0","6113ed4ee9b1bbb4363f514e","","","","","","","","","","","",""
"8587","0","html-button-response","1","25754","0.0-1.0","6113ed4ee9b1bbb4363f514e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"26257","0","html-button-response","2","52016","0.0-2.0","6113ed4ee9b1bbb4363f514e","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"102526","{""Q0"":6}","survey-likert","3","154545","0.0-3.0-0.0","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","7","null"
"25184","{""Q0"":5}","survey-likert","4","179732","0.0-3.0-0.1","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","6","null"
"24500","{""Q0"":6}","survey-likert","5","204236","0.0-3.0-0.2","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","7","null"
"33421","{""Q0"":6}","survey-likert","6","237660","0.0-3.0-0.3","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","7","null"
"41849","{""Q0"":6}","survey-likert","7","279512","0.0-3.0-0.4","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"15337","{""Q0"":6}","survey-likert","8","294852","0.0-3.0-0.5","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","7","null"
"52361","{""Q0"":6}","survey-likert","9","347217","0.0-3.0-0.6","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","7","null"
"32000","{""Q0"":6}","survey-likert","10","379220","0.0-3.0-0.7","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","55","You were right, you were right all along.","<2.25","","7","null"
"21808","{""Q0"":6}","survey-likert","11","401032","0.0-3.0-0.8","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","7","null"
"7066","{""Q0"":6}","survey-likert","12","408101","0.0-3.0-0.9","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","159","That's exactly what I want you to do.","<2.25","","7","null"
"17297","{""Q0"":6}","survey-likert","13","425401","0.0-3.0-0.10","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","471","It seems the rumors were not far off.","3.25-4.25","","7","null"
"14567","{""Q0"":6}","survey-likert","14","439971","0.0-3.0-0.11","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","668","Elizabeth was sorting jars and tins of food.",">5.25","","7","null"
"17145","{""Q0"":6}","survey-likert","15","457119","0.0-3.0-0.12","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","286","Did you see an animal of any kind?","2.25-3.25","","7","null"
"24894","{""Q0"":5}","survey-likert","16","482015","0.0-3.0-0.13","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","258","I wonder how long I have been away.","2.25-3.25","","6","null"
"23172","{""Q0"":6}","survey-likert","17","505189","0.0-3.0-0.14","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","582","Then, she filled a bucket for her horse.","4.25-5.25","","7","null"
"8409","{""Q0"":6}","survey-likert","18","513601","0.0-3.0-0.15","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","202","He'd want to know as soon as possible.","2.25-3.25","","7","null"
"283450","{""Q0"":5}","survey-likert","19","797054","0.0-3.0-0.16","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","193","I was supposed to be doing something else.","2.25-3.25","","6","null"
"11790","{""Q0"":5}","survey-likert","20","808847","0.0-3.0-0.17","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","522","Expensive furniture and paintings filled room after room.","4.25-5.25","","6","null"
"44487","{""Q0"":5}","survey-likert","21","853337","0.0-3.0-0.18","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","498","Very little is known about his sumo career.","4.25-5.25","","6","null"
"6444","{""Q0"":6}","survey-likert","22","859785","0.0-3.0-0.19","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","23","May I buy you a cup of coffee?","<2.25","","7","null"
"5162","{""Q0"":2}","survey-likert","23","864949","0.0-3.0-0.20","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"20667","{""Q0"":6}","survey-likert","24","885618","0.0-3.0-0.21","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","331","Was there anything left for me to find?","3.25-4.25","","7","null"
"7910","{""Q0"":6}","survey-likert","25","893530","0.0-3.0-0.22","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","38","Are you sure you want to see it?","<2.25","","7","null"
"22891","{""Q0"":1}","survey-likert","26","916424","0.0-3.0-0.23","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","367","When you are down, your money is sad.","3.25-4.25","","2","null"
"43005","{""Q0"":3}","survey-likert","27","959435","0.0-3.0-0.24","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","678","My lungs felt dusty from all the books.",">5.25","","4","null"
"9901","{""Q0"":5}","survey-likert","28","969339","0.0-3.0-0.25","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","248","Slowly I was getting used to the dark.","2.25-3.25","","6","null"
"43893","{""Q0"":6}","survey-likert","29","1013234","0.0-3.0-0.26","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","504","Slowly, a faint energy signature started to resonate.","4.25-5.25","","7","null"
"9970","{""Q0"":6}","survey-likert","30","1023207","0.0-3.0-0.27","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","58","Hey, what do you think of these boots?","<2.25","","7","null"
"16775","{""Q0"":1}","survey-likert","31","1039985","0.0-3.0-0.28","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","689","The absence of water dripping indicated a column.",">5.25","","2","null"
"5829","{""Q0"":6}","survey-likert","32","1045817","0.0-3.0-0.29","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","247","I didn't want to say goodbye to anyone.","2.25-3.25","","7","null"
"17834","{""Q0"":5}","survey-likert","33","1063654","0.0-3.0-0.30","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","45","Yes, this is what I wanted to say.","<2.25","","6","null"
"28422","{""Q0"":0}","survey-likert","34","1092078","0.0-3.0-0.31","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","515","Here is the six month's increase in advance.","4.25-5.25","","1","null"
"33652","{""Q0"":6}","survey-likert","35","1125733","0.0-3.0-0.32","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","303","Your grandmother took care of that for you.","2.25-3.25","","7","null"
"37308","{""Q0"":5}","survey-likert","36","1163043","0.0-3.0-0.33","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","790","Matt replaced the receiver and returned to Sue.",">5.25","","6","null"
"28872","{""Q0"":1}","survey-likert","37","1191917","0.0-3.0-0.34","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","779","Something lead singers in rock bands wouldn't get.",">5.25","","2","null"
"7223","{""Q0"":6}","survey-likert","38","1199143","0.0-3.0-0.35","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","8","Are you sure you want to do this?","<2.25","","7","null"
"8855","{""Q0"":6}","survey-likert","39","1208001","0.0-3.0-0.36","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","241","She was working as quickly as she could.","2.25-3.25","","7","null"
"21383","{""Q0"":6}","survey-likert","40","1229386","0.0-3.0-0.37","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","777","A spark of compassion changed her friend's expression.",">5.25","","7","null"
"20318","{""Q0"":0}","survey-likert","41","1249708","0.0-3.0-0.38","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","355","I can blow smoke out of my ears.","3.25-4.25","","1","null"
"16186","{""Q0"":5}","survey-likert","42","1265897","0.0-3.0-0.39","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","732","They both pushed up, eyes meeting with worry.",">5.25","","6","null"
"8557","{""Q0"":6}","survey-likert","43","1274456","0.0-3.0-0.40","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","196","You need to have a friend with you.","2.25-3.25","","7","null"
"4959","{""Q0"":5}","survey-likert","44","1279417","0.0-3.0-0.41","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"7891","{""Q0"":6}","survey-likert","45","1287311","0.0-3.0-0.42","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","644","The sound of the loud television startles me.",">5.25","","7","null"
"4160","{""Q0"":6}","survey-likert","46","1291474","0.0-3.0-0.43","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","170","It was going to be a fun night.","2.25-3.25","","7","null"
"6757","{""Q0"":6}","survey-likert","47","1298233","0.0-3.0-0.44","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","292","What kind of a connection could that be?","2.25-3.25","","7","null"
"6141","{""Q0"":6}","survey-likert","48","1304377","0.0-3.0-0.45","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","122","Do you really expect me to believe that?","<2.25","","7","null"
"13186","{""Q0"":6}","survey-likert","49","1317566","0.0-3.0-0.46","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","641","But her brittle smile remained stubbornly in place.",">5.25","","7","null"
"9987","{""Q0"":6}","survey-likert","50","1327556","0.0-3.0-0.47","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","102","For a moment, they stared at each other.","<2.25","","7","null"
"16299","{""Q0"":6}","survey-likert","51","1343859","0.0-3.0-0.48","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","473","That's always been a point in their favor.","3.25-4.25","","7","null"
"13441","{""Q0"":6}","survey-likert","52","1357303","0.0-3.0-0.49","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","770","A second helicopter appeared over the Lincoln Memorial.",">5.25","","7","null"
"14886","{""Q0"":6}","survey-likert","53","1372191","0.0-3.0-0.50","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","243","At the top of my lungs, I screamed.","2.25-3.25","","7","null"
"13773","{""Q0"":4}","survey-likert","54","1385968","0.0-3.0-0.51","6113ed4ee9b1bbb4363f514e","","[0]","","8","1","How much does the sentence make sense?","715","This fanaticism and this exhibitionism, I would ban.",">5.25","","5","null"
