"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3684","{""Q0"":""6658b1491e88ec15902d5301""}","survey-text","0","3703","0.0-0.0","6658b1491e88ec15902d5301","","","","","","","","","","","",""
"11786","0","html-button-response","1","15495","0.0-1.0","6658b1491e88ec15902d5301","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"7437","0","html-button-response","2","22935","0.0-2.0","6658b1491e88ec15902d5301","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6400","{""Q0"":6}","survey-likert","3","29351","0.0-3.0-0.0","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","7","null"
"10698","{""Q0"":3}","survey-likert","4","40053","0.0-3.0-0.1","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","4","null"
"5794","{""Q0"":6}","survey-likert","5","45850","0.0-3.0-0.2","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","7","null"
"6455","{""Q0"":6}","survey-likert","6","52309","0.0-3.0-0.3","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"8808","{""Q0"":6}","survey-likert","7","61121","0.0-3.0-0.4","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"4050","{""Q0"":6}","survey-likert","8","65175","0.0-3.0-0.5","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"3998","{""Q0"":6}","survey-likert","9","69176","0.0-3.0-0.6","6658b1491e88ec15902d5301","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
