"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"16840","{""Q0"":""6696cc31a33b18867afa1935""}","survey-text","0","16900","0.0-0.0","6696cc31a33b18867afa1935","","","","","","","","","","","",""
"7971","0","html-button-response","1","24878","0.0-1.0","6696cc31a33b18867afa1935","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"34688","0","html-button-response","2","59568","0.0-2.0","6696cc31a33b18867afa1935","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"16823","{""Q0"":6}","survey-likert","3","76397","0.0-3.0-0.0","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","7","null"
"12240","{""Q0"":4}","survey-likert","4","88643","0.0-3.0-0.1","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","5","null"
"11005","{""Q0"":6}","survey-likert","5","99651","0.0-3.0-0.2","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","7","null"
"8134","{""Q0"":6}","survey-likert","6","107788","0.0-3.0-0.3","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","7","null"
"6828","{""Q0"":6}","survey-likert","7","114620","0.0-3.0-0.4","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","7","null"
"9243","{""Q0"":3}","survey-likert","8","123867","0.0-3.0-0.5","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","4","null"
"5751","{""Q0"":6}","survey-likert","9","129620","0.0-3.0-0.6","6696cc31a33b18867afa1935","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","7","null"
