"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6890","{""Q0"":""6a06e923b9d90a383babb56f""}","survey-text","0","6905","0.0-0.0","6a06e923b9d90a383babb56f","","","","","","","","","","","",""
"1979","0","html-button-response","1","8887","0.0-1.0","6a06e923b9d90a383babb56f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"14615","0","html-button-response","2","23503","0.0-2.0","6a06e923b9d90a383babb56f","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4915","{""Q0"":6}","survey-likert","3","28420","0.0-3.0-0.0","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","7","null"
"7715","{""Q0"":5}","survey-likert","4","36137","0.0-3.0-0.1","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","6","null"
"3248","{""Q0"":6}","survey-likert","5","39387","0.0-3.0-0.2","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","7","null"
"4115","{""Q0"":0}","survey-likert","6","43504","0.0-3.0-0.3","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","1","null"
"2664","{""Q0"":6}","survey-likert","7","46170","0.0-3.0-0.4","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","7","null"
"5549","{""Q0"":1}","survey-likert","8","51721","0.0-3.0-0.5","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"2632","{""Q0"":6}","survey-likert","9","54354","0.0-3.0-0.6","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","7","null"
"2832","{""Q0"":6}","survey-likert","10","57187","0.0-3.0-0.7","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","68","He picked it up and looked at it.","<2.25","","7","null"
"5132","{""Q0"":3}","survey-likert","11","62320","0.0-3.0-0.8","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","733","They must purchase the electric power at wholesale.",">5.25","","4","null"
"3882","{""Q0"":3}","survey-likert","12","66204","0.0-3.0-0.9","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","403","They were putting on a mask of calm.","3.25-4.25","","4","null"
"5882","{""Q0"":4}","survey-likert","13","72087","0.0-3.0-0.10","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"3682","{""Q0"":6}","survey-likert","14","75770","0.0-3.0-0.11","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","185","Suddenly there was an image in my mind.","2.25-3.25","","7","null"
"2715","{""Q0"":6}","survey-likert","15","78487","0.0-3.0-0.12","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","139","There's a lot of things I can't change.","<2.25","","7","null"
"4248","{""Q0"":5}","survey-likert","16","82737","0.0-3.0-0.13","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
"2615","{""Q0"":6}","survey-likert","17","85354","0.0-3.0-0.14","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","148","Let me know what you think of that.","<2.25","","7","null"
"6649","{""Q0"":3}","survey-likert","18","92004","0.0-3.0-0.15","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","492","There's already a half million in this portfolio.","4.25-5.25","","4","null"
"4632","{""Q0"":6}","survey-likert","19","96637","0.0-3.0-0.16","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","103","Mister, I don't want to know your name.","<2.25","","7","null"
"2298","{""Q0"":6}","survey-likert","20","98937","0.0-3.0-0.17","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","319","Then you should go back to your table.","2.25-3.25","","7","null"
"7065","{""Q0"":4}","survey-likert","21","106004","0.0-3.0-0.18","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","508","The elves nodded and headed for the house.","4.25-5.25","","5","null"
"3399","{""Q0"":0}","survey-likert","22","109404","0.0-3.0-0.19","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","549","It is the second planet from their sun.","4.25-5.25","","1","null"
"3299","{""Q0"":0}","survey-likert","23","112704","0.0-3.0-0.20","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"3415","{""Q0"":1}","survey-likert","24","116121","0.0-3.0-0.21","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","729","Making what we all believe look like dirt",">5.25","","2","null"
"2398","{""Q0"":6}","survey-likert","25","118521","0.0-3.0-0.22","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","72","We have a lot of work to do.","<2.25","","7","null"
"2498","{""Q0"":6}","survey-likert","26","121020","0.0-3.0-0.23","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","265","And are you happy with your new book?","2.25-3.25","","7","null"
"6182","{""Q0"":6}","survey-likert","27","127204","0.0-3.0-0.24","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","724","Every second wasted in negotiation made her nervous.",">5.25","","7","null"
"2298","{""Q0"":6}","survey-likert","28","129504","0.0-3.0-0.25","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","101","How am I supposed to tell the difference?","<2.25","","7","null"
"6666","{""Q0"":3}","survey-likert","29","136171","0.0-3.0-0.26","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","580","Where would a wise man hide a leaf?","4.25-5.25","","4","null"
"2299","{""Q0"":6}","survey-likert","30","138471","0.0-3.0-0.27","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","79","I didn't even know you were in town.","<2.25","","7","null"
"2481","{""Q0"":6}","survey-likert","31","140954","0.0-3.0-0.28","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","194","People looked at him for a few seconds.","2.25-3.25","","7","null"
"3399","{""Q0"":6}","survey-likert","32","144354","0.0-3.0-0.29","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","721","Bryan produced a card immediately and introduced himself.",">5.25","","7","null"
"2498","{""Q0"":6}","survey-likert","33","146854","0.0-3.0-0.30","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","40","Look, do you want my help or not?","<2.25","","7","null"
"3015","{""Q0"":6}","survey-likert","34","149871","0.0-3.0-0.31","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","391","The eyes are the window to the soul.","3.25-4.25","","7","null"
"2948","{""Q0"":6}","survey-likert","35","152821","0.0-3.0-0.32","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","270","He had no desire to work for him.","2.25-3.25","","7","null"
"5698","{""Q0"":4}","survey-likert","36","158521","0.0-3.0-0.33","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","372","There was no hesitation for him, no nerves.","3.25-4.25","","5","null"
"3248","{""Q0"":6}","survey-likert","37","161771","0.0-3.0-0.34","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","343","That decision was an easy one to make.","3.25-4.25","","7","null"
"2732","{""Q0"":6}","survey-likert","38","164504","0.0-3.0-0.35","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","576","This was a major advance in workshop technology.","4.25-5.25","","7","null"
"7149","{""Q0"":2}","survey-likert","39","171654","0.0-3.0-0.36","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","3","null"
"2398","{""Q0"":6}","survey-likert","40","174054","0.0-3.0-0.37","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","282","It was time for the first pep talk.","2.25-3.25","","7","null"
"2065","{""Q0"":6}","survey-likert","41","176121","0.0-3.0-0.38","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","7","What are you going to do about it?","<2.25","","7","null"
"4615","{""Q0"":5}","survey-likert","42","180738","0.0-3.0-0.39","6a06e923b9d90a383babb56f","","[0]","","6","1","How much does the sentence make sense?","643","Was he pleading for release or to serve?","4.25-5.25","","6","null"
