"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8487","{""Q0"":""5f3e6467a097d9057137d439""}","survey-text","0","8493","0.0-0.0","5f3e6467a097d9057137d439","","","","","","","","","","","",""
"4767","0","html-button-response","1","13260","0.0-1.0","5f3e6467a097d9057137d439","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"9455","0","html-button-response","2","22716","0.0-2.0","5f3e6467a097d9057137d439","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6567","{""Q0"":0}","survey-likert","3","29284","0.0-3.0-0.0","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","1","null"
"3263","{""Q0"":0}","survey-likert","4","32547","0.0-3.0-0.1","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","1","null"
"2367","{""Q0"":0}","survey-likert","5","34915","0.0-3.0-0.2","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","1","null"
"6207","{""Q0"":0}","survey-likert","6","41123","0.0-3.0-0.3","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","1","null"
"2376","{""Q0"":0}","survey-likert","7","43499","0.0-3.0-0.4","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","1","null"
"2023","{""Q0"":0}","survey-likert","8","45523","0.0-3.0-0.5","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","1","null"
"2335","{""Q0"":0}","survey-likert","9","47859","0.0-3.0-0.6","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","1","null"
"3551","{""Q0"":2}","survey-likert","10","51411","0.0-3.0-0.7","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","3","null"
"3288","{""Q0"":0}","survey-likert","11","54700","0.0-3.0-0.8","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","1","null"
"3463","{""Q0"":0}","survey-likert","12","58163","0.0-3.0-0.9","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","1","null"
"3600","{""Q0"":0}","survey-likert","13","61763","0.0-3.0-0.10","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","1","null"
"2527","{""Q0"":0}","survey-likert","14","64291","0.0-3.0-0.11","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","1","null"
"2496","{""Q0"":0}","survey-likert","15","66788","0.0-3.0-0.12","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","1","null"
"2823","{""Q0"":0}","survey-likert","16","69611","0.0-3.0-0.13","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","1","null"
"2231","{""Q0"":0}","survey-likert","17","71843","0.0-3.0-0.14","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","1","null"
"1911","{""Q0"":0}","survey-likert","18","73755","0.0-3.0-0.15","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","1","null"
"3432","{""Q0"":0}","survey-likert","19","77188","0.0-3.0-0.16","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","1","null"
"3919","{""Q0"":0}","survey-likert","20","81107","0.0-3.0-0.17","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","1","null"
"2800","{""Q0"":0}","survey-likert","21","83907","0.0-3.0-0.18","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","1","null"
"1919","{""Q0"":0}","survey-likert","22","85827","0.0-3.0-0.19","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","1","null"
"3784","{""Q0"":3}","survey-likert","23","89611","0.0-3.0-0.20","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"2479","{""Q0"":0}","survey-likert","24","92091","0.0-3.0-0.21","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","1","null"
"2999","{""Q0"":0}","survey-likert","25","95091","0.0-3.0-0.22","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","1","null"
"3784","{""Q0"":0}","survey-likert","26","98875","0.0-3.0-0.23","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","663","The three women shared a harsh, knowing laugh.",">5.25","","1","null"
"5431","{""Q0"":4}","survey-likert","27","104307","0.0-3.0-0.24","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","356","It had been snowing nonstop for a week.","3.25-4.25","","5","null"
"11863","{""Q0"":0}","survey-likert","28","116171","0.0-3.0-0.25","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","1","null"
"2583","{""Q0"":0}","survey-likert","29","118755","0.0-3.0-0.26","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","1","null"
"2961","{""Q0"":0}","survey-likert","30","121716","0.0-3.0-0.27","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","1","null"
"2647","{""Q0"":0}","survey-likert","31","124363","0.0-3.0-0.28","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","406","I reached my limit a long time ago.","3.25-4.25","","1","null"
"8871","{""Q0"":0}","survey-likert","32","133235","0.0-3.0-0.29","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","523","The separation was almost too painful to stand.","4.25-5.25","","1","null"
"12511","{""Q0"":0}","survey-likert","33","145747","0.0-3.0-0.30","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","192","Before I go, there's something I should say.","2.25-3.25","","1","null"
"11231","{""Q0"":0}","survey-likert","34","156979","0.0-3.0-0.31","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","1","null"
"14151","{""Q0"":0}","survey-likert","35","171130","0.0-3.0-0.32","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","797","A genuine smile rides low on her lips.",">5.25","","1","null"
"3447","{""Q0"":0}","survey-likert","36","174578","0.0-3.0-0.33","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","757","She considered pretending she was asleep or gone.",">5.25","","1","null"
"7760","{""Q0"":0}","survey-likert","37","182339","0.0-3.0-0.34","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","519","So now you suddenly care about my future?","4.25-5.25","","1","null"
"4471","{""Q0"":0}","survey-likert","38","186810","0.0-3.0-0.35","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","3","Why are you looking at me like that?","<2.25","","1","null"
"24823","{""Q0"":0}","survey-likert","39","211634","0.0-3.0-0.36","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","529","We can presume that that was no coincidence.","4.25-5.25","","1","null"
"6368","{""Q0"":0}","survey-likert","40","218003","0.0-3.0-0.37","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","98","Suddenly, I saw a look in his eyes.","<2.25","","1","null"
"2231","{""Q0"":0}","survey-likert","41","220234","0.0-3.0-0.38","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","10","I'll tell you what I'm going to do.","<2.25","","1","null"
"2191","{""Q0"":0}","survey-likert","42","222426","0.0-3.0-0.39","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","56","I know how important this is to you.","<2.25","","1","null"
"1960","{""Q0"":0}","survey-likert","43","224386","0.0-3.0-0.40","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","278","I just need to be alone, you know?","2.25-3.25","","1","null"
"3200","{""Q0"":6}","survey-likert","44","227586","0.0-3.0-0.41","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 7.","attention_check","7","7","true"
"2263","{""Q0"":0}","survey-likert","45","229850","0.0-3.0-0.42","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","447","There was a feverish intensity in the words.","3.25-4.25","","1","null"
"2631","{""Q0"":3}","survey-likert","46","232482","0.0-3.0-0.43","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","376","The wind stirred the branches of the tree.","3.25-4.25","","4","null"
"2439","{""Q0"":0}","survey-likert","47","234922","0.0-3.0-0.44","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","350","He heaved a sigh and swallowed his pride.","3.25-4.25","","1","null"
"4384","{""Q0"":0}","survey-likert","48","239306","0.0-3.0-0.45","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","676","He has aerial work and aircraft testing experience.",">5.25","","1","null"
"2015","{""Q0"":0}","survey-likert","49","241322","0.0-3.0-0.46","5f3e6467a097d9057137d439","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","586","I knew my history, limited as it was.","4.25-5.25","","1","null"
