"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2836","{""Q0"":""610992345dff3a5180a13714""}","survey-text","0","2939","0.0-0.0","610992345dff3a5180a13714","","","","","","","","","","","",""
"1230","0","html-button-response","1","4172","0.0-1.0","610992345dff3a5180a13714","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"72236","0","html-button-response","2","76406","0.0-2.0","610992345dff3a5180a13714","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"4059","{""Q0"":6}","survey-likert","3","80473","0.0-3.0-0.0","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","91","This is the worst moment of my life.","<2.25","","7","null"
"2166","{""Q0"":6}","survey-likert","4","82648","0.0-3.0-0.1","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","5","Is there anything I can do for you?","<2.25","","7","null"
"3218","{""Q0"":4}","survey-likert","5","85872","0.0-3.0-0.2","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","285","And now there are trees all around us.","2.25-3.25","","5","null"
"3817","{""Q0"":4}","survey-likert","6","89695","0.0-3.0-0.3","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","5","null"
"3023","{""Q0"":6}","survey-likert","7","92723","0.0-3.0-0.4","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","67","Oh, I wish I could remember the name.","<2.25","","7","null"
"2723","{""Q0"":3}","survey-likert","8","95452","0.0-3.0-0.5","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","336","He looked at me with a wacky gaze.","3.25-4.25","","4","null"
"2623","{""Q0"":6}","survey-likert","9","98081","0.0-3.0-0.6","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","138","There is no use in talking about it.","<2.25","","7","null"
"4395","{""Q0"":4}","survey-likert","10","102482","0.0-3.0-0.7","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","502","We were surrounded by people from various origins.","4.25-5.25","","5","null"
"5703","{""Q0"":3}","survey-likert","11","108192","0.0-3.0-0.8","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","699","It also had real but limited economic advances.",">5.25","","4","null"
"2349","{""Q0"":5}","survey-likert","12","110550","0.0-3.0-0.9","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","92","Maybe you should take another look at it.","<2.25","","6","null"
"3416","{""Q0"":6}","survey-likert","13","113972","0.0-3.0-0.10","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","168","I'm just trying to find the right words.","2.25-3.25","","7","null"
"2064","{""Q0"":6}","survey-likert","14","116043","0.0-3.0-0.11","610992345dff3a5180a13714","","[0]","","3","1","How much does the sentence make sense?","94","This is not where I want to be.","<2.25","","7","null"
