"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"4957","{""Q0"":""69f1027156bb8e291954838f""}","survey-text","0","4990","0.0-0.0","69f1027156bb8e291954838f","","","","","","","","","","","",""
"5415","0","html-button-response","1","10408","0.0-1.0","69f1027156bb8e291954838f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"21802","0","html-button-response","2","32211","0.0-2.0","69f1027156bb8e291954838f","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9253","{""Q0"":1}","survey-likert","3","41466","0.0-3.0-0.0","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","49","All you had to do was walk away.","<2.25","","2","null"
"3840","{""Q0"":0}","survey-likert","4","45309","0.0-3.0-0.1","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","153","Only one of them could have done that.","<2.25","","1","null"
"5308","{""Q0"":2}","survey-likert","5","50618","0.0-3.0-0.2","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","326","He was holding his backpack over his head.","3.25-4.25","","3","null"
"5434","{""Q0"":0}","survey-likert","6","56054","0.0-3.0-0.3","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","1","null"
"3166","{""Q0"":0}","survey-likert","7","59221","0.0-3.0-0.4","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"3482","{""Q0"":0}","survey-likert","8","62704","0.0-3.0-0.5","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"3437","{""Q0"":0}","survey-likert","9","66143","0.0-3.0-0.6","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","420","He put half a dozen in his pouch.","3.25-4.25","","1","null"
"5856","{""Q0"":0}","survey-likert","10","72001","0.0-3.0-0.7","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","68","He picked it up and looked at it.","<2.25","","1","null"
"7044","{""Q0"":1}","survey-likert","11","79047","0.0-3.0-0.8","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","733","They must purchase the electric power at wholesale.",">5.25","","2","null"
"5912","{""Q0"":0}","survey-likert","12","84960","0.0-3.0-0.9","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","403","They were putting on a mask of calm.","3.25-4.25","","1","null"
"5102","{""Q0"":0}","survey-likert","13","90064","0.0-3.0-0.10","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","625","With luck, maybe it will work without trouble.","4.25-5.25","","1","null"
"3424","{""Q0"":0}","survey-likert","14","93490","0.0-3.0-0.11","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","185","Suddenly there was an image in my mind.","2.25-3.25","","1","null"
"3057","{""Q0"":0}","survey-likert","15","96549","0.0-3.0-0.12","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","139","There's a lot of things I can't change.","<2.25","","1","null"
"4037","{""Q0"":1}","survey-likert","16","100587","0.0-3.0-0.13","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","496","She shopped for only one thing: a bargain.","4.25-5.25","","2","null"
"5617","{""Q0"":0}","survey-likert","17","106206","0.0-3.0-0.14","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","148","Let me know what you think of that.","<2.25","","1","null"
"2670","{""Q0"":0}","survey-likert","18","108877","0.0-3.0-0.15","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","492","There's already a half million in this portfolio.","4.25-5.25","","1","null"
"4628","{""Q0"":0}","survey-likert","19","113506","0.0-3.0-0.16","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","103","Mister, I don't want to know your name.","<2.25","","1","null"
"5718","{""Q0"":2}","survey-likert","20","119226","0.0-3.0-0.17","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","319","Then you should go back to your table.","2.25-3.25","","3","null"
"5510","{""Q0"":4}","survey-likert","21","124737","0.0-3.0-0.18","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","508","The elves nodded and headed for the house.","4.25-5.25","","5","null"
"5430","{""Q0"":3}","survey-likert","22","130168","0.0-3.0-0.19","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","549","It is the second planet from their sun.","4.25-5.25","","4","null"
"3416","{""Q0"":2}","survey-likert","23","133586","0.0-3.0-0.20","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"5923","{""Q0"":1}","survey-likert","24","139510","0.0-3.0-0.21","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","729","Making what we all believe look like dirt",">5.25","","2","null"
"3371","{""Q0"":0}","survey-likert","25","142883","0.0-3.0-0.22","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","72","We have a lot of work to do.","<2.25","","1","null"
"2838","{""Q0"":0}","survey-likert","26","145722","0.0-3.0-0.23","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","265","And are you happy with your new book?","2.25-3.25","","1","null"
"4946","{""Q0"":0}","survey-likert","27","150669","0.0-3.0-0.24","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","724","Every second wasted in negotiation made her nervous.",">5.25","","1","null"
"2992","{""Q0"":0}","survey-likert","28","153662","0.0-3.0-0.25","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","101","How am I supposed to tell the difference?","<2.25","","1","null"
"9615","{""Q0"":2}","survey-likert","29","163279","0.0-3.0-0.26","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","580","Where would a wise man hide a leaf?","4.25-5.25","","3","null"
"3308","{""Q0"":3}","survey-likert","30","166588","0.0-3.0-0.27","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","79","I didn't even know you were in town.","<2.25","","4","null"
"4872","{""Q0"":0}","survey-likert","31","171461","0.0-3.0-0.28","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","194","People looked at him for a few seconds.","2.25-3.25","","1","null"
"4415","{""Q0"":0}","survey-likert","32","175877","0.0-3.0-0.29","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","721","Bryan produced a card immediately and introduced himself.",">5.25","","1","null"
"3278","{""Q0"":0}","survey-likert","33","179157","0.0-3.0-0.30","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","40","Look, do you want my help or not?","<2.25","","1","null"
"9458","{""Q0"":0}","survey-likert","34","188617","0.0-3.0-0.31","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","391","The eyes are the window to the soul.","3.25-4.25","","1","null"
"3685","{""Q0"":0}","survey-likert","35","192303","0.0-3.0-0.32","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","270","He had no desire to work for him.","2.25-3.25","","1","null"
"4025","{""Q0"":0}","survey-likert","36","196330","0.0-3.0-0.33","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","372","There was no hesitation for him, no nerves.","3.25-4.25","","1","null"
"4029","{""Q0"":0}","survey-likert","37","200361","0.0-3.0-0.34","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","343","That decision was an easy one to make.","3.25-4.25","","1","null"
"7405","{""Q0"":0}","survey-likert","38","207768","0.0-3.0-0.35","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","576","This was a major advance in workshop technology.","4.25-5.25","","1","null"
"3583","{""Q0"":0}","survey-likert","39","211352","0.0-3.0-0.36","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","1","null"
"9715","{""Q0"":0}","survey-likert","40","221068","0.0-3.0-0.37","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","282","It was time for the first pep talk.","2.25-3.25","","1","null"
"9764","{""Q0"":0}","survey-likert","41","230833","0.0-3.0-0.38","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","7","What are you going to do about it?","<2.25","","1","null"
"17479","{""Q0"":0}","survey-likert","42","248314","0.0-3.0-0.39","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","643","Was he pleading for release or to serve?","4.25-5.25","","1","null"
"7106","{""Q0"":0}","survey-likert","43","255422","0.0-3.0-0.40","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","748","Dixie set her tea down and leaned forward.",">5.25","","1","null"
"5167","{""Q0"":1}","survey-likert","44","260590","0.0-3.0-0.41","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 2.","attention_check","2","2","true"
"13573","{""Q0"":0}","survey-likert","45","274165","0.0-3.0-0.42","69f1027156bb8e291954838f","","[0]","","6","4","How much does the sentence make you think of places, natural scenes and/or environments?","354","She should have started with something much smaller.","3.25-4.25","","1","null"
