"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6390","{""Q0"":""6a1e98f354da7a484574f5b8""}","survey-text","0","6398","0.0-0.0","6a1e98f354da7a484574f5b8","","","","","","","","","","","",""
"2477","0","html-button-response","1","8876","0.0-1.0","6a1e98f354da7a484574f5b8","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"29369","0","html-button-response","2","38246","0.0-2.0","6a1e98f354da7a484574f5b8","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9297","{""Q0"":6}","survey-likert","3","47544","0.0-3.0-0.0","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","7","null"
"11313","{""Q0"":4}","survey-likert","4","58858","0.0-3.0-0.1","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","5","null"
"5841","{""Q0"":3}","survey-likert","5","64700","0.0-3.0-0.2","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","4","null"
"4377","{""Q0"":6}","survey-likert","6","69078","0.0-3.0-0.3","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"3172","{""Q0"":6}","survey-likert","7","72250","0.0-3.0-0.4","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"4961","{""Q0"":6}","survey-likert","8","77212","0.0-3.0-0.5","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"5011","{""Q0"":6}","survey-likert","9","82224","0.0-3.0-0.6","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","7","null"
"8525","{""Q0"":6}","survey-likert","10","90750","0.0-3.0-0.7","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","7","null"
"6222","{""Q0"":6}","survey-likert","11","96972","0.0-3.0-0.8","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","7","null"
"2859","{""Q0"":6}","survey-likert","12","99832","0.0-3.0-0.9","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","7","null"
"5334","{""Q0"":6}","survey-likert","13","105166","0.0-3.0-0.10","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","7","null"
"4424","{""Q0"":6}","survey-likert","14","109591","0.0-3.0-0.11","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","7","null"
"4599","{""Q0"":6}","survey-likert","15","114190","0.0-3.0-0.12","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","7","null"
"3039","{""Q0"":6}","survey-likert","16","117230","0.0-3.0-0.13","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","7","null"
"5931","{""Q0"":5}","survey-likert","17","123162","0.0-3.0-0.14","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","382","I feel a new sun on my skin","3.25-4.25","","6","null"
"3061","{""Q0"":6}","survey-likert","18","126224","0.0-3.0-0.15","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","585","I did get a lot accomplished this week.","4.25-5.25","","7","null"
"2553","{""Q0"":6}","survey-likert","19","128778","0.0-3.0-0.16","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","21","I don't know what to do with you.","<2.25","","7","null"
"2338","{""Q0"":6}","survey-likert","20","131116","0.0-3.0-0.17","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","36","I think I'm going to go to bed.","<2.25","","7","null"
"2722","{""Q0"":6}","survey-likert","21","133838","0.0-3.0-0.18","6a1e98f354da7a484574f5b8","","[0]","","5","1","How much does the sentence make sense?","22","Why don't you come in for a while?","<2.25","","7","null"
