"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"14267","{""Q0"":""614decec3fb283ee36eb2f66""}","survey-text","0","14279","0.0-0.0","614decec3fb283ee36eb2f66","","","","","","","","","","","",""
"17046","0","html-button-response","1","31327","0.0-1.0","614decec3fb283ee36eb2f66","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"36178","0","html-button-response","2","67508","0.0-2.0","614decec3fb283ee36eb2f66","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14381","{""Q0"":4}","survey-likert","3","81894","0.0-3.0-0.0","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"7409","{""Q0"":1}","survey-likert","4","89308","0.0-3.0-0.1","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","762","And now, Logan had stirred the pot again.",">5.25","","2","null"
"9518","{""Q0"":5}","survey-likert","5","98829","0.0-3.0-0.2","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","6","null"
"9925","{""Q0"":3}","survey-likert","6","108757","0.0-3.0-0.3","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"4375","{""Q0"":1}","survey-likert","7","113139","0.0-3.0-0.4","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","423","It is time to meet with the duke.","3.25-4.25","","2","null"
"7165","{""Q0"":1}","survey-likert","8","120307","0.0-3.0-0.5","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","551","You have acquired this power in two days?","4.25-5.25","","2","null"
"6647","{""Q0"":2}","survey-likert","9","126957","0.0-3.0-0.6","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","3","null"
"5779","{""Q0"":3}","survey-likert","10","132739","0.0-3.0-0.7","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","70","There's a message for you at the office.","<2.25","","4","null"
"6669","{""Q0"":2}","survey-likert","11","139409","0.0-3.0-0.8","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","253","That could only mean one of three things.","2.25-3.25","","3","null"
"4227","{""Q0"":2}","survey-likert","12","143639","0.0-3.0-0.9","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","127","You know that as well as I do.","<2.25","","3","null"
"6282","{""Q0"":1}","survey-likert","13","149922","0.0-3.0-0.10","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","686","The terminal palps are covered with substantial feathers.",">5.25","","2","null"
"6348","{""Q0"":3}","survey-likert","14","156273","0.0-3.0-0.11","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","4","null"
"4747","{""Q0"":5}","survey-likert","15","161023","0.0-3.0-0.12","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","6","null"
"5031","{""Q0"":5}","survey-likert","16","166056","0.0-3.0-0.13","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","448","She hurried to catch up with the others.","3.25-4.25","","6","null"
"7914","{""Q0"":4}","survey-likert","17","173973","0.0-3.0-0.14","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","697","She shoved her paper over at the boy.",">5.25","","5","null"
"4663","{""Q0"":2}","survey-likert","18","178638","0.0-3.0-0.15","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","434","It went against everything that he was taught.","3.25-4.25","","3","null"
"6715","{""Q0"":1}","survey-likert","19","185355","0.0-3.0-0.16","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","773","Shipment of grub worms coming in first thing.",">5.25","","2","null"
"5117","{""Q0"":4}","survey-likert","20","190474","0.0-3.0-0.17","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","465","They all cast nervous glances at each other.","3.25-4.25","","5","null"
"11014","{""Q0"":5}","survey-likert","21","201489","0.0-3.0-0.18","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","383","The four grown-ups were seated around the table.","3.25-4.25","","6","null"
"6548","{""Q0"":4}","survey-likert","22","208040","0.0-3.0-0.19","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","432","There's one coming along the path right now.","3.25-4.25","","5","null"
"6245","{""Q0"":0}","survey-likert","23","214289","0.0-3.0-0.20","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 1.","attention_check","1","1","true"
"13265","{""Q0"":3}","survey-likert","24","227556","0.0-3.0-0.21","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","524","She threw the whole amount into that fund.","4.25-5.25","","4","null"
"5063","{""Q0"":1}","survey-likert","25","232622","0.0-3.0-0.22","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","2","null"
"7948","{""Q0"":2}","survey-likert","26","240572","0.0-3.0-0.23","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","663","The three women shared a harsh, knowing laugh.",">5.25","","3","null"
"6149","{""Q0"":4}","survey-likert","27","246724","0.0-3.0-0.24","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","356","It had been snowing nonstop for a week.","3.25-4.25","","5","null"
"7028","{""Q0"":4}","survey-likert","28","253753","0.0-3.0-0.25","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","5","null"
"9751","{""Q0"":5}","survey-likert","29","263505","0.0-3.0-0.26","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","6","null"
"5848","{""Q0"":4}","survey-likert","30","269356","0.0-3.0-0.27","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","5","null"
"9347","{""Q0"":4}","survey-likert","31","278706","0.0-3.0-0.28","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","406","I reached my limit a long time ago.","3.25-4.25","","5","null"
"4629","{""Q0"":3}","survey-likert","32","283338","0.0-3.0-0.29","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","523","The separation was almost too painful to stand.","4.25-5.25","","4","null"
"7015","{""Q0"":3}","survey-likert","33","290355","0.0-3.0-0.30","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","192","Before I go, there's something I should say.","2.25-3.25","","4","null"
"5913","{""Q0"":1}","survey-likert","34","296271","0.0-3.0-0.31","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","2","null"
"4165","{""Q0"":5}","survey-likert","35","300438","0.0-3.0-0.32","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","797","A genuine smile rides low on her lips.",">5.25","","6","null"
"6381","{""Q0"":4}","survey-likert","36","306821","0.0-3.0-0.33","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","757","She considered pretending she was asleep or gone.",">5.25","","5","null"
"4665","{""Q0"":4}","survey-likert","37","311488","0.0-3.0-0.34","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","519","So now you suddenly care about my future?","4.25-5.25","","5","null"
"3531","{""Q0"":5}","survey-likert","38","315021","0.0-3.0-0.35","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","3","Why are you looking at me like that?","<2.25","","6","null"
"6065","{""Q0"":3}","survey-likert","39","321087","0.0-3.0-0.36","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","529","We can presume that that was no coincidence.","4.25-5.25","","4","null"
"4132","{""Q0"":5}","survey-likert","40","325222","0.0-3.0-0.37","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","98","Suddenly, I saw a look in his eyes.","<2.25","","6","null"
"9398","{""Q0"":2}","survey-likert","41","334622","0.0-3.0-0.38","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","10","I'll tell you what I'm going to do.","<2.25","","3","null"
"6163","{""Q0"":3}","survey-likert","42","340788","0.0-3.0-0.39","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","56","I know how important this is to you.","<2.25","","4","null"
"9165","{""Q0"":4}","survey-likert","43","349956","0.0-3.0-0.40","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","278","I just need to be alone, you know?","2.25-3.25","","5","null"
"3895","{""Q0"":5}","survey-likert","44","353854","0.0-3.0-0.41","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"11100","{""Q0"":4}","survey-likert","45","364958","0.0-3.0-0.42","614decec3fb283ee36eb2f66","","[0]","","7","4","How much does the sentence make you think of places, natural scenes and/or environments?","447","There was a feverish intensity in the words.","3.25-4.25","","5","null"
