"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5543","{""Q0"":""67bcba4cce51e01aa4648b3b""}","survey-text","0","5559","0.0-0.0","67bcba4cce51e01aa4648b3b","","","","","","","","","","","",""
"12637","0","html-button-response","1","18218","0.0-1.0","67bcba4cce51e01aa4648b3b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"33549","0","html-button-response","2","51768","0.0-2.0","67bcba4cce51e01aa4648b3b","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6591","{""Q0"":0}","survey-likert","3","58361","0.0-3.0-0.0","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","1","null"
"5653","{""Q0"":0}","survey-likert","4","64016","0.0-3.0-0.1","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","696","Relief swept through her when she found one.",">5.25","","1","null"
"7601","{""Q0"":1}","survey-likert","5","71619","0.0-3.0-0.2","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","404","There is a little white at the base.","3.25-4.25","","2","null"
"4674","{""Q0"":1}","survey-likert","6","76294","0.0-3.0-0.3","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","398","What did you put for your best feature?","3.25-4.25","","2","null"
"3139","{""Q0"":0}","survey-likert","7","79435","0.0-3.0-0.4","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","81","I want you to have a good time.","<2.25","","1","null"
"3146","{""Q0"":0}","survey-likert","8","82582","0.0-3.0-0.5","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","42","It's the logical thing to do, isn't it?","<2.25","","1","null"
"3388","{""Q0"":0}","survey-likert","9","85972","0.0-3.0-0.6","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","145","Truth is, I don't know what to say.","<2.25","","1","null"
"3645","{""Q0"":0}","survey-likert","10","89619","0.0-3.0-0.7","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","55","You were right, you were right all along.","<2.25","","1","null"
"6548","{""Q0"":2}","survey-likert","11","96168","0.0-3.0-0.8","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","3","null"
"3214","{""Q0"":0}","survey-likert","12","99384","0.0-3.0-0.9","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","159","That's exactly what I want you to do.","<2.25","","1","null"
"2968","{""Q0"":0}","survey-likert","13","102353","0.0-3.0-0.10","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","471","It seems the rumors were not far off.","3.25-4.25","","1","null"
"5353","{""Q0"":5}","survey-likert","14","107708","0.0-3.0-0.11","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","668","Elizabeth was sorting jars and tins of food.",">5.25","","6","null"
"7936","{""Q0"":2}","survey-likert","15","115645","0.0-3.0-0.12","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","286","Did you see an animal of any kind?","2.25-3.25","","3","null"
"2565","{""Q0"":0}","survey-likert","16","118211","0.0-3.0-0.13","67bcba4cce51e01aa4648b3b","","[0]","","8","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","258","I wonder how long I have been away.","2.25-3.25","","1","null"
