"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2788","{""Q0"":""612288fe5afea1bf6b8a197e""}","survey-text","0","2798","0.0-0.0","612288fe5afea1bf6b8a197e","","","","","","","","","","","",""
"1617","0","html-button-response","1","4417","0.0-1.0","612288fe5afea1bf6b8a197e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"9614","0","html-button-response","2","14032","0.0-2.0","612288fe5afea1bf6b8a197e","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6207","{""Q0"":0}","survey-likert","3","20241","0.0-3.0-0.0","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","49","All you had to do was walk away.","<2.25","","1","null"
"2117","{""Q0"":0}","survey-likert","4","22360","0.0-3.0-0.1","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","153","Only one of them could have done that.","<2.25","","1","null"
"3032","{""Q0"":6}","survey-likert","5","25394","0.0-3.0-0.2","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","326","He was holding his backpack over his head.","3.25-4.25","","7","null"
"2956","{""Q0"":3}","survey-likert","6","28351","0.0-3.0-0.3","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","4","null"
"1824","{""Q0"":0}","survey-likert","7","30177","0.0-3.0-0.4","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","59","I really haven't made up my mind yet.","<2.25","","1","null"
"2038","{""Q0"":5}","survey-likert","8","32217","0.0-3.0-0.5","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","512","The other two float out into the vacuum.","4.25-5.25","","6","null"
"1909","{""Q0"":4}","survey-likert","9","34127","0.0-3.0-0.6","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","420","He put half a dozen in his pouch.","3.25-4.25","","5","null"
"3575","{""Q0"":6}","survey-likert","10","37704","0.0-3.0-0.7","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","68","He picked it up and looked at it.","<2.25","","7","null"
"15096","{""Q0"":2}","survey-likert","11","52802","0.0-3.0-0.8","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","733","They must purchase the electric power at wholesale.",">5.25","","3","null"
"3309","{""Q0"":1}","survey-likert","12","56113","0.0-3.0-0.9","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","403","They were putting on a mask of calm.","3.25-4.25","","2","null"
"2684","{""Q0"":0}","survey-likert","13","58799","0.0-3.0-0.10","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","1","null"
"2723","{""Q0"":0}","survey-likert","14","61525","0.0-3.0-0.11","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","185","Suddenly there was an image in my mind.","2.25-3.25","","1","null"
"1973","{""Q0"":0}","survey-likert","15","63500","0.0-3.0-0.12","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","139","There's a lot of things I can't change.","<2.25","","1","null"
"2323","{""Q0"":1}","survey-likert","16","65825","0.0-3.0-0.13","612288fe5afea1bf6b8a197e","","[0]","","6","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","2","null"
