"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6430","{""Q0"":""67d03fc7fe7b253616d4fd80""}","survey-text","0","6449","0.0-0.0","67d03fc7fe7b253616d4fd80","","","","","","","","","","","",""
"25995","0","html-button-response","1","32447","0.0-1.0","67d03fc7fe7b253616d4fd80","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"144780","0","html-button-response","2","177228","0.0-2.0","67d03fc7fe7b253616d4fd80","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"37130","{""Q0"":5}","survey-likert","3","214361","0.0-3.0-0.0","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","91","This is the worst moment of my life.","<2.25","","6","null"
"25881","{""Q0"":5}","survey-likert","4","240245","0.0-3.0-0.1","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","5","Is there anything I can do for you?","<2.25","","6","null"
"12563","{""Q0"":1}","survey-likert","5","252811","0.0-3.0-0.2","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","285","And now there are trees all around us.","2.25-3.25","","2","null"
"9099","{""Q0"":2}","survey-likert","6","261914","0.0-3.0-0.3","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","3","null"
"27280","{""Q0"":4}","survey-likert","7","289196","0.0-3.0-0.4","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","67","Oh, I wish I could remember the name.","<2.25","","5","null"
"18248","{""Q0"":3}","survey-likert","8","307445","0.0-3.0-0.5","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","336","He looked at me with a wacky gaze.","3.25-4.25","","4","null"
"12618","{""Q0"":5}","survey-likert","9","320065","0.0-3.0-0.6","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","138","There is no use in talking about it.","<2.25","","6","null"
"11578","{""Q0"":3}","survey-likert","10","331645","0.0-3.0-0.7","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","502","We were surrounded by people from various origins.","4.25-5.25","","4","null"
"22931","{""Q0"":0}","survey-likert","11","354578","0.0-3.0-0.8","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","699","It also had real but limited economic advances.",">5.25","","1","null"
"8798","{""Q0"":3}","survey-likert","12","363379","0.0-3.0-0.9","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","92","Maybe you should take another look at it.","<2.25","","4","null"
"7766","{""Q0"":4}","survey-likert","13","371147","0.0-3.0-0.10","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","168","I'm just trying to find the right words.","2.25-3.25","","5","null"
"10897","{""Q0"":4}","survey-likert","14","382046","0.0-3.0-0.11","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","94","This is not where I want to be.","<2.25","","5","null"
"13964","{""Q0"":0}","survey-likert","15","396012","0.0-3.0-0.12","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","359","So tonight I decided to have a barbecue.","3.25-4.25","","1","null"
"9514","{""Q0"":1}","survey-likert","16","405528","0.0-3.0-0.13","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","771","Reactions worked totally off of his trained instincts.",">5.25","","2","null"
"6916","{""Q0"":3}","survey-likert","17","412446","0.0-3.0-0.14","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","115","What am I going to say to them?","<2.25","","4","null"
"15999","{""Q0"":4}","survey-likert","18","428447","0.0-3.0-0.15","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","99","I was trying to do the right thing.","<2.25","","5","null"
"5297","{""Q0"":1}","survey-likert","19","433746","0.0-3.0-0.16","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","304","We must move before the sun comes up.","2.25-3.25","","2","null"
"9831","{""Q0"":0}","survey-likert","20","443579","0.0-3.0-0.17","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","399","Fortunately, you've arrived on a very interesting night.","3.25-4.25","","1","null"
"66798","{""Q0"":3}","survey-likert","21","510379","0.0-3.0-0.18","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","701","I was elected captain and James became jealous.",">5.25","","4","null"
"6064","{""Q0"":1}","survey-likert","22","516445","0.0-3.0-0.19","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","177","Frankly, I can't spare the time right now.","2.25-3.25","","2","null"
"28299","{""Q0"":6}","survey-likert","23","544747","0.0-3.0-0.20","67d03fc7fe7b253616d4fd80","","[0]","","3","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
