"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2950","{""Q0"":""60dfa6a5a12413b99195c3de""}","survey-text","0","2976","0.0-0.0","60dfa6a5a12413b99195c3de","","","","","","","","","","","",""
"5390","0","html-button-response","1","8368","0.0-1.0","60dfa6a5a12413b99195c3de","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"20197","0","html-button-response","2","28566","0.0-2.0","60dfa6a5a12413b99195c3de","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5326","{""Q0"":5}","survey-likert","3","33897","0.0-3.0-0.0","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","49","All you had to do was walk away.","<2.25","","6","null"
"8841","{""Q0"":4}","survey-likert","4","42743","0.0-3.0-0.1","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","153","Only one of them could have done that.","<2.25","","5","null"
"4510","{""Q0"":5}","survey-likert","5","47255","0.0-3.0-0.2","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","326","He was holding his backpack over his head.","3.25-4.25","","6","null"
"4663","{""Q0"":1}","survey-likert","6","51926","0.0-3.0-0.3","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"4406","{""Q0"":6}","survey-likert","7","56334","0.0-3.0-0.4","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","59","I really haven't made up my mind yet.","<2.25","","7","null"
"5415","{""Q0"":0}","survey-likert","8","61751","0.0-3.0-0.5","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","512","The other two float out into the vacuum.","4.25-5.25","","1","null"
"4814","{""Q0"":5}","survey-likert","9","66568","0.0-3.0-0.6","60dfa6a5a12413b99195c3de","","[0]","","6","1","How much does the sentence make sense?","420","He put half a dozen in his pouch.","3.25-4.25","","6","null"
