"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9079","{""Q0"":""67d00f3c2f4828de9b0ce5e6""}","survey-text","0","9086","0.0-0.0","67d00f3c2f4828de9b0ce5e6","","","","","","","","","","","",""
"4093","0","html-button-response","1","13181","0.0-1.0","67d00f3c2f4828de9b0ce5e6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"20853","0","html-button-response","2","34035","0.0-2.0","67d00f3c2f4828de9b0ce5e6","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"91550","{""Q0"":0}","survey-likert","3","125588","0.0-3.0-0.0","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"8149","{""Q0"":4}","survey-likert","4","133740","0.0-3.0-0.1","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","362","It reminded her of her heart, her soul.","3.25-4.25","","5","null"
"9309","{""Q0"":1}","survey-likert","5","143050","0.0-3.0-0.2","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","622","She started to look uncomfortable then hid it.","4.25-5.25","","2","null"
"7191","{""Q0"":2}","survey-likert","6","150243","0.0-3.0-0.3","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","426","The thought of using makeup made her shiver.","3.25-4.25","","3","null"
"7070","{""Q0"":2}","survey-likert","7","157315","0.0-3.0-0.4","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","181","Don't let your guard down for a moment.","2.25-3.25","","3","null"
"6959","{""Q0"":6}","survey-likert","8","164276","0.0-3.0-0.5","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","456","A smile worked its way to her lips.","3.25-4.25","","7","null"
"7932","{""Q0"":3}","survey-likert","9","172209","0.0-3.0-0.6","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","220","What a day this was going to be!","2.25-3.25","","4","null"
"7847","{""Q0"":1}","survey-likert","10","180058","0.0-3.0-0.7","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","152","I am not going to talk about it.","<2.25","","2","null"
"5671","{""Q0"":1}","survey-likert","11","185729","0.0-3.0-0.8","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","460","He's so busy lately I hardly see him.","3.25-4.25","","2","null"
"7489","{""Q0"":5}","survey-likert","12","193220","0.0-3.0-0.9","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","281","What's this amazing thing that's happening to her?","2.25-3.25","","6","null"
"7660","{""Q0"":4}","survey-likert","13","200881","0.0-3.0-0.10","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","725","The assembly also sometimes is about moral teaching.",">5.25","","5","null"
"25073","{""Q0"":2}","survey-likert","14","225955","0.0-3.0-0.11","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","121","That's what I am trying to tell you.","<2.25","","3","null"
"7709","{""Q0"":0}","survey-likert","15","233665","0.0-3.0-0.12","67d00f3c2f4828de9b0ce5e6","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","351","It was as if the darkness itself thickened.","3.25-4.25","","1","null"
