"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5767","{""Q0"":""60211a7c07e6f203ccb99231""}","survey-text","0","5774","0.0-0.0","60211a7c07e6f203ccb99231","","","","","","","","","","","",""
"9831","0","html-button-response","1","15606","0.0-1.0","60211a7c07e6f203ccb99231","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"223334","0","html-button-response","2","238941","0.0-2.0","60211a7c07e6f203ccb99231","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6893","{""Q0"":3}","survey-likert","3","245835","0.0-3.0-0.0","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","656","Now it runs without any rake sharing arrangement.",">5.25","","4","null"
"4295","{""Q0"":2}","survey-likert","4","250131","0.0-3.0-0.1","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","702","I began to ride a first rate hunch.",">5.25","","3","null"
"4685","{""Q0"":4}","survey-likert","5","254817","0.0-3.0-0.2","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","251","Not that I didn't like the cat, too.","2.25-3.25","","5","null"
"5203","{""Q0"":2}","survey-likert","6","260021","0.0-3.0-0.3","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","235","I'm in the middle of something important here.","2.25-3.25","","3","null"
"3225","{""Q0"":4}","survey-likert","7","263247","0.0-3.0-0.4","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","384","The launch was delayed by a few months.","3.25-4.25","","5","null"
"8476","{""Q0"":4}","survey-likert","8","271724","0.0-3.0-0.5","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","330","He got up and headed toward the kitchen.","3.25-4.25","","5","null"
"2514","{""Q0"":3}","survey-likert","9","274239","0.0-3.0-0.6","60211a7c07e6f203ccb99231","","[0]","","2","4","How much does the sentence make you think of places, natural scenes and/or environments?","39","Promise me you won't put yourself in danger.","<2.25","","4","null"
