"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"5942","{""Q0"":""5c62de3f48fe4e000180e09d""}","survey-text","0","5946","0.0-0.0","5c62de3f48fe4e000180e09d","","","","","","","","","","","",""
"3501","0","html-button-response","1","9448","0.0-1.0","5c62de3f48fe4e000180e09d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"18128","0","html-button-response","2","27577","0.0-2.0","5c62de3f48fe4e000180e09d","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9186","{""Q0"":6}","survey-likert","3","36764","0.0-3.0-0.0","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"4757","{""Q0"":6}","survey-likert","4","41522","0.0-3.0-0.1","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","7","null"
"13517","{""Q0"":4}","survey-likert","5","55040","0.0-3.0-0.2","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","5","null"
"6931","{""Q0"":5}","survey-likert","6","61972","0.0-3.0-0.3","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","6","null"
"3285","{""Q0"":6}","survey-likert","7","65258","0.0-3.0-0.4","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"3423","{""Q0"":5}","survey-likert","8","68682","0.0-3.0-0.5","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","6","null"
"6798","{""Q0"":5}","survey-likert","9","75481","0.0-3.0-0.6","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","6","null"
"3683","{""Q0"":6}","survey-likert","10","79164","0.0-3.0-0.7","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"2757","{""Q0"":5}","survey-likert","11","81922","0.0-3.0-0.8","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","324","She turned her attention back to the furnishings.","3.25-4.25","","6","null"
"6429","{""Q0"":3}","survey-likert","12","88352","0.0-3.0-0.9","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","4","null"
"2997","{""Q0"":6}","survey-likert","13","91350","0.0-3.0-0.10","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"4683","{""Q0"":6}","survey-likert","14","96034","0.0-3.0-0.11","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","7","null"
"3974","{""Q0"":5}","survey-likert","15","100008","0.0-3.0-0.12","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","778","That was very interesting research George was doing!",">5.25","","6","null"
"3945","{""Q0"":4}","survey-likert","16","103954","0.0-3.0-0.13","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","619","The next morning found him eager to begin.","4.25-5.25","","5","null"
"5359","{""Q0"":3}","survey-likert","17","109314","0.0-3.0-0.14","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","708","The guy most likely looked at life simply.",">5.25","","4","null"
"6161","{""Q0"":5}","survey-likert","18","115476","0.0-3.0-0.15","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","438","Footsteps moved toward them up the side street.","3.25-4.25","","6","null"
"4042","{""Q0"":6}","survey-likert","19","119518","0.0-3.0-0.16","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","381","The flow of data is returning to normal.","3.25-4.25","","7","null"
"2409","{""Q0"":6}","survey-likert","20","121928","0.0-3.0-0.17","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","333","He looked at the poster on the wall.","3.25-4.25","","7","null"
"2681","{""Q0"":6}","survey-likert","21","124610","0.0-3.0-0.18","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","688","I watched him head to the other barn.",">5.25","","7","null"
"10723","{""Q0"":4}","survey-likert","22","135334","0.0-3.0-0.19","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","43","Call me when you get close, all right?","<2.25","","5","null"
"2403","{""Q0"":6}","survey-likert","23","137738","0.0-3.0-0.20","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"3101","{""Q0"":6}","survey-likert","24","140840","0.0-3.0-0.21","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","204","If I get any information, I'll call you.","2.25-3.25","","7","null"
"4471","{""Q0"":3}","survey-likert","25","145312","0.0-3.0-0.22","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","679","Other passengers reviewed shopping lists and read books.",">5.25","","4","null"
"3043","{""Q0"":6}","survey-likert","26","148356","0.0-3.0-0.23","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","134","No, that's not the way I see it.","<2.25","","7","null"
"4315","{""Q0"":2}","survey-likert","27","152672","0.0-3.0-0.24","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","409","It would be like believing in the postman.","3.25-4.25","","3","null"
"3307","{""Q0"":5}","survey-likert","28","155980","0.0-3.0-0.25","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","734","I laughed too, loving his delightful British accent.",">5.25","","6","null"
"2683","{""Q0"":6}","survey-likert","29","158664","0.0-3.0-0.26","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","178","It was the way it had always been.","2.25-3.25","","7","null"
"3710","{""Q0"":5}","survey-likert","30","162374","0.0-3.0-0.27","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","299","When are we getting out of here, exactly?","2.25-3.25","","6","null"
"4251","{""Q0"":5}","survey-likert","31","166626","0.0-3.0-0.28","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","666","He peers at the tag inside the dress.",">5.25","","6","null"
"3579","{""Q0"":2}","survey-likert","32","170206","0.0-3.0-0.29","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","736","The boys were all at that runaway age.",">5.25","","3","null"
"3873","{""Q0"":5}","survey-likert","33","174080","0.0-3.0-0.30","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","188","He had never seen anything like them before.","2.25-3.25","","6","null"
"4355","{""Q0"":0}","survey-likert","34","178436","0.0-3.0-0.31","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","720","What use were eyes to it down here?",">5.25","","1","null"
"4841","{""Q0"":4}","survey-likert","35","183278","0.0-3.0-0.32","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","191","Most of it is not all of it.","2.25-3.25","","5","null"
"4869","{""Q0"":3}","survey-likert","36","188148","0.0-3.0-0.33","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","394","How could they talk when he couldn't speak?","3.25-4.25","","4","null"
"2663","{""Q0"":6}","survey-likert","37","190812","0.0-3.0-0.34","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","378","Did someone try to kick the door down?","3.25-4.25","","7","null"
"3201","{""Q0"":6}","survey-likert","38","194014","0.0-3.0-0.35","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","457","Finally, he had something he could actually do.","3.25-4.25","","7","null"
"2680","{""Q0"":6}","survey-likert","39","196694","0.0-3.0-0.36","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","396","In my judgment, you simply have no alternative.","3.25-4.25","","7","null"
"2457","{""Q0"":6}","survey-likert","40","199152","0.0-3.0-0.37","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","132","That's just what I was going to say.","<2.25","","7","null"
"2251","{""Q0"":5}","survey-likert","41","201404","0.0-3.0-0.38","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","454","Then I would have to answer interesting questions.","3.25-4.25","","6","null"
"3045","{""Q0"":6}","survey-likert","42","204450","0.0-3.0-0.39","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","513","The workshop guys can pick it up later.","4.25-5.25","","7","null"
"4836","{""Q0"":6}","survey-likert","43","209287","0.0-3.0-0.40","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","711","Martin knew any real answers lay much deeper.",">5.25","","7","null"
"1944","{""Q0"":2}","survey-likert","44","211232","0.0-3.0-0.41","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"3681","{""Q0"":5}","survey-likert","45","214913","0.0-3.0-0.42","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","430","In the swamps, I learned how to listen.","3.25-4.25","","6","null"
"5874","{""Q0"":5}","survey-likert","46","220788","0.0-3.0-0.43","5c62de3f48fe4e000180e09d","","[0]","","1","1","How much does the sentence make sense?","570","The windows they faced were dark and shut.","4.25-5.25","","6","null"
