"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"13057","{""Q0"":""677009b08130c3028f6a8a6d""}","survey-text","0","13068","0.0-0.0","677009b08130c3028f6a8a6d","","","","","","","","","","","",""
"8351","0","html-button-response","1","21421","0.0-1.0","677009b08130c3028f6a8a6d","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"33180","0","html-button-response","2","54602","0.0-2.0","677009b08130c3028f6a8a6d","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9564","{""Q0"":4}","survey-likert","3","64169","0.0-3.0-0.0","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","117","Now, why did you ask to see me?","<2.25","","5","null"
"5863","{""Q0"":3}","survey-likert","4","70035","0.0-3.0-0.1","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","726","Or pretend we run an imaginary puppy store?",">5.25","","4","null"
"6150","{""Q0"":2}","survey-likert","5","76187","0.0-3.0-0.2","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","717","The crystals all over his car were growing.",">5.25","","3","null"
"4586","{""Q0"":6}","survey-likert","6","80775","0.0-3.0-0.3","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","534","Anne turned around, but barely recognized the captain.","4.25-5.25","","7","null"
"4866","{""Q0"":6}","survey-likert","7","85643","0.0-3.0-0.4","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","249","I was just giving you a hard time.","2.25-3.25","","7","null"
"4442","{""Q0"":6}","survey-likert","8","90088","0.0-3.0-0.5","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","316","I could not believe what they were saying.","2.25-3.25","","7","null"
"3929","{""Q0"":5}","survey-likert","9","94019","0.0-3.0-0.6","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","397","Maybe later you'll be a bit more rational.","3.25-4.25","","6","null"
"4238","{""Q0"":4}","survey-likert","10","98259","0.0-3.0-0.7","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","800","Cass stands there looking at him march away.",">5.25","","5","null"
"8093","{""Q0"":2}","survey-likert","11","106354","0.0-3.0-0.8","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","605","It means methane gas leeching from the soil.","4.25-5.25","","3","null"
"5619","{""Q0"":4}","survey-likert","12","111975","0.0-3.0-0.9","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","795","Something ancient stirred far off in the forest.",">5.25","","5","null"
"6277","{""Q0"":4}","survey-likert","13","118255","0.0-3.0-0.10","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","695","This development enabled the emergence of secondary consciousness.",">5.25","","5","null"
"5270","{""Q0"":1}","survey-likert","14","123527","0.0-3.0-0.11","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","660","The world beyond was eerie and dim, unrecognizable.",">5.25","","2","null"
"3964","{""Q0"":4}","survey-likert","15","127493","0.0-3.0-0.12","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","395","Outside the sport, he worked as a mechanic.","3.25-4.25","","5","null"
"9011","{""Q0"":1}","survey-likert","16","136506","0.0-3.0-0.13","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","412","Can you see the spring in his step?","3.25-4.25","","2","null"
"6016","{""Q0"":0}","survey-likert","17","142525","0.0-3.0-0.14","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","382","I feel a new sun on my skin","3.25-4.25","","1","null"
"6295","{""Q0"":6}","survey-likert","18","148822","0.0-3.0-0.15","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","585","I did get a lot accomplished this week.","4.25-5.25","","7","null"
"3997","{""Q0"":6}","survey-likert","19","152822","0.0-3.0-0.16","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","21","I don't know what to do with you.","<2.25","","7","null"
"5221","{""Q0"":6}","survey-likert","20","158044","0.0-3.0-0.17","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","36","I think I'm going to go to bed.","<2.25","","7","null"
"6126","{""Q0"":6}","survey-likert","21","164172","0.0-3.0-0.18","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","22","Why don't you come in for a while?","<2.25","","7","null"
"7082","{""Q0"":5}","survey-likert","22","171257","0.0-3.0-0.19","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","312","The chauffeur changes the lock on the door.","2.25-3.25","","6","null"
"4587","{""Q0"":1}","survey-likert","23","175846","0.0-3.0-0.20","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 2.","attention_check","2","2","true"
"4698","{""Q0"":2}","survey-likert","24","180546","0.0-3.0-0.21","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","131","Why do you want to know my name?","<2.25","","3","null"
"7042","{""Q0"":5}","survey-likert","25","187589","0.0-3.0-0.22","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","640","They mine the leaves of their host plant.","4.25-5.25","","6","null"
"6648","{""Q0"":2}","survey-likert","26","194240","0.0-3.0-0.23","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","728","Flowers and mushrooms alike wore coats of glass.",">5.25","","3","null"
"4649","{""Q0"":4}","survey-likert","27","198891","0.0-3.0-0.24","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","786","Matthew stumbled as his feet met solid steps.",">5.25","","5","null"
"7681","{""Q0"":0}","survey-likert","28","206573","0.0-3.0-0.25","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","442","Fancy eating food with a fly in it!","3.25-4.25","","1","null"
"20299","{""Q0"":4}","survey-likert","29","226874","0.0-3.0-0.26","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","257","The words are coming out of my mouth.","2.25-3.25","","5","null"
"5697","{""Q0"":5}","survey-likert","30","232573","0.0-3.0-0.27","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","325","However, the distinction is still not universally applied.","3.25-4.25","","6","null"
"7883","{""Q0"":4}","survey-likert","31","240459","0.0-3.0-0.28","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","458","Bring him back to see me on Friday.","3.25-4.25","","5","null"
"4531","{""Q0"":6}","survey-likert","32","244991","0.0-3.0-0.29","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","141","Hopefully, I'll be able to find this guy.","<2.25","","7","null"
"7681","{""Q0"":1}","survey-likert","33","252674","0.0-3.0-0.30","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","742","Another long moment passed, William content to wait.",">5.25","","2","null"
"3913","{""Q0"":4}","survey-likert","34","256590","0.0-3.0-0.31","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","393","He has no magic to compare with that.","3.25-4.25","","5","null"
"5123","{""Q0"":4}","survey-likert","35","261715","0.0-3.0-0.32","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","766","The vines, faster now, reached for her thighs.",">5.25","","5","null"
"7009","{""Q0"":6}","survey-likert","36","268726","0.0-3.0-0.33","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","95","What did you want to see me for?","<2.25","","7","null"
"3848","{""Q0"":4}","survey-likert","37","272576","0.0-3.0-0.34","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","775","The guard examined it and waved us on.",">5.25","","5","null"
"6771","{""Q0"":3}","survey-likert","38","279348","0.0-3.0-0.35","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","776","Inside, the folk were gathered wondering and praying.",">5.25","","4","null"
"4160","{""Q0"":5}","survey-likert","39","283510","0.0-3.0-0.36","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","607","As if she could still give me orders!","4.25-5.25","","6","null"
"4416","{""Q0"":5}","survey-likert","40","287927","0.0-3.0-0.37","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","565","I made choices without knowing I did it.","4.25-5.25","","6","null"
"4511","{""Q0"":6}","survey-likert","41","292441","0.0-3.0-0.38","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","573","The dining area can easily accommodate ninety people.","4.25-5.25","","7","null"
"4905","{""Q0"":4}","survey-likert","42","297348","0.0-3.0-0.39","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","735","Meet after work and sip tea while talking.",">5.25","","5","null"
"3943","{""Q0"":4}","survey-likert","43","301294","0.0-3.0-0.40","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","791","It needed scale and drama and special effects.",">5.25","","5","null"
"3836","{""Q0"":1}","survey-likert","44","305132","0.0-3.0-0.41","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 2.","attention_check","2","2","true"
"5115","{""Q0"":5}","survey-likert","45","310250","0.0-3.0-0.42","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","794","The security office always tapes from the cameras.",">5.25","","6","null"
"5396","{""Q0"":3}","survey-likert","46","315648","0.0-3.0-0.43","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","707","I trusted they could rescue my lost self.",">5.25","","4","null"
"6732","{""Q0"":3}","survey-likert","47","322382","0.0-3.0-0.44","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","700","Where was this girl getting her fashion tips?",">5.25","","4","null"
"5610","{""Q0"":4}","survey-likert","48","327995","0.0-3.0-0.45","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","716","I remember now each letter represented a number.",">5.25","","5","null"
"5697","{""Q0"":4}","survey-likert","49","333694","0.0-3.0-0.46","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","767","We took out a minute of opening credits.",">5.25","","5","null"
"5585","{""Q0"":4}","survey-likert","50","339281","0.0-3.0-0.47","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","631","How long would Rogers let it go on?","4.25-5.25","","5","null"
"4266","{""Q0"":5}","survey-likert","51","343549","0.0-3.0-0.48","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","109","I think I'll have a glass of water.","<2.25","","6","null"
"4542","{""Q0"":5}","survey-likert","52","348093","0.0-3.0-0.49","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","65","There must be something you can tell us.","<2.25","","6","null"
"4582","{""Q0"":6}","survey-likert","53","352677","0.0-3.0-0.50","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","591","You can love something without it being yours.","4.25-5.25","","7","null"
"4288","{""Q0"":5}","survey-likert","54","356967","0.0-3.0-0.51","677009b08130c3028f6a8a6d","","[0]","","5","1","How much does the sentence make sense?","379","You hold the power source in your hand.","3.25-4.25","","6","null"
