"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"53201","{""Q0"":""69827629ddf2f00058962a5c""}","survey-text","0","53217","0.0-0.0","69827629ddf2f00058962a5c","","","","","","","","","","","",""
"13367","0","html-button-response","1","66587","0.0-1.0","69827629ddf2f00058962a5c","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"28156","0","html-button-response","2","94745","0.0-2.0","69827629ddf2f00058962a5c","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"22571","{""Q0"":4}","survey-likert","3","117319","0.0-3.0-0.0","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","5","null"
"4995","{""Q0"":2}","survey-likert","4","122318","0.0-3.0-0.1","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","3","null"
"7362","{""Q0"":4}","survey-likert","5","129683","0.0-3.0-0.2","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","5","null"
"6653","{""Q0"":2}","survey-likert","6","136337","0.0-3.0-0.3","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","3","null"
"5104","{""Q0"":4}","survey-likert","7","141443","0.0-3.0-0.4","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","5","null"
"21222","{""Q0"":3}","survey-likert","8","162667","0.0-3.0-0.5","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","4","null"
"4808","{""Q0"":2}","survey-likert","9","167477","0.0-3.0-0.6","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","3","null"
"3682","{""Q0"":5}","survey-likert","10","171161","0.0-3.0-0.7","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","68","He picked it up and looked at it.","<2.25","","6","null"
"6023","{""Q0"":5}","survey-likert","11","177187","0.0-3.0-0.8","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","733","They must purchase the electric power at wholesale.",">5.25","","6","null"
"3892","{""Q0"":4}","survey-likert","12","181081","0.0-3.0-0.9","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","403","They were putting on a mask of calm.","3.25-4.25","","5","null"
"3630","{""Q0"":5}","survey-likert","13","184713","0.0-3.0-0.10","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","6","null"
"31098","{""Q0"":4}","survey-likert","14","215813","0.0-3.0-0.11","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"8044","{""Q0"":3}","survey-likert","15","223859","0.0-3.0-0.12","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","139","There's a lot of things I can't change.","<2.25","","4","null"
"2292","{""Q0"":4}","survey-likert","16","226153","0.0-3.0-0.13","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","5","null"
"2499","{""Q0"":5}","survey-likert","17","228653","0.0-3.0-0.14","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","148","Let me know what you think of that.","<2.25","","6","null"
"2621","{""Q0"":2}","survey-likert","18","231277","0.0-3.0-0.15","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","492","There's already a half million in this portfolio.","4.25-5.25","","3","null"
"3832","{""Q0"":1}","survey-likert","19","235111","0.0-3.0-0.16","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","103","Mister, I don't want to know your name.","<2.25","","2","null"
"2843","{""Q0"":4}","survey-likert","20","237955","0.0-3.0-0.17","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","319","Then you should go back to your table.","2.25-3.25","","5","null"
"3044","{""Q0"":5}","survey-likert","21","241001","0.0-3.0-0.18","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","508","The elves nodded and headed for the house.","4.25-5.25","","6","null"
"2690","{""Q0"":3}","survey-likert","22","243693","0.0-3.0-0.19","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","549","It is the second planet from their sun.","4.25-5.25","","4","null"
"5156","{""Q0"":5}","survey-likert","23","248851","0.0-3.0-0.20","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"2606","{""Q0"":5}","survey-likert","24","251459","0.0-3.0-0.21","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","729","Making what we all believe look like dirt",">5.25","","6","null"
"1270","{""Q0"":3}","survey-likert","25","252731","0.0-3.0-0.22","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","72","We have a lot of work to do.","<2.25","","4","null"
"2258","{""Q0"":2}","survey-likert","26","254991","0.0-3.0-0.23","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","265","And are you happy with your new book?","2.25-3.25","","3","null"
"2292","{""Q0"":4}","survey-likert","27","257285","0.0-3.0-0.24","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","724","Every second wasted in negotiation made her nervous.",">5.25","","5","null"
"2198","{""Q0"":5}","survey-likert","28","259485","0.0-3.0-0.25","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","101","How am I supposed to tell the difference?","<2.25","","6","null"
"13991","{""Q0"":4}","survey-likert","29","273478","0.0-3.0-0.26","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","580","Where would a wise man hide a leaf?","4.25-5.25","","5","null"
"2141","{""Q0"":5}","survey-likert","30","275621","0.0-3.0-0.27","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","79","I didn't even know you were in town.","<2.25","","6","null"
"2882","{""Q0"":1}","survey-likert","31","278505","0.0-3.0-0.28","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","194","People looked at him for a few seconds.","2.25-3.25","","2","null"
"2040","{""Q0"":4}","survey-likert","32","280547","0.0-3.0-0.29","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","5","null"
"2206","{""Q0"":5}","survey-likert","33","282755","0.0-3.0-0.30","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","40","Look, do you want my help or not?","<2.25","","6","null"
"2002","{""Q0"":3}","survey-likert","34","284759","0.0-3.0-0.31","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","391","The eyes are the window to the soul.","3.25-4.25","","4","null"
"2248","{""Q0"":5}","survey-likert","35","287009","0.0-3.0-0.32","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","270","He had no desire to work for him.","2.25-3.25","","6","null"
"2410","{""Q0"":6}","survey-likert","36","289421","0.0-3.0-0.33","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","372","There was no hesitation for him, no nerves.","3.25-4.25","","7","null"
"2233","{""Q0"":3}","survey-likert","37","291657","0.0-3.0-0.34","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","343","That decision was an easy one to make.","3.25-4.25","","4","null"
"2576","{""Q0"":2}","survey-likert","38","294235","0.0-3.0-0.35","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","576","This was a major advance in workshop technology.","4.25-5.25","","3","null"
"1742","{""Q0"":4}","survey-likert","39","295979","0.0-3.0-0.36","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","427","One, two, or a thousand more wouldn't matter.","3.25-4.25","","5","null"
"1837","{""Q0"":5}","survey-likert","40","297819","0.0-3.0-0.37","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","282","It was time for the first pep talk.","2.25-3.25","","6","null"
"2042","{""Q0"":2}","survey-likert","41","299863","0.0-3.0-0.38","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","7","What are you going to do about it?","<2.25","","3","null"
"2277","{""Q0"":4}","survey-likert","42","302142","0.0-3.0-0.39","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","643","Was he pleading for release or to serve?","4.25-5.25","","5","null"
"1989","{""Q0"":4}","survey-likert","43","304133","0.0-3.0-0.40","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","748","Dixie set her tea down and leaned forward.",">5.25","","5","null"
"4026","{""Q0"":5}","survey-likert","44","308161","0.0-3.0-0.41","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"7789","{""Q0"":4}","survey-likert","45","315951","0.0-3.0-0.42","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","354","She should have started with something much smaller.","3.25-4.25","","5","null"
"1900","{""Q0"":5}","survey-likert","46","317853","0.0-3.0-0.43","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","768","Her locked gaze remained in place this time.",">5.25","","6","null"
"2825","{""Q0"":5}","survey-likert","47","320681","0.0-3.0-0.44","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","221","It was going to be a challenging night.","2.25-3.25","","6","null"
"2038","{""Q0"":2}","survey-likert","48","322721","0.0-3.0-0.45","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","37","That's the funniest thing I have ever seen.","<2.25","","3","null"
"2817","{""Q0"":3}","survey-likert","49","325540","0.0-3.0-0.46","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","262","All right, tell me what you do know.","2.25-3.25","","4","null"
"2065","{""Q0"":4}","survey-likert","50","327607","0.0-3.0-0.47","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","415","Here I could see the clear winter sky.","3.25-4.25","","5","null"
"1911","{""Q0"":5}","survey-likert","51","329519","0.0-3.0-0.48","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","784","I slid into the other side with Herbert.",">5.25","","6","null"
"1658","{""Q0"":3}","survey-likert","52","331179","0.0-3.0-0.49","69827629ddf2f00058962a5c","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","50","I gave it to you as a present.","<2.25","","4","null"
