"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"15847","{""Q0"":""69befb5d87e7b3e1a3c78ccc""}","survey-text","0","15856","0.0-0.0","69befb5d87e7b3e1a3c78ccc","","","","","","","","","","","",""
"1960","0","html-button-response","1","17819","0.0-1.0","69befb5d87e7b3e1a3c78ccc","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"48098","0","html-button-response","2","65919","0.0-2.0","69befb5d87e7b3e1a3c78ccc","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"10501","{""Q0"":4}","survey-likert","3","76423","0.0-3.0-0.0","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","5","null"
"6604","{""Q0"":1}","survey-likert","4","83029","0.0-3.0-0.1","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","696","Relief swept through her when she found one.",">5.25","","2","null"
"5739","{""Q0"":1}","survey-likert","5","88771","0.0-3.0-0.2","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","404","There is a little white at the base.","3.25-4.25","","2","null"
"12064","{""Q0"":1}","survey-likert","6","100838","0.0-3.0-0.3","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","398","What did you put for your best feature?","3.25-4.25","","2","null"
"2679","{""Q0"":4}","survey-likert","7","103519","0.0-3.0-0.4","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","81","I want you to have a good time.","<2.25","","5","null"
"2197","{""Q0"":5}","survey-likert","8","105718","0.0-3.0-0.5","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","42","It's the logical thing to do, isn't it?","<2.25","","6","null"
"6416","{""Q0"":6}","survey-likert","9","112136","0.0-3.0-0.6","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","145","Truth is, I don't know what to say.","<2.25","","7","null"
"31985","{""Q0"":5}","survey-likert","10","144123","0.0-3.0-0.7","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","55","You were right, you were right all along.","<2.25","","6","null"
"5258","{""Q0"":4}","survey-likert","11","149383","0.0-3.0-0.8","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","5","null"
"4481","{""Q0"":5}","survey-likert","12","153867","0.0-3.0-0.9","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","159","That's exactly what I want you to do.","<2.25","","6","null"
"5833","{""Q0"":6}","survey-likert","13","159701","0.0-3.0-0.10","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","471","It seems the rumors were not far off.","3.25-4.25","","7","null"
"4285","{""Q0"":2}","survey-likert","14","163988","0.0-3.0-0.11","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","668","Elizabeth was sorting jars and tins of food.",">5.25","","3","null"
"4717","{""Q0"":2}","survey-likert","15","168707","0.0-3.0-0.12","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","286","Did you see an animal of any kind?","2.25-3.25","","3","null"
"3361","{""Q0"":4}","survey-likert","16","172070","0.0-3.0-0.13","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","258","I wonder how long I have been away.","2.25-3.25","","5","null"
"4884","{""Q0"":3}","survey-likert","17","176956","0.0-3.0-0.14","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","582","Then, she filled a bucket for her horse.","4.25-5.25","","4","null"
"3671","{""Q0"":5}","survey-likert","18","180630","0.0-3.0-0.15","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","202","He'd want to know as soon as possible.","2.25-3.25","","6","null"
"3427","{""Q0"":4}","survey-likert","19","184058","0.0-3.0-0.16","69befb5d87e7b3e1a3c78ccc","","[0]","","8","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","193","I was supposed to be doing something else.","2.25-3.25","","5","null"
