"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7068","{""Q0"":""6a072bb3a84c8f5fd7c22b17""}","survey-text","0","7122","0.0-0.0","6a072bb3a84c8f5fd7c22b17","","","","","","","","","","","",""
"19054","0","html-button-response","1","26177","0.0-1.0","6a072bb3a84c8f5fd7c22b17","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"36264","0","html-button-response","2","62443","0.0-2.0","6a072bb3a84c8f5fd7c22b17","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"8692","{""Q0"":5}","survey-likert","3","71137","0.0-3.0-0.0","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","451","You let greed get the better of you.","3.25-4.25","","6","null"
"5246","{""Q0"":4}","survey-likert","4","76385","0.0-3.0-0.1","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","362","It reminded her of her heart, her soul.","3.25-4.25","","5","null"
"12191","{""Q0"":4}","survey-likert","5","88577","0.0-3.0-0.2","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","622","She started to look uncomfortable then hid it.","4.25-5.25","","5","null"
"5974","{""Q0"":5}","survey-likert","6","94553","0.0-3.0-0.3","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","426","The thought of using makeup made her shiver.","3.25-4.25","","6","null"
"5319","{""Q0"":6}","survey-likert","7","99873","0.0-3.0-0.4","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","181","Don't let your guard down for a moment.","2.25-3.25","","7","null"
"5999","{""Q0"":3}","survey-likert","8","105874","0.0-3.0-0.5","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","456","A smile worked its way to her lips.","3.25-4.25","","4","null"
"7118","{""Q0"":2}","survey-likert","9","112993","0.0-3.0-0.6","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","220","What a day this was going to be!","2.25-3.25","","3","null"
"5470","{""Q0"":6}","survey-likert","10","118465","0.0-3.0-0.7","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","152","I am not going to talk about it.","<2.25","","7","null"
"3791","{""Q0"":6}","survey-likert","11","122257","0.0-3.0-0.8","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","460","He's so busy lately I hardly see him.","3.25-4.25","","7","null"
"4743","{""Q0"":2}","survey-likert","12","127001","0.0-3.0-0.9","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","281","What's this amazing thing that's happening to her?","2.25-3.25","","3","null"
"5440","{""Q0"":1}","survey-likert","13","132442","0.0-3.0-0.10","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","725","The assembly also sometimes is about moral teaching.",">5.25","","2","null"
"6261","{""Q0"":6}","survey-likert","14","138705","0.0-3.0-0.11","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","121","That's what I am trying to tell you.","<2.25","","7","null"
"4846","{""Q0"":1}","survey-likert","15","143552","0.0-3.0-0.12","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","351","It was as if the darkness itself thickened.","3.25-4.25","","2","null"
"8928","{""Q0"":3}","survey-likert","16","152481","0.0-3.0-0.13","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","559","He pointed out the device on the shield.","4.25-5.25","","4","null"
"3999","{""Q0"":6}","survey-likert","17","156482","0.0-3.0-0.14","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","100","As you can see, it is quite large.","<2.25","","7","null"
"4174","{""Q0"":6}","survey-likert","18","160657","0.0-3.0-0.15","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","164","We need to take it a step further.","2.25-3.25","","7","null"
"5134","{""Q0"":5}","survey-likert","19","165792","0.0-3.0-0.16","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","683","The air traffic control center functions without these.",">5.25","","6","null"
"6350","{""Q0"":6}","survey-likert","20","172144","0.0-3.0-0.17","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","32","I want you to be my best man.","<2.25","","7","null"
"4351","{""Q0"":5}","survey-likert","21","176496","0.0-3.0-0.18","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","6","null"
"8223","{""Q0"":5}","survey-likert","22","184721","0.0-3.0-0.19","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","672","The metal collects charged particles, drawing a current.",">5.25","","6","null"
"4166","{""Q0"":5}","survey-likert","23","188888","0.0-3.0-0.20","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"5518","{""Q0"":2}","survey-likert","24","194409","0.0-3.0-0.21","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","612","He knows what happened at the shirt place.","4.25-5.25","","3","null"
"4231","{""Q0"":4}","survey-likert","25","198641","0.0-3.0-0.22","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","41","You're going to have to talk to them.","<2.25","","5","null"
"3366","{""Q0"":6}","survey-likert","26","202009","0.0-3.0-0.23","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","54","Would you like to come back one day?","<2.25","","7","null"
"5239","{""Q0"":3}","survey-likert","27","207249","0.0-3.0-0.24","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","445","She took not one more step toward him.","3.25-4.25","","4","null"
"4758","{""Q0"":5}","survey-likert","28","212009","0.0-3.0-0.25","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","718","All three anchor stores are on one level.",">5.25","","6","null"
"5190","{""Q0"":6}","survey-likert","29","217200","0.0-3.0-0.26","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","346","He leaned forward, looking directly at the president.","3.25-4.25","","7","null"
"14255","{""Q0"":5}","survey-likert","30","231457","0.0-3.0-0.27","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","538","The platform carried us to the surface again.","4.25-5.25","","6","null"
"4366","{""Q0"":5}","survey-likert","31","235824","0.0-3.0-0.28","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","793","A short row of stores lay directly ahead.",">5.25","","6","null"
"5031","{""Q0"":4}","survey-likert","32","240857","0.0-3.0-0.29","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","761","Peter drove away and David came back inside.",">5.25","","5","null"
"26390","{""Q0"":6}","survey-likert","33","267248","0.0-3.0-0.30","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","156","What do you want to hear from me?","<2.25","","7","null"
"8327","{""Q0"":6}","survey-likert","34","275576","0.0-3.0-0.31","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","408","I opened the heavy door and looked inside.","3.25-4.25","","7","null"
"3879","{""Q0"":5}","survey-likert","35","279457","0.0-3.0-0.32","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","642","It stems from a primal attraction for shelter.",">5.25","","6","null"
"5262","{""Q0"":3}","survey-likert","36","284720","0.0-3.0-0.33","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","86","That's just the way it is for me.","<2.25","","4","null"
"4951","{""Q0"":1}","survey-likert","37","289672","0.0-3.0-0.34","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","621","I set the girl down by the others.","4.25-5.25","","2","null"
"4111","{""Q0"":1}","survey-likert","38","293784","0.0-3.0-0.35","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","575","He smiled when he saw the shadows part.","4.25-5.25","","2","null"
"4327","{""Q0"":5}","survey-likert","39","298113","0.0-3.0-0.36","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","571","The next morning she was literally shaken awake.","4.25-5.25","","6","null"
"2662","{""Q0"":6}","survey-likert","40","300776","0.0-3.0-0.37","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","114","Well, you can sleep here if you want.","<2.25","","7","null"
"4447","{""Q0"":6}","survey-likert","41","305225","0.0-3.0-0.38","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","781","That one moment could erase all you've accomplished.",">5.25","","7","null"
"3926","{""Q0"":5}","survey-likert","42","309152","0.0-3.0-0.39","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","503","She was almost twelve, her passions yet unfettered.","4.25-5.25","","6","null"
"7071","{""Q0"":1}","survey-likert","43","316225","0.0-3.0-0.40","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","500","Jane heaved her paperwork out of the kitchen.","4.25-5.25","","2","null"
"3502","{""Q0"":2}","survey-likert","44","319728","0.0-3.0-0.41","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"4775","{""Q0"":6}","survey-likert","45","324504","0.0-3.0-0.42","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","583","He served briefly as a superior court judge.","4.25-5.25","","7","null"
"5327","{""Q0"":5}","survey-likert","46","329833","0.0-3.0-0.43","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","174","She closed the door and leaned against it.","2.25-3.25","","6","null"
"5006","{""Q0"":6}","survey-likert","47","334841","0.0-3.0-0.44","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","75","How dare you speak to me like that?","<2.25","","7","null"
"4902","{""Q0"":5}","survey-likert","48","339744","0.0-3.0-0.45","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","414","I am one step away from saying that","3.25-4.25","","6","null"
"5710","{""Q0"":3}","survey-likert","49","345456","0.0-3.0-0.46","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","167","He walked to the window and looked out.","2.25-3.25","","4","null"
"7399","{""Q0"":2}","survey-likert","50","352856","0.0-3.0-0.47","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","623","Why had just those two not been found?","4.25-5.25","","3","null"
"5415","{""Q0"":6}","survey-likert","51","358272","0.0-3.0-0.48","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","119","Here is what I want you to do.","<2.25","","7","null"
"6830","{""Q0"":2}","survey-likert","52","365104","0.0-3.0-0.49","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","309","It is the only member of its genus.","2.25-3.25","","3","null"
"5063","{""Q0"":6}","survey-likert","53","370168","0.0-3.0-0.50","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","482","His scientific publications were focused on string theory.","4.25-5.25","","7","null"
"11631","{""Q0"":5}","survey-likert","54","381801","0.0-3.0-0.51","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","731","He would arrive tomorrow, exciting her beyond belief.",">5.25","","6","null"
"5070","{""Q0"":6}","survey-likert","55","386872","0.0-3.0-0.52","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","385","It's the most accurate way to verify information.","3.25-4.25","","7","null"
"6591","{""Q0"":2}","survey-likert","56","393464","0.0-3.0-0.53","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","261","On a bad day, it could be impenetrable.","2.25-3.25","","3","null"
"5078","{""Q0"":2}","survey-likert","57","398544","0.0-3.0-0.54","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","361","Her lips were set in a stiff line.","3.25-4.25","","3","null"
"4464","{""Q0"":2}","survey-likert","58","403009","0.0-3.0-0.55","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","483","As the temperature increases, diodes' forward voltage decreases.","4.25-5.25","","3","null"
"3245","{""Q0"":4}","survey-likert","59","406256","0.0-3.0-0.56","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","467","She had to admit it was rather nice.","3.25-4.25","","5","null"
"4151","{""Q0"":6}","survey-likert","60","410409","0.0-3.0-0.57","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","73","What do you want me to do now?","<2.25","","7","null"
"3734","{""Q0"":2}","survey-likert","61","414144","0.0-3.0-0.58","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","759","Then, it remained just half of the echo.",">5.25","","3","null"
"7462","{""Q0"":4}","survey-likert","62","421608","0.0-3.0-0.59","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","738","But her remaining pack items were all gone.",">5.25","","5","null"
"3999","{""Q0"":4}","survey-likert","63","425608","0.0-3.0-0.60","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","489","Their mood was dejected at the impending parting.","4.25-5.25","","5","null"
"6022","{""Q0"":4}","survey-likert","64","431632","0.0-3.0-0.61","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","433","A light came on in a small room.","3.25-4.25","","5","null"
"3327","{""Q0"":5}","survey-likert","65","434960","0.0-3.0-0.62","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","attention_check_60","This is an attention check. Please click 6.","attention_check","6","6","true"
"3311","{""Q0"":2}","survey-likert","66","438272","0.0-3.0-0.63","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","587","Think of me in times yet to come.","4.25-5.25","","3","null"
"3239","{""Q0"":6}","survey-likert","67","441512","0.0-3.0-0.64","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","157","There's no need to hide anything from us.","<2.25","","7","null"
"4318","{""Q0"":3}","survey-likert","68","445832","0.0-3.0-0.65","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","684","Usually, Mike texted her nonstop, even during school.",">5.25","","4","null"
"4791","{""Q0"":4}","survey-likert","69","450624","0.0-3.0-0.66","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","557","Could she even begin to imagine the scenario?","4.25-5.25","","5","null"
"3191","{""Q0"":5}","survey-likert","70","453816","0.0-3.0-0.67","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","195","I just have a lot on my mind.","2.25-3.25","","6","null"
"2865","{""Q0"":5}","survey-likert","71","456682","0.0-3.0-0.68","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","78","He had no idea what was going on.","<2.25","","6","null"
"4412","{""Q0"":5}","survey-likert","72","461096","0.0-3.0-0.69","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","149","Do whatever it is you need to do.","<2.25","","6","null"
"4406","{""Q0"":5}","survey-likert","73","465504","0.0-3.0-0.70","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","429","This was a time for fun and enjoyment.","3.25-4.25","","6","null"
"4336","{""Q0"":6}","survey-likert","74","469841","0.0-3.0-0.71","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","146","There was only one thing I could do.","<2.25","","7","null"
"6286","{""Q0"":6}","survey-likert","75","476128","0.0-3.0-0.72","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","84","Well, it's up to us then, isn't it?","<2.25","","7","null"
"4079","{""Q0"":5}","survey-likert","76","480208","0.0-3.0-0.73","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","647","They carefully walk on the slick stone floor.",">5.25","","6","null"
"6727","{""Q0"":3}","survey-likert","77","486936","0.0-3.0-0.74","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","709","Lawrence heard faint far off voices way behind.",">5.25","","4","null"
"4430","{""Q0"":5}","survey-likert","78","491368","0.0-3.0-0.75","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","615","But being at the farm was too difficult.","4.25-5.25","","6","null"
"6551","{""Q0"":4}","survey-likert","79","497920","0.0-3.0-0.76","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","706","He surveyed the crew with hard dark eyes.",">5.25","","5","null"
"6806","{""Q0"":4}","survey-likert","80","504728","0.0-3.0-0.77","6a072bb3a84c8f5fd7c22b17","","[0]","","4","1","How much does the sentence make sense?","481","Under most circumstances he appeared relaxed and confident.","4.25-5.25","","5","null"
