"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"2270","{""Q0"":""67720b01971068c3f4c6fa95""}","survey-text","0","2285","0.0-0.0","67720b01971068c3f4c6fa95","","","","","","","","","","","",""
"5287","0","html-button-response","1","7575","0.0-1.0","67720b01971068c3f4c6fa95","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"9494","0","html-button-response","2","17073","0.0-2.0","67720b01971068c3f4c6fa95","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6928","{""Q0"":4}","survey-likert","3","24003","0.0-3.0-0.0","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"2884","{""Q0"":5}","survey-likert","4","26889","0.0-3.0-0.1","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","762","And now, Logan had stirred the pot again.",">5.25","","6","null"
"4690","{""Q0"":2}","survey-likert","5","31581","0.0-3.0-0.2","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","3","null"
"5875","{""Q0"":3}","survey-likert","6","37457","0.0-3.0-0.3","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"3028","{""Q0"":5}","survey-likert","7","40487","0.0-3.0-0.4","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","423","It is time to meet with the duke.","3.25-4.25","","6","null"
"3770","{""Q0"":4}","survey-likert","8","44258","0.0-3.0-0.5","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","551","You have acquired this power in two days?","4.25-5.25","","5","null"
"2865","{""Q0"":6}","survey-likert","9","47124","0.0-3.0-0.6","67720b01971068c3f4c6fa95","","[0]","","7","1","How much does the sentence make sense?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","7","null"
