"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7754","{""Q0"":""67b7f4f62abe053f1130c74b""}","survey-text","0","7786","0.0-0.0","67b7f4f62abe053f1130c74b","","","","","","","","","","","",""
"3026","0","html-button-response","1","10815","0.0-1.0","67b7f4f62abe053f1130c74b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"12538","0","html-button-response","2","23359","0.0-2.0","67b7f4f62abe053f1130c74b","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11207","{""Q0"":4}","survey-likert","3","34585","0.0-3.0-0.0","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","5","null"
"6975","{""Q0"":3}","survey-likert","4","41562","0.0-3.0-0.1","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","4","null"
"5463","{""Q0"":2}","survey-likert","5","47029","0.0-3.0-0.2","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","3","null"
"7779","{""Q0"":1}","survey-likert","6","54812","0.0-3.0-0.3","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","2","null"
"7947","{""Q0"":4}","survey-likert","7","62761","0.0-3.0-0.4","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","5","null"
"7165","{""Q0"":1}","survey-likert","8","69927","0.0-3.0-0.5","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"6896","{""Q0"":2}","survey-likert","9","76827","0.0-3.0-0.6","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","3","null"
"4915","{""Q0"":2}","survey-likert","10","81744","0.0-3.0-0.7","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","68","He picked it up and looked at it.","<2.25","","3","null"
"6479","{""Q0"":4}","survey-likert","11","88226","0.0-3.0-0.8","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","733","They must purchase the electric power at wholesale.",">5.25","","5","null"
"6482","{""Q0"":5}","survey-likert","12","94709","0.0-3.0-0.9","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","403","They were putting on a mask of calm.","3.25-4.25","","6","null"
"5847","{""Q0"":4}","survey-likert","13","100559","0.0-3.0-0.10","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","625","With luck, maybe it will work without trouble.","4.25-5.25","","5","null"
"5514","{""Q0"":4}","survey-likert","14","106076","0.0-3.0-0.11","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","185","Suddenly there was an image in my mind.","2.25-3.25","","5","null"
"4747","{""Q0"":5}","survey-likert","15","110825","0.0-3.0-0.12","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","139","There's a lot of things I can't change.","<2.25","","6","null"
"4531","{""Q0"":5}","survey-likert","16","115358","0.0-3.0-0.13","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","496","She shopped for only one thing: a bargain.","4.25-5.25","","6","null"
"18581","{""Q0"":2}","survey-likert","17","133941","0.0-3.0-0.14","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","148","Let me know what you think of that.","<2.25","","3","null"
"8980","{""Q0"":1}","survey-likert","18","142924","0.0-3.0-0.15","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","492","There's already a half million in this portfolio.","4.25-5.25","","2","null"
"7365","{""Q0"":2}","survey-likert","19","150290","0.0-3.0-0.16","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","103","Mister, I don't want to know your name.","<2.25","","3","null"
"5598","{""Q0"":4}","survey-likert","20","155890","0.0-3.0-0.17","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","319","Then you should go back to your table.","2.25-3.25","","5","null"
"5764","{""Q0"":1}","survey-likert","21","161656","0.0-3.0-0.18","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","508","The elves nodded and headed for the house.","4.25-5.25","","2","null"
"5097","{""Q0"":4}","survey-likert","22","166757","0.0-3.0-0.19","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","549","It is the second planet from their sun.","4.25-5.25","","5","null"
"6846","{""Q0"":6}","survey-likert","23","173606","0.0-3.0-0.20","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"5831","{""Q0"":5}","survey-likert","24","179439","0.0-3.0-0.21","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","729","Making what we all believe look like dirt",">5.25","","6","null"
"4181","{""Q0"":4}","survey-likert","25","183622","0.0-3.0-0.22","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","72","We have a lot of work to do.","<2.25","","5","null"
"4115","{""Q0"":4}","survey-likert","26","187739","0.0-3.0-0.23","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","265","And are you happy with your new book?","2.25-3.25","","5","null"
"6098","{""Q0"":5}","survey-likert","27","193839","0.0-3.0-0.24","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","724","Every second wasted in negotiation made her nervous.",">5.25","","6","null"
"8198","{""Q0"":1}","survey-likert","28","202038","0.0-3.0-0.25","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","101","How am I supposed to tell the difference?","<2.25","","2","null"
"4615","{""Q0"":5}","survey-likert","29","206655","0.0-3.0-0.26","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","580","Where would a wise man hide a leaf?","4.25-5.25","","6","null"
"4098","{""Q0"":2}","survey-likert","30","210755","0.0-3.0-0.27","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","79","I didn't even know you were in town.","<2.25","","3","null"
"5564","{""Q0"":4}","survey-likert","31","216321","0.0-3.0-0.28","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","194","People looked at him for a few seconds.","2.25-3.25","","5","null"
"6665","{""Q0"":2}","survey-likert","32","222988","0.0-3.0-0.29","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","721","Bryan produced a card immediately and introduced himself.",">5.25","","3","null"
"4264","{""Q0"":1}","survey-likert","33","227254","0.0-3.0-0.30","67b7f4f62abe053f1130c74b","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","40","Look, do you want my help or not?","<2.25","","2","null"
