"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"3349","{""Q0"":""6a04d6f7d3e6d5170c2f1584""}","survey-text","0","3376","0.0-0.0","6a04d6f7d3e6d5170c2f1584","","","","","","","","","","","",""
"14293","0","html-button-response","1","17671","0.0-1.0","6a04d6f7d3e6d5170c2f1584","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"21989","0","html-button-response","2","39662","0.0-2.0","6a04d6f7d3e6d5170c2f1584","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"9071","{""Q0"":2}","survey-likert","3","48736","0.0-3.0-0.0","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","451","You let greed get the better of you.","3.25-4.25","","3","null"
"3628","{""Q0"":5}","survey-likert","4","52368","0.0-3.0-0.1","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","362","It reminded her of her heart, her soul.","3.25-4.25","","6","null"
"5394","{""Q0"":1}","survey-likert","5","57765","0.0-3.0-0.2","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","622","She started to look uncomfortable then hid it.","4.25-5.25","","2","null"
"6164","{""Q0"":3}","survey-likert","6","63932","0.0-3.0-0.3","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","426","The thought of using makeup made her shiver.","3.25-4.25","","4","null"
"6002","{""Q0"":3}","survey-likert","7","69937","0.0-3.0-0.4","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","181","Don't let your guard down for a moment.","2.25-3.25","","4","null"
"3005","{""Q0"":4}","survey-likert","8","72945","0.0-3.0-0.5","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","456","A smile worked its way to her lips.","3.25-4.25","","5","null"
"4003","{""Q0"":5}","survey-likert","9","76951","0.0-3.0-0.6","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","220","What a day this was going to be!","2.25-3.25","","6","null"
"4858","{""Q0"":2}","survey-likert","10","81812","0.0-3.0-0.7","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","152","I am not going to talk about it.","<2.25","","3","null"
"3888","{""Q0"":1}","survey-likert","11","85703","0.0-3.0-0.8","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","460","He's so busy lately I hardly see him.","3.25-4.25","","2","null"
"4294","{""Q0"":4}","survey-likert","12","89999","0.0-3.0-0.9","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","281","What's this amazing thing that's happening to her?","2.25-3.25","","5","null"
"5983","{""Q0"":4}","survey-likert","13","95985","0.0-3.0-0.10","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","725","The assembly also sometimes is about moral teaching.",">5.25","","5","null"
"3899","{""Q0"":2}","survey-likert","14","99887","0.0-3.0-0.11","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","121","That's what I am trying to tell you.","<2.25","","3","null"
"7285","{""Q0"":2}","survey-likert","15","107176","0.0-3.0-0.12","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","351","It was as if the darkness itself thickened.","3.25-4.25","","3","null"
"4318","{""Q0"":2}","survey-likert","16","111496","0.0-3.0-0.13","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","559","He pointed out the device on the shield.","4.25-5.25","","3","null"
"4677","{""Q0"":4}","survey-likert","17","116175","0.0-3.0-0.14","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","100","As you can see, it is quite large.","<2.25","","5","null"
"3553","{""Q0"":3}","survey-likert","18","119731","0.0-3.0-0.15","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","164","We need to take it a step further.","2.25-3.25","","4","null"
"7484","{""Q0"":3}","survey-likert","19","127218","0.0-3.0-0.16","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","683","The air traffic control center functions without these.",">5.25","","4","null"
"4134","{""Q0"":6}","survey-likert","20","131356","0.0-3.0-0.17","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","32","I want you to be my best man.","<2.25","","7","null"
"5095","{""Q0"":3}","survey-likert","21","136454","0.0-3.0-0.18","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","4","null"
"4020","{""Q0"":3}","survey-likert","22","140476","0.0-3.0-0.19","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","672","The metal collects charged particles, drawing a current.",">5.25","","4","null"
"3507","{""Q0"":6}","survey-likert","23","143985","0.0-3.0-0.20","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","attention_check_20","This is an attention check. Please click 7.","attention_check","7","7","true"
"6252","{""Q0"":2}","survey-likert","24","150240","0.0-3.0-0.21","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","612","He knows what happened at the shirt place.","4.25-5.25","","3","null"
"3525","{""Q0"":2}","survey-likert","25","153769","0.0-3.0-0.22","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","41","You're going to have to talk to them.","<2.25","","3","null"
"4015","{""Q0"":4}","survey-likert","26","157787","0.0-3.0-0.23","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","54","Would you like to come back one day?","<2.25","","5","null"
"3957","{""Q0"":2}","survey-likert","27","161746","0.0-3.0-0.24","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","445","She took not one more step toward him.","3.25-4.25","","3","null"
"7470","{""Q0"":3}","survey-likert","28","169218","0.0-3.0-0.25","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","718","All three anchor stores are on one level.",">5.25","","4","null"
"8456","{""Q0"":4}","survey-likert","29","177675","0.0-3.0-0.26","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","346","He leaned forward, looking directly at the president.","3.25-4.25","","5","null"
"5361","{""Q0"":3}","survey-likert","30","183038","0.0-3.0-0.27","6a04d6f7d3e6d5170c2f1584","","[0]","","4","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","538","The platform carried us to the surface again.","4.25-5.25","","4","null"
