"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10945","{""Q0"":""66d8a5461d86d7154c4f5c80""}","survey-text","0","10952","0.0-0.0","66d8a5461d86d7154c4f5c80","","","","","","","","","","","",""
"71138","0","html-button-response","1","82097","0.0-1.0","66d8a5461d86d7154c4f5c80","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"82273","0","html-button-response","2","164372","0.0-2.0","66d8a5461d86d7154c4f5c80","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"26860","{""Q0"":6}","survey-likert","3","191245","0.0-3.0-0.0","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","743","She noticed his particular attitude and his attention.",">5.25","","7","null"
"13658","{""Q0"":6}","survey-likert","4","204908","0.0-3.0-0.1","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","762","And now, Logan had stirred the pot again.",">5.25","","7","null"
"7609","{""Q0"":5}","survey-likert","5","212522","0.0-3.0-0.2","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","6","null"
"6346","{""Q0"":3}","survey-likert","6","218873","0.0-3.0-0.3","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"10728","{""Q0"":5}","survey-likert","7","229608","0.0-3.0-0.4","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","423","It is time to meet with the duke.","3.25-4.25","","6","null"
"23061","{""Q0"":4}","survey-likert","8","252675","0.0-3.0-0.5","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","551","You have acquired this power in two days?","4.25-5.25","","5","null"
"9560","{""Q0"":3}","survey-likert","9","262239","0.0-3.0-0.6","66d8a5461d86d7154c4f5c80","","[0]","","7","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
