"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"9889","{""Q0"":""66b371b81289176ea158af5a""}","survey-text","0","9910","0.0-0.0","66b371b81289176ea158af5a","","","","","","","","","","","",""
"11248","0","html-button-response","1","21163","0.0-1.0","66b371b81289176ea158af5a","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"21489","0","html-button-response","2","42653","0.0-2.0","66b371b81289176ea158af5a","
      <h1>Exp5: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you feel happy, pleased, content, and/or hopeful</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The puppy snuggles on the couch.” or “I celebrated my birthday with my best friends.” have meanings that are pleasant and positive, so you might rate them as a 6 or a 7. In contrast, sentences like “The woman was about to vomit.” or “The murder took place around midnight.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"14182","{""Q0"":4}","survey-likert","3","56838","0.0-3.0-0.0","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"5347","{""Q0"":3}","survey-likert","4","62185","0.0-3.0-0.1","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","762","And now, Logan had stirred the pot again.",">5.25","","4","null"
"13304","{""Q0"":1}","survey-likert","5","75493","0.0-3.0-0.2","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","2","null"
"12366","{""Q0"":3}","survey-likert","6","87863","0.0-3.0-0.3","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","682","He resisted checking his notebook, determined to impress.",">5.25","","4","null"
"7468","{""Q0"":3}","survey-likert","7","95335","0.0-3.0-0.4","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","423","It is time to meet with the duke.","3.25-4.25","","4","null"
"18673","{""Q0"":4}","survey-likert","8","114013","0.0-3.0-0.5","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","551","You have acquired this power in two days?","4.25-5.25","","5","null"
"8892","{""Q0"":3}","survey-likert","9","122904","0.0-3.0-0.6","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"11662","{""Q0"":3}","survey-likert","10","134570","0.0-3.0-0.7","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","70","There's a message for you at the office.","<2.25","","4","null"
"14448","{""Q0"":4}","survey-likert","11","149020","0.0-3.0-0.8","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","253","That could only mean one of three things.","2.25-3.25","","5","null"
"13352","{""Q0"":2}","survey-likert","12","162375","0.0-3.0-0.9","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","127","You know that as well as I do.","<2.25","","3","null"
"24285","{""Q0"":3}","survey-likert","13","186659","0.0-3.0-0.10","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","686","The terminal palps are covered with substantial feathers.",">5.25","","4","null"
"15510","{""Q0"":3}","survey-likert","14","202172","0.0-3.0-0.11","66b371b81289176ea158af5a","","[0]","","7","5","How much does the sentence make you feel happy, pleased, content, and/or hopeful?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","4","null"
