"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"41305","{""Q0"":""69f7e812b1abc5db9b1d0eac""}","survey-text","0","41313","0.0-0.0","69f7e812b1abc5db9b1d0eac","","","","","","","","","","","",""
"8204","0","html-button-response","1","49518","0.0-1.0","69f7e812b1abc5db9b1d0eac","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"29579","0","html-button-response","2","79098","0.0-2.0","69f7e812b1abc5db9b1d0eac","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"7316","{""Q0"":0}","survey-likert","3","86415","0.0-3.0-0.0","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","91","This is the worst moment of my life.","<2.25","","1","null"
"7541","{""Q0"":0}","survey-likert","4","93958","0.0-3.0-0.1","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","5","Is there anything I can do for you?","<2.25","","1","null"
"6789","{""Q0"":3}","survey-likert","5","100748","0.0-3.0-0.2","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","285","And now there are trees all around us.","2.25-3.25","","4","null"
"5327","{""Q0"":2}","survey-likert","6","106076","0.0-3.0-0.3","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","335","He looked to be a normal-sized eight-year-old kid.","3.25-4.25","","3","null"
"5024","{""Q0"":1}","survey-likert","7","111101","0.0-3.0-0.4","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","67","Oh, I wish I could remember the name.","<2.25","","2","null"
"9224","{""Q0"":3}","survey-likert","8","120327","0.0-3.0-0.5","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","336","He looked at me with a wacky gaze.","3.25-4.25","","4","null"
"3517","{""Q0"":0}","survey-likert","9","123845","0.0-3.0-0.6","69f7e812b1abc5db9b1d0eac","","[0]","","3","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","138","There is no use in talking about it.","<2.25","","1","null"
