"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"15094","{""Q0"":""6a0aa037f7816b7befeb15e6""}","survey-text","0","15100","0.0-0.0","6a0aa037f7816b7befeb15e6","","","","","","","","","","","",""
"1705","0","html-button-response","1","16807","0.0-1.0","6a0aa037f7816b7befeb15e6","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"69896","0","html-button-response","2","86704","0.0-2.0","6a0aa037f7816b7befeb15e6","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"6448","{""Q0"":4}","survey-likert","3","93156","0.0-3.0-0.0","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","49","All you had to do was walk away.","<2.25","","5","null"
"3186","{""Q0"":4}","survey-likert","4","96345","0.0-3.0-0.1","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","153","Only one of them could have done that.","<2.25","","5","null"
"6402","{""Q0"":0}","survey-likert","5","102750","0.0-3.0-0.2","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","326","He was holding his backpack over his head.","3.25-4.25","","1","null"
"5462","{""Q0"":5}","survey-likert","6","108215","0.0-3.0-0.3","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","753","Imagining them in my newly dark hair, perhaps?",">5.25","","6","null"
"2256","{""Q0"":5}","survey-likert","7","110473","0.0-3.0-0.4","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","59","I really haven't made up my mind yet.","<2.25","","6","null"
"6466","{""Q0"":1}","survey-likert","8","116941","0.0-3.0-0.5","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","512","The other two float out into the vacuum.","4.25-5.25","","2","null"
"4031","{""Q0"":1}","survey-likert","9","120976","0.0-3.0-0.6","6a0aa037f7816b7befeb15e6","","[0]","","6","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","420","He put half a dozen in his pouch.","3.25-4.25","","2","null"
