"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"8539","{""Q0"":""6980fa232e05e37125fdfb8e""}","survey-text","0","8559","0.0-0.0","6980fa232e05e37125fdfb8e","","","","","","","","","","","",""
"36093","0","html-button-response","1","44657","0.0-1.0","6980fa232e05e37125fdfb8e","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"95871","0","html-button-response","2","140530","0.0-2.0","6980fa232e05e37125fdfb8e","
      <h1>Exp3: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of physical objects and/or physical causal interactions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “A few rows of bookshelves came tumbling down.” or “There were several large boxes on the floor.” have meanings that are related to physical objects and/or physical causal interactions, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “The US justice system consists of three branches of government.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"19654","{""Q0"":0}","survey-likert","3","160187","0.0-3.0-0.0","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"7835","{""Q0"":0}","survey-likert","4","168029","0.0-3.0-0.1","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","362","It reminded her of her heart, her soul.","3.25-4.25","","1","null"
"7466","{""Q0"":0}","survey-likert","5","175497","0.0-3.0-0.2","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","622","She started to look uncomfortable then hid it.","4.25-5.25","","1","null"
"10406","{""Q0"":5}","survey-likert","6","185905","0.0-3.0-0.3","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","426","The thought of using makeup made her shiver.","3.25-4.25","","6","null"
"4132","{""Q0"":0}","survey-likert","7","190039","0.0-3.0-0.4","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","181","Don't let your guard down for a moment.","2.25-3.25","","1","null"
"2791","{""Q0"":0}","survey-likert","8","192832","0.0-3.0-0.5","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","456","A smile worked its way to her lips.","3.25-4.25","","1","null"
"3608","{""Q0"":0}","survey-likert","9","196441","0.0-3.0-0.6","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","220","What a day this was going to be!","2.25-3.25","","1","null"
"2419","{""Q0"":0}","survey-likert","10","198861","0.0-3.0-0.7","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","152","I am not going to talk about it.","<2.25","","1","null"
"6294","{""Q0"":0}","survey-likert","11","205156","0.0-3.0-0.8","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","460","He's so busy lately I hardly see him.","3.25-4.25","","1","null"
"3093","{""Q0"":0}","survey-likert","12","208251","0.0-3.0-0.9","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","281","What's this amazing thing that's happening to her?","2.25-3.25","","1","null"
"4935","{""Q0"":0}","survey-likert","13","213187","0.0-3.0-0.10","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","725","The assembly also sometimes is about moral teaching.",">5.25","","1","null"
"3433","{""Q0"":0}","survey-likert","14","216622","0.0-3.0-0.11","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","121","That's what I am trying to tell you.","<2.25","","1","null"
"5963","{""Q0"":0}","survey-likert","15","222587","0.0-3.0-0.12","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","351","It was as if the darkness itself thickened.","3.25-4.25","","1","null"
"7534","{""Q0"":5}","survey-likert","16","230123","0.0-3.0-0.13","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","559","He pointed out the device on the shield.","4.25-5.25","","6","null"
"12793","{""Q0"":5}","survey-likert","17","242917","0.0-3.0-0.14","6980fa232e05e37125fdfb8e","","[0]","","4","3","How much does the sentence make you think of physical objects and/or physical causal interactions?","100","As you can see, it is quite large.","<2.25","","6","null"
