"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"10090","{""Q0"":""613de645bde2897b72605e0b""}","survey-text","0","10099","0.0-0.0","613de645bde2897b72605e0b","","","","","","","","","","","",""
"9020","0","html-button-response","1","19120","0.0-1.0","613de645bde2897b72605e0b","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"53144","0","html-button-response","2","72265","0.0-2.0","613de645bde2897b72605e0b","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"11791","{""Q0"":4}","survey-likert","3","84059","0.0-3.0-0.0","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","377","Surely, he cannot be jealous of the baby?","3.25-4.25","","5","null"
"8209","{""Q0"":3}","survey-likert","4","92270","0.0-3.0-0.1","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","696","Relief swept through her when she found one.",">5.25","","4","null"
"11611","{""Q0"":0}","survey-likert","5","103882","0.0-3.0-0.2","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","404","There is a little white at the base.","3.25-4.25","","1","null"
"12517","{""Q0"":3}","survey-likert","6","116401","0.0-3.0-0.3","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","398","What did you put for your best feature?","3.25-4.25","","4","null"
"5345","{""Q0"":6}","survey-likert","7","121747","0.0-3.0-0.4","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","81","I want you to have a good time.","<2.25","","7","null"
"7530","{""Q0"":5}","survey-likert","8","129278","0.0-3.0-0.5","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","42","It's the logical thing to do, isn't it?","<2.25","","6","null"
"6051","{""Q0"":5}","survey-likert","9","135330","0.0-3.0-0.6","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","145","Truth is, I don't know what to say.","<2.25","","6","null"
"12995","{""Q0"":5}","survey-likert","10","148326","0.0-3.0-0.7","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","55","You were right, you were right all along.","<2.25","","6","null"
"8801","{""Q0"":0}","survey-likert","11","157129","0.0-3.0-0.8","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","657","A bead of sweat rolled down Wayne's forehead.",">5.25","","1","null"
"9479","{""Q0"":5}","survey-likert","12","166609","0.0-3.0-0.9","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","159","That's exactly what I want you to do.","<2.25","","6","null"
"8454","{""Q0"":3}","survey-likert","13","175065","0.0-3.0-0.10","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","471","It seems the rumors were not far off.","3.25-4.25","","4","null"
"11704","{""Q0"":6}","survey-likert","14","186771","0.0-3.0-0.11","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","668","Elizabeth was sorting jars and tins of food.",">5.25","","7","null"
"7180","{""Q0"":3}","survey-likert","15","193952","0.0-3.0-0.12","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","286","Did you see an animal of any kind?","2.25-3.25","","4","null"
"7357","{""Q0"":5}","survey-likert","16","201311","0.0-3.0-0.13","613de645bde2897b72605e0b","","[0]","","8","1","How much does the sentence make sense?","258","I wonder how long I have been away.","2.25-3.25","","6","null"
