"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6907","{""Q0"":""678e978dfeca0ba2fca8109f""}","survey-text","0","6915","0.0-0.0","678e978dfeca0ba2fca8109f","","","","","","","","","","","",""
"2923","0","html-button-response","1","9839","0.0-1.0","678e978dfeca0ba2fca8109f","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"21387","0","html-button-response","2","31227","0.0-2.0","678e978dfeca0ba2fca8109f","
      <h1>Sentence Rating: Plausibility</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence for <strong>whether it makes sense</strong> on a scale from 1 (does not make any sense) to 7 (makes perfect sense).
      </p>

      <p>
        For example, a sentence like <i>“The father had to buy some new fishing equipment for his trip”</i> makes sense, so you might rate it as a 6 or 7. In contrast, a sentence like <i>“The window attacked an inflated red kitten after the long opera surfaced”</i> does not really make any sense, so you might rate it as a 1 or 2. Some sentences may fall somewhere in between: for example, <i>“The tired traveller sat down on the book to have a drink of silver”</i> so you might rate them as a 3 or 4.
      </p>

      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"5906","{""Q0"":6}","survey-likert","3","37135","0.0-3.0-0.0","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","108","What do you do to make ends meet?","<2.25","","7","null"
"5059","{""Q0"":6}","survey-likert","4","42195","0.0-3.0-0.1","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","437","The conversation on this tape is totally unintelligible.","3.25-4.25","","7","null"
"8607","{""Q0"":5}","survey-likert","5","50803","0.0-3.0-0.2","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","774","The sheep turn round and charge the shepherd?",">5.25","","6","null"
"4407","{""Q0"":6}","survey-likert","6","55211","0.0-3.0-0.3","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","783","There was more chatter and tapping of watches.",">5.25","","7","null"
"2755","{""Q0"":6}","survey-likert","7","57967","0.0-3.0-0.4","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","166","I'd love to hear about what you're doing.","2.25-3.25","","7","null"
"4415","{""Q0"":6}","survey-likert","8","62382","0.0-3.0-0.5","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","628","Her proposal is heavily promoted in the press.","4.25-5.25","","7","null"
"5619","{""Q0"":6}","survey-likert","9","68002","0.0-3.0-0.6","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","494","Licensing and registration procedures are opaque and politicized.","4.25-5.25","","7","null"
"5627","{""Q0"":6}","survey-likert","10","73630","0.0-3.0-0.7","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","541","Music and laughter came from inside the shop.","4.25-5.25","","7","null"
"3376","{""Q0"":6}","survey-likert","11","77006","0.0-3.0-0.8","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","324","She turned her attention back to the furnishings.","3.25-4.25","","7","null"
"5603","{""Q0"":5}","survey-likert","12","82610","0.0-3.0-0.9","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","266","Suddenly, a faint whisper swirled in her ear.","2.25-3.25","","6","null"
"3099","{""Q0"":6}","survey-likert","13","85710","0.0-3.0-0.10","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","27","Sir, would you like to leave a message?","<2.25","","7","null"
"4743","{""Q0"":6}","survey-likert","14","90454","0.0-3.0-0.11","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","392","He tried to wind down his window surreptitiously.","3.25-4.25","","7","null"
"5095","{""Q0"":6}","survey-likert","15","95550","0.0-3.0-0.12","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","778","That was very interesting research George was doing!",">5.25","","7","null"
"6087","{""Q0"":5}","survey-likert","16","101638","0.0-3.0-0.13","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","619","The next morning found him eager to begin.","4.25-5.25","","6","null"
"7659","{""Q0"":5}","survey-likert","17","109298","0.0-3.0-0.14","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","708","The guy most likely looked at life simply.",">5.25","","6","null"
"6400","{""Q0"":5}","survey-likert","18","115698","0.0-3.0-0.15","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","438","Footsteps moved toward them up the side street.","3.25-4.25","","6","null"
"3867","{""Q0"":6}","survey-likert","19","119566","0.0-3.0-0.16","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","381","The flow of data is returning to normal.","3.25-4.25","","7","null"
"2387","{""Q0"":6}","survey-likert","20","121953","0.0-3.0-0.17","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","333","He looked at the poster on the wall.","3.25-4.25","","7","null"
"3132","{""Q0"":6}","survey-likert","21","125085","0.0-3.0-0.18","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","688","I watched him head to the other barn.",">5.25","","7","null"
"2727","{""Q0"":6}","survey-likert","22","127814","0.0-3.0-0.19","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","43","Call me when you get close, all right?","<2.25","","7","null"
"2703","{""Q0"":5}","survey-likert","23","130517","0.0-3.0-0.20","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","attention_check_20","This is an attention check. Please click 6.","attention_check","6","6","true"
"3191","{""Q0"":6}","survey-likert","24","133709","0.0-3.0-0.21","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","204","If I get any information, I'll call you.","2.25-3.25","","7","null"
"5259","{""Q0"":4}","survey-likert","25","138969","0.0-3.0-0.22","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","679","Other passengers reviewed shopping lists and read books.",">5.25","","5","null"
"3311","{""Q0"":6}","survey-likert","26","142281","0.0-3.0-0.23","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","134","No, that's not the way I see it.","<2.25","","7","null"
"8603","{""Q0"":3}","survey-likert","27","150885","0.0-3.0-0.24","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","409","It would be like believing in the postman.","3.25-4.25","","4","null"
"4136","{""Q0"":6}","survey-likert","28","155022","0.0-3.0-0.25","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","734","I laughed too, loving his delightful British accent.",">5.25","","7","null"
"2807","{""Q0"":6}","survey-likert","29","157829","0.0-3.0-0.26","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","178","It was the way it had always been.","2.25-3.25","","7","null"
"3043","{""Q0"":6}","survey-likert","30","160873","0.0-3.0-0.27","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","299","When are we getting out of here, exactly?","2.25-3.25","","7","null"
"3864","{""Q0"":6}","survey-likert","31","164738","0.0-3.0-0.28","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","666","He peers at the tag inside the dress.",">5.25","","7","null"
"4315","{""Q0"":5}","survey-likert","32","169053","0.0-3.0-0.29","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","736","The boys were all at that runaway age.",">5.25","","6","null"
"3319","{""Q0"":6}","survey-likert","33","172374","0.0-3.0-0.30","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","188","He had never seen anything like them before.","2.25-3.25","","7","null"
"5407","{""Q0"":4}","survey-likert","34","177781","0.0-3.0-0.31","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","720","What use were eyes to it down here?",">5.25","","5","null"
"3979","{""Q0"":6}","survey-likert","35","181760","0.0-3.0-0.32","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","191","Most of it is not all of it.","2.25-3.25","","7","null"
"5252","{""Q0"":4}","survey-likert","36","187013","0.0-3.0-0.33","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","394","How could they talk when he couldn't speak?","3.25-4.25","","5","null"
"2883","{""Q0"":6}","survey-likert","37","189896","0.0-3.0-0.34","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","378","Did someone try to kick the door down?","3.25-4.25","","7","null"
"3499","{""Q0"":6}","survey-likert","38","193396","0.0-3.0-0.35","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","457","Finally, he had something he could actually do.","3.25-4.25","","7","null"
"4980","{""Q0"":5}","survey-likert","39","198377","0.0-3.0-0.36","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","396","In my judgment, you simply have no alternative.","3.25-4.25","","6","null"
"3487","{""Q0"":6}","survey-likert","40","201865","0.0-3.0-0.37","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","132","That's just what I was going to say.","<2.25","","7","null"
"5235","{""Q0"":5}","survey-likert","41","207100","0.0-3.0-0.38","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","454","Then I would have to answer interesting questions.","3.25-4.25","","6","null"
"3352","{""Q0"":6}","survey-likert","42","210453","0.0-3.0-0.39","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","513","The workshop guys can pick it up later.","4.25-5.25","","7","null"
"3431","{""Q0"":6}","survey-likert","43","213884","0.0-3.0-0.40","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","711","Martin knew any real answers lay much deeper.",">5.25","","7","null"
"2719","{""Q0"":5}","survey-likert","44","216604","0.0-3.0-0.41","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","attention_check_40","This is an attention check. Please click 6.","attention_check","6","6","true"
"7811","{""Q0"":5}","survey-likert","45","224416","0.0-3.0-0.42","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","430","In the swamps, I learned how to listen.","3.25-4.25","","6","null"
"5599","{""Q0"":5}","survey-likert","46","230016","0.0-3.0-0.43","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","570","The windows they faced were dark and shut.","4.25-5.25","","6","null"
"3359","{""Q0"":6}","survey-likert","47","233377","0.0-3.0-0.44","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","609","We lead rituals and ceremonies, things like that.","4.25-5.25","","7","null"
"4483","{""Q0"":6}","survey-likert","48","237860","0.0-3.0-0.45","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","51","It's not just me, it's both of us.","<2.25","","7","null"
"1892","{""Q0"":6}","survey-likert","49","239753","0.0-3.0-0.46","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","123","I don't care what you think of me.","<2.25","","7","null"
"4667","{""Q0"":5}","survey-likert","50","244420","0.0-3.0-0.47","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","530","Now keep that thought in mind and exaggerate!","4.25-5.25","","6","null"
"3263","{""Q0"":6}","survey-likert","51","247684","0.0-3.0-0.48","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","273","Let's hope there isn't a backlash against him.","2.25-3.25","","7","null"
"5131","{""Q0"":5}","survey-likert","52","252816","0.0-3.0-0.49","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","756","But here they were merely Paul and Anna.",">5.25","","6","null"
"4963","{""Q0"":6}","survey-likert","53","257780","0.0-3.0-0.50","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","616","Half of Omaha has no lights right now.","4.25-5.25","","7","null"
"3599","{""Q0"":6}","survey-likert","54","261380","0.0-3.0-0.51","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","90","Even if I did, you'd never believe it.","<2.25","","7","null"
"2815","{""Q0"":6}","survey-likert","55","264196","0.0-3.0-0.52","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","33","I wish there was something I could do.","<2.25","","7","null"
"3023","{""Q0"":6}","survey-likert","56","267220","0.0-3.0-0.53","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","239","It doesn't look like something you'd pick out.","2.25-3.25","","7","null"
"5775","{""Q0"":5}","survey-likert","57","272996","0.0-3.0-0.54","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","215","Whatever it was, it seemed to get through.","2.25-3.25","","6","null"
"6708","{""Q0"":6}","survey-likert","58","279704","0.0-3.0-0.55","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","558","Have many famous actors and actresses lived here?","4.25-5.25","","7","null"
"3363","{""Q0"":6}","survey-likert","59","283068","0.0-3.0-0.56","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","219","To be honest, I found this by accident.","2.25-3.25","","7","null"
"3539","{""Q0"":4}","survey-likert","60","286608","0.0-3.0-0.57","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","410","You need a partner, someone to spot you.","3.25-4.25","","5","null"
"7131","{""Q0"":3}","survey-likert","61","293740","0.0-3.0-0.58","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","416","Now, we have cloaks for those with wings.","3.25-4.25","","4","null"
"3144","{""Q0"":6}","survey-likert","62","296884","0.0-3.0-0.59","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","61","This time, you have to do it right.","<2.25","","7","null"
"9583","{""Q0"":3}","survey-likert","63","306467","0.0-3.0-0.60","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","693","He spent my college fund on puppet clothes.",">5.25","","4","null"
"5095","{""Q0"":6}","survey-likert","64","311563","0.0-3.0-0.61","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","648","Good housing also helped promote good work habits.",">5.25","","7","null"
"2375","{""Q0"":6}","survey-likert","65","313939","0.0-3.0-0.62","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","attention_check_60","This is an attention check. Please click 7.","attention_check","7","7","true"
"3959","{""Q0"":6}","survey-likert","66","317899","0.0-3.0-0.63","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","597","He ignored me for a full thirty seconds.","4.25-5.25","","7","null"
"4007","{""Q0"":6}","survey-likert","67","321907","0.0-3.0-0.64","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","581","They have always been understanding, patient and kind.","4.25-5.25","","7","null"
"3903","{""Q0"":6}","survey-likert","68","325811","0.0-3.0-0.65","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","133","Are you going to be able to sleep?","<2.25","","7","null"
"3815","{""Q0"":6}","survey-likert","69","329627","0.0-3.0-0.66","678e978dfeca0ba2fca8109f","","[0]","","1","1","How much does the sentence make sense?","470","By this time, we were getting visitors, too.","3.25-4.25","","7","null"
