"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"7165","{""Q0"":""67dc387f88088fd4aca51d89""}","survey-text","0","7199","0.0-0.0","67dc387f88088fd4aca51d89","","","","","","","","","","","",""
"25953","0","html-button-response","1","33157","0.0-1.0","67dc387f88088fd4aca51d89","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"104407","0","html-button-response","2","137565","0.0-2.0","67dc387f88088fd4aca51d89","
      <h1>Exp4: Sentence Rating Experiment</h1>

      <p>
        In this survey, you will be asked to rate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of places, natural scenes and/or environments</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “There are several tall trees in the backyard.” or “They walked to the end of the hallway.” have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. In contrast, sentences like “You are very attentive and curious.” or “Wool is a type of textile fiber.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"38844","{""Q0"":0}","survey-likert","3","176414","0.0-3.0-0.0","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","451","You let greed get the better of you.","3.25-4.25","","1","null"
"7508","{""Q0"":2}","survey-likert","4","183927","0.0-3.0-0.1","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","362","It reminded her of her heart, her soul.","3.25-4.25","","3","null"
"5130","{""Q0"":0}","survey-likert","5","189062","0.0-3.0-0.2","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","622","She started to look uncomfortable then hid it.","4.25-5.25","","1","null"
"10579","{""Q0"":2}","survey-likert","6","199645","0.0-3.0-0.3","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","426","The thought of using makeup made her shiver.","3.25-4.25","","3","null"
"12875","{""Q0"":1}","survey-likert","7","212523","0.0-3.0-0.4","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","181","Don't let your guard down for a moment.","2.25-3.25","","2","null"
"5617","{""Q0"":0}","survey-likert","8","218144","0.0-3.0-0.5","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","456","A smile worked its way to her lips.","3.25-4.25","","1","null"
"5886","{""Q0"":1}","survey-likert","9","224033","0.0-3.0-0.6","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","220","What a day this was going to be!","2.25-3.25","","2","null"
"34400","{""Q0"":0}","survey-likert","10","258436","0.0-3.0-0.7","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","152","I am not going to talk about it.","<2.25","","1","null"
"9366","{""Q0"":1}","survey-likert","11","267806","0.0-3.0-0.8","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","460","He's so busy lately I hardly see him.","3.25-4.25","","2","null"
"9403","{""Q0"":1}","survey-likert","12","277212","0.0-3.0-0.9","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","281","What's this amazing thing that's happening to her?","2.25-3.25","","2","null"
"11112","{""Q0"":0}","survey-likert","13","288326","0.0-3.0-0.10","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","725","The assembly also sometimes is about moral teaching.",">5.25","","1","null"
"5699","{""Q0"":0}","survey-likert","14","294027","0.0-3.0-0.11","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","121","That's what I am trying to tell you.","<2.25","","1","null"
"4750","{""Q0"":3}","survey-likert","15","298780","0.0-3.0-0.12","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","351","It was as if the darkness itself thickened.","3.25-4.25","","4","null"
"6606","{""Q0"":2}","survey-likert","16","305390","0.0-3.0-0.13","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","559","He pointed out the device on the shield.","4.25-5.25","","3","null"
"6118","{""Q0"":3}","survey-likert","17","311510","0.0-3.0-0.14","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","100","As you can see, it is quite large.","<2.25","","4","null"
"5596","{""Q0"":0}","survey-likert","18","317109","0.0-3.0-0.15","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","164","We need to take it a step further.","2.25-3.25","","1","null"
"11830","{""Q0"":2}","survey-likert","19","328943","0.0-3.0-0.16","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","683","The air traffic control center functions without these.",">5.25","","3","null"
"8142","{""Q0"":0}","survey-likert","20","337088","0.0-3.0-0.17","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","32","I want you to be my best man.","<2.25","","1","null"
"19387","{""Q0"":0}","survey-likert","21","356478","0.0-3.0-0.18","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","635","Emerson spoke to his man inside the bureau.","4.25-5.25","","1","null"
"23792","{""Q0"":2}","survey-likert","22","380272","0.0-3.0-0.19","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","672","The metal collects charged particles, drawing a current.",">5.25","","3","null"
"6037","{""Q0"":3}","survey-likert","23","386312","0.0-3.0-0.20","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_20","This is an attention check. Please click 4.","attention_check","4","4","true"
"5716","{""Q0"":1}","survey-likert","24","392030","0.0-3.0-0.21","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","612","He knows what happened at the shirt place.","4.25-5.25","","2","null"
"30273","{""Q0"":0}","survey-likert","25","422306","0.0-3.0-0.22","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","41","You're going to have to talk to them.","<2.25","","1","null"
"8983","{""Q0"":0}","survey-likert","26","431293","0.0-3.0-0.23","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","54","Would you like to come back one day?","<2.25","","1","null"
"13380","{""Q0"":0}","survey-likert","27","444677","0.0-3.0-0.24","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","445","She took not one more step toward him.","3.25-4.25","","1","null"
"4528","{""Q0"":3}","survey-likert","28","449208","0.0-3.0-0.25","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","718","All three anchor stores are on one level.",">5.25","","4","null"
"4935","{""Q0"":1}","survey-likert","29","454145","0.0-3.0-0.26","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","346","He leaned forward, looking directly at the president.","3.25-4.25","","2","null"
"5208","{""Q0"":2}","survey-likert","30","459357","0.0-3.0-0.27","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","538","The platform carried us to the surface again.","4.25-5.25","","3","null"
"6336","{""Q0"":4}","survey-likert","31","465696","0.0-3.0-0.28","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","793","A short row of stores lay directly ahead.",">5.25","","5","null"
"5763","{""Q0"":3}","survey-likert","32","471462","0.0-3.0-0.29","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","761","Peter drove away and David came back inside.",">5.25","","4","null"
"4478","{""Q0"":1}","survey-likert","33","475943","0.0-3.0-0.30","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","156","What do you want to hear from me?","<2.25","","2","null"
"5476","{""Q0"":2}","survey-likert","34","481422","0.0-3.0-0.31","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","408","I opened the heavy door and looked inside.","3.25-4.25","","3","null"
"9290","{""Q0"":3}","survey-likert","35","490714","0.0-3.0-0.32","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","642","It stems from a primal attraction for shelter.",">5.25","","4","null"
"19562","{""Q0"":0}","survey-likert","36","510280","0.0-3.0-0.33","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","86","That's just the way it is for me.","<2.25","","1","null"
"5899","{""Q0"":1}","survey-likert","37","516183","0.0-3.0-0.34","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","621","I set the girl down by the others.","4.25-5.25","","2","null"
"11125","{""Q0"":3}","survey-likert","38","527312","0.0-3.0-0.35","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","575","He smiled when he saw the shadows part.","4.25-5.25","","4","null"
"21653","{""Q0"":0}","survey-likert","39","548968","0.0-3.0-0.36","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","571","The next morning she was literally shaken awake.","4.25-5.25","","1","null"
"14046","{""Q0"":0}","survey-likert","40","563017","0.0-3.0-0.37","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","114","Well, you can sleep here if you want.","<2.25","","1","null"
"16586","{""Q0"":0}","survey-likert","41","579605","0.0-3.0-0.38","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","781","That one moment could erase all you've accomplished.",">5.25","","1","null"
"16494","{""Q0"":0}","survey-likert","42","596102","0.0-3.0-0.39","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","503","She was almost twelve, her passions yet unfettered.","4.25-5.25","","1","null"
"17443","{""Q0"":0}","survey-likert","43","613548","0.0-3.0-0.40","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","500","Jane heaved her paperwork out of the kitchen.","4.25-5.25","","1","null"
"6556","{""Q0"":2}","survey-likert","44","620106","0.0-3.0-0.41","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","attention_check_40","This is an attention check. Please click 3.","attention_check","3","3","true"
"10648","{""Q0"":1}","survey-likert","45","630757","0.0-3.0-0.42","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","583","He served briefly as a superior court judge.","4.25-5.25","","2","null"
"7534","{""Q0"":0}","survey-likert","46","638294","0.0-3.0-0.43","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","174","She closed the door and leaned against it.","2.25-3.25","","1","null"
"7582","{""Q0"":0}","survey-likert","47","645879","0.0-3.0-0.44","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","75","How dare you speak to me like that?","<2.25","","1","null"
"6356","{""Q0"":1}","survey-likert","48","652238","0.0-3.0-0.45","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","414","I am one step away from saying that","3.25-4.25","","2","null"
"7933","{""Q0"":2}","survey-likert","49","660174","0.0-3.0-0.46","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","167","He walked to the window and looked out.","2.25-3.25","","3","null"
"6745","{""Q0"":1}","survey-likert","50","666923","0.0-3.0-0.47","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","623","Why had just those two not been found?","4.25-5.25","","2","null"
"5097","{""Q0"":0}","survey-likert","51","672023","0.0-3.0-0.48","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","119","Here is what I want you to do.","<2.25","","1","null"
"5004","{""Q0"":0}","survey-likert","52","677030","0.0-3.0-0.49","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","309","It is the only member of its genus.","2.25-3.25","","1","null"
"5792","{""Q0"":2}","survey-likert","53","682825","0.0-3.0-0.50","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","482","His scientific publications were focused on string theory.","4.25-5.25","","3","null"
"6194","{""Q0"":0}","survey-likert","54","689021","0.0-3.0-0.51","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","731","He would arrive tomorrow, exciting her beyond belief.",">5.25","","1","null"
"8060","{""Q0"":0}","survey-likert","55","697084","0.0-3.0-0.52","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","385","It's the most accurate way to verify information.","3.25-4.25","","1","null"
"8865","{""Q0"":0}","survey-likert","56","705952","0.0-3.0-0.53","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","261","On a bad day, it could be impenetrable.","2.25-3.25","","1","null"
"9414","{""Q0"":0}","survey-likert","57","715369","0.0-3.0-0.54","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","361","Her lips were set in a stiff line.","3.25-4.25","","1","null"
"16528","{""Q0"":3}","survey-likert","58","731899","0.0-3.0-0.55","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","483","As the temperature increases, diodes' forward voltage decreases.","4.25-5.25","","4","null"
"6847","{""Q0"":1}","survey-likert","59","738749","0.0-3.0-0.56","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","467","She had to admit it was rather nice.","3.25-4.25","","2","null"
"4100","{""Q0"":0}","survey-likert","60","742853","0.0-3.0-0.57","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","73","What do you want me to do now?","<2.25","","1","null"
"16241","{""Q0"":1}","survey-likert","61","759096","0.0-3.0-0.58","67dc387f88088fd4aca51d89","","[0]","","4","4","How much does the sentence make you think of places, natural scenes and/or environments?","759","Then, it remained just half of the echo.",">5.25","","2","null"
