"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","prolific_id","stimulus","question_order","participant_id","assigned_list","assigned_question_number","assigned_question_text","sentence_id","sentence","bucket","correct_response","rating","attention_check_correct"
"6552","{""Q0"":""6483b216f5f21f0463109ac7""}","survey-text","0","6557","0.0-0.0","6483b216f5f21f0463109ac7","","","","","","","","","","","",""
"2813","0","html-button-response","1","9372","0.0-1.0","6483b216f5f21f0463109ac7","
        <div style=""max-width:900px; text-align:left; margin:auto;"">
          <p>
            You are participating in a study about language and related cognitive abilities
            being conducted by Professor Evelina Fedorenko from the Department of Brain and
            Cognitive Sciences at MIT. If you have questions or concerns, you can contact
            Professor Fedorenko by email (evelina9@mit.edu).
          </p>

          <p>
            Your participation in this research is voluntary. You may decline to answer
            any or all of the following questions. You may decline further participation,
            at any time, without adverse consequences.
          </p>

          <p>
            Your anonymity is assured; the researchers who have requested your participation
            will not receive any personal information about you.
          </p>

          <p>
            The only restriction to being paid
            is achieving the accuracy requirements as detailed in the task instructions
            (to block ""bots"" who answer randomly).
          </p>

          <p><strong>I agree to take part in this study.</strong></p>
        </div>
      ","","","","","","","","","","",""
"40446","0","html-button-response","2","49819","0.0-2.0","6483b216f5f21f0463109ac7","
      <h1>Sentence Rating Experiment: Mental States</h1>

      <p>
        In this survey, you will be asked to read and evaluate 100 sentences. We would like you to rate each sentence according to <strong>how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions</strong> on a scale from 1 (not at all) to 7 (very much).
      </p>

      <p>
        For example, sentences like “The woman wondered what made him jealous.” or “I was so angry that I hit the door.” have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. In contrast, sentences like “A car drove into the parking garage.” or “Most of earth’s surface is covered by water.” do not, so you might rate them as a 1 or a 2.
      </p>
      <p>
      There will also be a few attention checks. Please select the rating indicated in the prompt.
      </p>
    ","","","","","","","","","","",""
"12503","{""Q0"":4}","survey-likert","3","62323","0.0-3.0-0.0","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","743","She noticed his particular attitude and his attention.",">5.25","","5","null"
"6609","{""Q0"":5}","survey-likert","4","68932","0.0-3.0-0.1","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","762","And now, Logan had stirred the pot again.",">5.25","","6","null"
"4204","{""Q0"":6}","survey-likert","5","73137","0.0-3.0-0.2","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","603","Apprehension gnawed at her, and her pulse raced.","4.25-5.25","","7","null"
"6091","{""Q0"":4}","survey-likert","6","79229","0.0-3.0-0.3","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","682","He resisted checking his notebook, determined to impress.",">5.25","","5","null"
"5688","{""Q0"":3}","survey-likert","7","84917","0.0-3.0-0.4","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","423","It is time to meet with the duke.","3.25-4.25","","4","null"
"4725","{""Q0"":3}","survey-likert","8","89643","0.0-3.0-0.5","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","551","You have acquired this power in two days?","4.25-5.25","","4","null"
"3898","{""Q0"":3}","survey-likert","9","93543","0.0-3.0-0.6","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","584","They were all evidently rushing to get somewhere.","4.25-5.25","","4","null"
"5912","{""Q0"":4}","survey-likert","10","99456","0.0-3.0-0.7","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","70","There's a message for you at the office.","<2.25","","5","null"
"4113","{""Q0"":2}","survey-likert","11","103570","0.0-3.0-0.8","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","253","That could only mean one of three things.","2.25-3.25","","3","null"
"3382","{""Q0"":3}","survey-likert","12","106953","0.0-3.0-0.9","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","127","You know that as well as I do.","<2.25","","4","null"
"7252","{""Q0"":2}","survey-likert","13","114206","0.0-3.0-0.10","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","686","The terminal palps are covered with substantial feathers.",">5.25","","3","null"
"5125","{""Q0"":2}","survey-likert","14","119332","0.0-3.0-0.11","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","543","What if their meeting was delayed or cancelled?","4.25-5.25","","3","null"
"4516","{""Q0"":2}","survey-likert","15","123849","0.0-3.0-0.12","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","328","The nearest neighbor is a quarter mile away.","3.25-4.25","","3","null"
"3593","{""Q0"":3}","survey-likert","16","127443","0.0-3.0-0.13","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","448","She hurried to catch up with the others.","3.25-4.25","","4","null"
"4844","{""Q0"":3}","survey-likert","17","132289","0.0-3.0-0.14","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","697","She shoved her paper over at the boy.",">5.25","","4","null"
"4938","{""Q0"":3}","survey-likert","18","137227","0.0-3.0-0.15","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","434","It went against everything that he was taught.","3.25-4.25","","4","null"
"6435","{""Q0"":0}","survey-likert","19","143663","0.0-3.0-0.16","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","773","Shipment of grub worms coming in first thing.",">5.25","","1","null"
"4121","{""Q0"":4}","survey-likert","20","147785","0.0-3.0-0.17","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","465","They all cast nervous glances at each other.","3.25-4.25","","5","null"
"3851","{""Q0"":1}","survey-likert","21","151637","0.0-3.0-0.18","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","383","The four grown-ups were seated around the table.","3.25-4.25","","2","null"
"4232","{""Q0"":2}","survey-likert","22","155869","0.0-3.0-0.19","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","432","There's one coming along the path right now.","3.25-4.25","","3","null"
"4823","{""Q0"":2}","survey-likert","23","160694","0.0-3.0-0.20","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","attention_check_20","This is an attention check. Please click 3.","attention_check","3","3","true"
"8325","{""Q0"":4}","survey-likert","24","169020","0.0-3.0-0.21","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","524","She threw the whole amount into that fund.","4.25-5.25","","5","null"
"5349","{""Q0"":2}","survey-likert","25","174369","0.0-3.0-0.22","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","527","Smuggling is an ancient and respected trade there.","4.25-5.25","","3","null"
"4711","{""Q0"":3}","survey-likert","26","179081","0.0-3.0-0.23","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","663","The three women shared a harsh, knowing laugh.",">5.25","","4","null"
"5336","{""Q0"":1}","survey-likert","27","184417","0.0-3.0-0.24","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","356","It had been snowing nonstop for a week.","3.25-4.25","","2","null"
"7490","{""Q0"":2}","survey-likert","28","191908","0.0-3.0-0.25","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","546","Through all the confusion came an overwhelming clarity.","4.25-5.25","","3","null"
"3091","{""Q0"":3}","survey-likert","29","195000","0.0-3.0-0.26","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","602","She lifted the goblet and toasted her employer.","4.25-5.25","","4","null"
"3424","{""Q0"":2}","survey-likert","30","198425","0.0-3.0-0.27","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","348","The craggy-faced man was leaning on a stick.","3.25-4.25","","3","null"
"3999","{""Q0"":4}","survey-likert","31","202424","0.0-3.0-0.28","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","406","I reached my limit a long time ago.","3.25-4.25","","5","null"
"3904","{""Q0"":4}","survey-likert","32","206329","0.0-3.0-0.29","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","523","The separation was almost too painful to stand.","4.25-5.25","","5","null"
"5748","{""Q0"":4}","survey-likert","33","212078","0.0-3.0-0.30","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","192","Before I go, there's something I should say.","2.25-3.25","","5","null"
"5397","{""Q0"":1}","survey-likert","34","217477","0.0-3.0-0.31","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","461","Not a wiggling, mewing black and white kitten.","3.25-4.25","","2","null"
"3645","{""Q0"":3}","survey-likert","35","221123","0.0-3.0-0.32","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","797","A genuine smile rides low on her lips.",">5.25","","4","null"
"9020","{""Q0"":2}","survey-likert","36","230143","0.0-3.0-0.33","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","757","She considered pretending she was asleep or gone.",">5.25","","3","null"
"4622","{""Q0"":3}","survey-likert","37","234766","0.0-3.0-0.34","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","519","So now you suddenly care about my future?","4.25-5.25","","4","null"
"3882","{""Q0"":4}","survey-likert","38","238649","0.0-3.0-0.35","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","3","Why are you looking at me like that?","<2.25","","5","null"
"3790","{""Q0"":4}","survey-likert","39","242440","0.0-3.0-0.36","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","529","We can presume that that was no coincidence.","4.25-5.25","","5","null"
"4545","{""Q0"":4}","survey-likert","40","246986","0.0-3.0-0.37","6483b216f5f21f0463109ac7","","[0]","","7","2","How much does the sentence make you think of other people’s experiences, thoughts, beliefs, desires, and/or emotions?","98","Suddenly, I saw a look in his eyes.","<2.25","","5","null"
